COD_SEQUENCIAL,ANO,MES,DIA,HORA,chuva_86472600,chuva_86472000,chuva_02851044,chuva_02851072,chuva_inmet_A894,chuva_cemaden_4320404010A
202212010000,2022,12,1,0,,0.0,,0.0,,
202212010100,2022,12,1,1,,0.0,,0.0,,
202212010200,2022,12,1,2,,0.0,,0.0,,
202212010300,2022,12,1,3,,0.0,,0.0,,
202212010400,2022,12,1,4,,0.0,,0.0,,
202212010500,2022,12,1,5,,0.0,,0.0,,
202212010600,2022,12,1,6,,0.0,,0.0,,
202212010700,2022,12,1,7,,0.0,,0.0,,
202212010800,2022,12,1,8,,0.0,,0.0,,
202212010900,2022,12,1,9,,0.0,,0.0,,
202212011000,2022,12,1,10,,0.0,,0.0,,
202212011100,2022,12,1,11,,0.0,,0.0,,
202212011200,2022,12,1,12,,2.8,,0.0,,
202212011300,2022,12,1,13,,,,0.0,,
202212011400,2022,12,1,14,,0.0,,0.0,,
202212011500,2022,12,1,15,,0.0,,0.0,,
202212011600,2022,12,1,16,,0.0,,0.0,,
202212011700,2022,12,1,17,,0.0,,0.0,,
202212011800,2022,12,1,18,,0.0,,0.0,,
202212011900,2022,12,1,19,,0.0,,0.0,,
202212012000,2022,12,1,20,,0.0,,0.0,,
202212012100,2022,12,1,21,,0.0,,0.0,,
202212012200,2022,12,1,22,,0.0,,0.0,,
202212012300,2022,12,1,23,,0.0,,0.0,,
202212020000,2022,12,2,0,,0.0,,0.0,,
202212020100,2022,12,2,1,,0.0,,0.0,,
202212020200,2022,12,2,2,,0.0,,0.0,,
202212020300,2022,12,2,3,,0.0,,0.0,,
202212020400,2022,12,2,4,,0.0,,0.0,,
202212020500,2022,12,2,5,,0.0,,0.0,,
202212020600,2022,12,2,6,,0.0,,0.0,,
202212020700,2022,12,2,7,,0.0,,0.0,,
202212020800,2022,12,2,8,,0.0,,0.0,,
202212020900,2022,12,2,9,,0.0,,0.0,,
202212021000,2022,12,2,10,,0.0,,0.0,,
202212021100,2022,12,2,11,,0.0,,0.0,,
202212021200,2022,12,2,12,,0.0,,0.0,,
202212021300,2022,12,2,13,,0.0,,0.0,,
202212021400,2022,12,2,14,,0.0,,0.0,,
202212021500,2022,12,2,15,,0.0,,0.0,,
202212021600,2022,12,2,16,,0.0,,0.0,,
202212021700,2022,12,2,17,,0.0,,0.4,,
202212021800,2022,12,2,18,,0.0,,0.0,,
202212021900,2022,12,2,19,,1.0,,0.0,,
202212022000,2022,12,2,20,,9.8,,0.0,,
202212022100,2022,12,2,21,,1.6,,0.0,,
