station_code,rating_curve_id,rating_curve_segment_id,segment_number,valid_from,valid_to,consistency_level,stage_min_cm,stage_max_cm,coefficient_a,coefficient_h0,coefficient_h0_cm,coefficient_h0_m,coefficient_n,n_segments_reported,curve_type,equation_type,table_stage_step_cm,measurement_datetime,source,source_route,downloaded_at,processed_at
86472000,86472000__20150101000000__20190702000000__2,86472000__20150101000000__20190702000000__2__01_02__210__959__1__1__NA__85_128__1_64__1_585,1,2015-01-01,2019-07-02,2,210.0,959.0,85.128,1.64,1.64,0.016399999999999998,1.585,2,1,1,,2015-01-01,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:09:39.551546097,2026-06-14 11:17:27.276710033
86472000,86472000__20150101000000__20190702000000__2,86472000__20150101000000__20190702000000__2__02_02__959__2250__1__1__NA__79_4989__1_64__1_618,2,2015-01-01,2019-07-02,2,959.0,2250.0,79.4989,1.64,1.64,0.016399999999999998,1.618,2,1,1,,2015-01-01,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:09:39.551546097,2026-06-14 11:17:27.276710033
86472000,86472000__20190703000000__20231231000000__2,86472000__20190703000000__20231231000000__2__01_02__190__400__1__1__NA__72_242__1_63__1_721,1,2019-07-03,2023-12-31,2,190.0,400.0,72.242,1.63,1.63,0.0163,1.721,2,1,1,,2019-07-03,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:09:39.551546097,2026-06-14 11:17:27.276710033
86472000,86472000__20190703000000__20231231000000__2,86472000__20190703000000__20231231000000__2__02_02__400__2250__1__1__NA__79_4989__1_64__1_618,2,2019-07-03,2023-12-31,2,400.0,2250.0,79.4989,1.64,1.64,0.016399999999999998,1.618,2,1,1,,2019-07-03,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:09:39.551546097,2026-06-14 11:17:27.276710033
86472000,86472000__20230905000000__20231017000000__1,86472000__20230905000000__20231017000000__1__01_02__187__1746__1__1__NA__48_918__1_86__1_803,1,2023-09-05,2023-10-17,1,187.0,1746.0,48.918,1.86,1.86,0.018600000000000002,1.803,2,1,1,,2023-09-05,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:09:39.920137882,2026-06-14 11:17:27.276710033
86472000,86472000__20230905000000__20231017000000__1,86472000__20230905000000__20231017000000__1__02_02__1746__2773__1__1__NA__79_4989__1_64__1_618,2,2023-09-05,2023-10-17,1,1746.0,2773.0,79.4989,1.64,1.64,0.016399999999999998,1.618,2,1,1,,2023-09-05,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:09:39.920137882,2026-06-14 11:17:27.276710033
86472000,86472000__20240101000000__20240501000000__1,86472000__20240101000000__20240501000000__1__01_02__164__442__1__1__NA__53_0932__1_63__2_006,1,2024-01-01,2024-05-01,1,164.0,442.0,53.0932,1.63,1.63,0.0163,2.006,2,1,1,,2024-01-01,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:09:39.920137882,2026-06-14 11:17:27.276710033
86472000,86472000__20240101000000__20240501000000__1,86472000__20240101000000__20240501000000__1__02_02__442__2773__1__1__NA__79_4989__1_64__1_618,2,2024-01-01,2024-05-01,1,442.0,2773.0,79.4989,1.64,1.64,0.016399999999999998,1.618,2,1,1,,2024-01-01,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:09:39.920137882,2026-06-14 11:17:27.276710033
86472000,86472000__20240502000000__20261231000000__1,86472000__20240502000000__20261231000000__1__01_02__187__1746__1__1__NA__48_918__1_86__1_803,1,2024-05-02,2026-12-31,1,187.0,1746.0,48.918,1.86,1.86,0.018600000000000002,1.803,2,1,1,,2024-05-02,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:09:39.920137882,2026-06-14 11:17:27.276710033
86472000,86472000__20240502000000__20261231000000__1,86472000__20240502000000__20261231000000__1__02_02__1746__2773__1__1__NA__79_4989__1_64__1_618,2,2024-05-02,2026-12-31,1,1746.0,2773.0,79.4989,1.64,1.64,0.016399999999999998,1.618,2,1,1,,2024-05-02,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,/EstacoesTelemetricas/HidroSerieCurvaDescarga/v1,2026-06-06 15:09:39.920137882,2026-06-14 11:17:27.276710033
