station_code,measurement_datetime,measurement_date,consistency_level,stage_cm,discharge_m3s,wetted_area_m2,width_m,mean_depth_m,mean_velocity_ms,source,source_route,downloaded_at,processed_at
86510000,1940-06-13 07:00:00,1940-06-13,2,150.0,220.0,371.3,172.8,2.15,0.592,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:36.430942059,2026-06-14 10:36:12.061599016
86510000,1940-09-07 07:00:00,1940-09-07,2,162.0,251.0,400.4,174.8,2.29,0.628,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:36.430942059,2026-06-14 10:36:12.061599016
86510000,1941-10-10 07:00:00,1941-10-10,2,395.0,924.0,789.4,181.5,4.35,1.17,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:41.339744091,2026-06-14 10:36:12.061599016
86510000,1941-10-11 07:00:00,1941-10-11,2,318.0,668.0,633.8,175.5,3.61,1.054,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:41.339744091,2026-06-14 10:36:12.061599016
86510000,1941-10-12 07:00:00,1941-10-12,2,263.0,517.0,548.4,173.0,3.17,0.943,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:41.339744091,2026-06-14 10:36:12.061599016
86510000,1941-10-13 07:00:00,1941-10-13,2,228.0,410.0,497.3,171.0,2.91,0.824,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:13:41.339744091,2026-06-14 10:36:12.061599016
86510000,1942-06-30 07:00:00,1942-06-30,2,151.0,164.0,387.4,171.7,2.26,0.424,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:43.734868050,2026-06-14 10:36:12.061599016
86510000,1942-12-28 07:00:00,1942-12-28,2,48.0,12.9,209.9,153.3,1.37,0.061,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:43.734868050,2026-06-14 10:36:12.061599016
86510000,1943-04-20 07:00:00,1943-04-20,2,57.0,19.6,241.0,156.9,1.54,0.081,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:44.739295006,2026-06-14 10:36:12.061599016
86510000,1943-04-21 07:00:00,1943-04-21,2,63.0,24.9,247.2,158.04,1.56,0.101,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:44.739295006,2026-06-14 10:36:12.061599016
86510000,1943-09-17 07:00:00,1943-09-17,2,237.0,446.0,514.5,178.2,3.02,0.867,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:44.739295006,2026-06-14 10:36:12.061599016
86510000,1943-09-20 07:00:00,1943-09-20,2,404.0,1027.0,823.8,186.0,4.43,1.246,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:44.739295006,2026-06-14 10:36:12.061599016
86510000,1943-09-21 07:00:00,1943-09-21,2,337.0,753.0,684.4,182.0,3.76,1.1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:44.739295006,2026-06-14 10:36:12.061599016
86510000,1943-09-22 07:00:00,1943-09-22,2,425.0,1004.0,820.8,192.5,4.26,1.223,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:44.739295006,2026-06-14 10:36:12.061599016
86510000,1943-10-21 07:00:00,1943-10-21,2,136.0,140.0,348.0,171.25,2.03,0.401,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:44.739295006,2026-06-14 10:36:12.061599016
86510000,1943-10-22 07:00:00,1943-10-22,2,130.0,130.0,349.0,170.94,2.04,0.372,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:44.739295006,2026-06-14 10:36:12.061599016
86510000,1943-10-23 07:00:00,1943-10-23,2,128.0,117.0,336.8,169.57,1.98,0.347,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:44.739295006,2026-06-14 10:36:12.061599016
86510000,1943-10-25 07:00:00,1943-10-25,2,120.0,97.5,311.9,167.02,1.87,0.312,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:44.739295006,2026-06-14 10:36:12.061599016
86510000,1943-11-14 07:00:00,1943-11-14,2,90.0,52.9,277.1,166.0,1.67,0.191,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:44.739295006,2026-06-14 10:36:12.061599016
86510000,1943-11-15 07:00:00,1943-11-15,2,88.0,74.1,275.2,162.2,1.7,0.269,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:44.739295006,2026-06-14 10:36:12.061599016
86510000,1944-04-12 07:00:00,1944-04-12,2,83.0,49.9,271.3,162.0,1.68,0.184,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:45.735296965,2026-06-14 10:36:12.061599016
86510000,1944-04-17 07:00:00,1944-04-17,2,77.0,42.4,254.2,160.25,1.59,0.167,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:45.735296965,2026-06-14 10:36:12.061599016
86510000,1944-04-20 07:00:00,1944-04-20,2,122.0,110.0,321.7,168.9,1.9,0.342,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:45.735296965,2026-06-14 10:36:12.061599016
86510000,1944-09-14 07:00:00,1944-09-14,2,148.0,147.0,379.6,171.4,2.21,0.386,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:45.735296965,2026-06-14 10:36:12.061599016
86510000,1945-05-18 07:00:00,1945-05-18,2,44.0,9.79,216.2,156.15,1.38,0.045,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:46.460069895,2026-06-14 10:36:12.061599016
