time_utc,q_mucum_m3s,n_mucum_rating_cm,n_mucum_anchored_cm,delta_n_from_now_cm
2026-09-26T11:00:00Z,5574.443,1664.01,492.0,0.0
2026-09-26T12:00:00Z,5642.698,1675.01,503.0,11.0
2026-09-26T13:00:00Z,5590.477,1666.6,494.59,2.59
2026-09-26T14:00:00Z,5925.915,1720.01,548.0,56.0
2026-09-26T15:00:00Z,5871.073,1711.37,539.36,47.36
2026-09-26T16:00:00Z,5816.739,1702.78,530.77,38.77
2026-09-26T17:00:00Z,5762.908,1694.23,522.22,30.22
2026-09-26T18:00:00Z,5709.575,1685.73,513.72,21.72
2026-09-26T19:00:00Z,5656.735,1677.27,505.26,13.26
2026-09-26T20:00:00Z,5604.385,1668.84,496.83,4.83
2026-09-26T21:00:00Z,6888.384,1865.99,693.98,201.98
2026-09-26T22:00:00Z,6824.635,1856.62,684.61,192.61
2026-09-26T23:00:00Z,6761.476,1847.3,675.29,183.29
2026-09-27T00:00:00Z,6698.902,1838.03,666.02,174.02
2026-09-27T01:00:00Z,6636.906,1828.81,656.8,164.8
2026-09-27T02:00:00Z,4099.829,1409.01,237.0,-255.0
2026-09-27T03:00:00Z,4061.887,1401.93,229.92,-262.08
2026-09-27T04:00:00Z,4024.296,1394.89,222.88,-269.12
2026-09-27T05:00:00Z,3987.053,1387.89,215.88,-276.12
2026-09-27T06:00:00Z,3950.154,1380.92,208.91,-283.09
2026-09-27T07:00:00Z,3071.459,1205.01,33.0,-459.0
2026-09-27T08:00:00Z,3043.034,1198.96,26.95,-465.05
2026-09-27T09:00:00Z,3014.872,1192.94,20.93,-471.07
2026-09-27T10:00:00Z,2986.971,1186.94,14.93,-477.07
2026-09-27T11:00:00Z,2959.328,1180.98,8.97,-483.03
2026-09-27T12:00:00Z,2931.94,1175.05,3.04,-488.96
2026-09-27T13:00:00Z,2904.806,1169.15,-2.86,-494.86
2026-09-27T14:00:00Z,2077.609,666.36,-505.65,-997.65
2026-09-27T15:00:00Z,2058.381,662.54,-509.47,-1001.47
2026-09-27T16:00:00Z,2039.332,658.74,-513.27,-1005.27
2026-09-27T17:00:00Z,2020.459,654.96,-517.05,-1009.05
2026-09-27T18:00:00Z,2001.76,651.21,-520.8,-1012.8
2026-09-27T19:00:00Z,1983.235,647.47,-524.54,-1016.54
2026-09-27T20:00:00Z,1964.881,643.76,-528.25,-1020.25
2026-09-27T21:00:00Z,1585.077,563.67,-608.34,-1100.34
2026-09-27T22:00:00Z,1570.408,560.44,-611.57,-1103.57
2026-09-27T23:00:00Z,1555.874,557.22,-614.79,-1106.79
2026-09-28T00:00:00Z,1541.475,554.03,-617.98,-1109.98
2026-09-28T01:00:00Z,1527.21,550.85,-621.16,-1113.16
2026-09-28T02:00:00Z,1239.81,484.22,-687.79,-1179.79
2026-09-28T03:00:00Z,1228.336,481.44,-690.57,-1182.57
2026-09-28T04:00:00Z,1216.969,478.68,-693.33,-1185.33
2026-09-28T05:00:00Z,1205.706,475.94,-696.07,-1188.07
2026-09-28T06:00:00Z,1194.548,473.21,-698.8,-1190.8
2026-09-28T07:00:00Z,1184.554,470.76,-701.25,-1193.25
2026-09-28T08:00:00Z,1173.591,468.06,-703.95,-1195.95
2026-09-28T09:00:00Z,1162.73,465.37,-706.64,-1198.64
2026-09-28T10:00:00Z,1151.97,462.71,-709.3,-1201.3
2026-09-28T11:00:00Z,1141.309,460.05,-711.96,-1203.96
2026-09-28T12:00:00Z,1130.746,457.42,-714.59,-1206.59
2026-09-28T13:00:00Z,1120.282,454.79,-717.22,-1209.22
2026-09-28T14:00:00Z,2035.557,657.99,-514.02,-1006.02
2026-09-28T15:00:00Z,2016.719,654.21,-517.8,-1009.8
2026-09-28T16:00:00Z,1998.055,650.46,-521.55,-1013.55
2026-09-28T17:00:00Z,1979.564,646.73,-525.28,-1017.28
2026-09-28T18:00:00Z,1961.244,643.02,-528.99,-1020.99
2026-09-28T19:00:00Z,1943.094,639.34,-532.67,-1024.67
2026-09-28T20:00:00Z,1925.111,635.67,-536.34,-1028.34
2026-09-28T21:00:00Z,1636.856,574.99,-597.02,-1089.02
2026-09-28T22:00:00Z,1621.708,571.69,-600.32,-1092.32
2026-09-28T23:00:00Z,1606.7,568.41,-603.6,-1095.6
2026-09-29T00:00:00Z,1591.83,565.15,-606.86,-1098.86
2026-09-29T01:00:00Z,1577.099,561.91,-610.1,-1102.1
2026-09-29T02:00:00Z,1562.503,558.69,-613.32,-1105.32
2026-09-29T03:00:00Z,1452.388,534.0,-638.01,-1130.01
2026-09-29T04:00:00Z,1438.947,530.94,-641.07,-1133.07
2026-09-29T05:00:00Z,1425.63,527.89,-644.12,-1136.12
2026-09-29T06:00:00Z,1412.437,524.87,-647.14,-1139.14
2026-09-29T07:00:00Z,1430.462,529.0,-643.01,-1135.01
2026-09-29T08:00:00Z,1417.224,525.97,-646.04,-1138.04
2026-09-29T09:00:00Z,1404.108,522.95,-649.06,-1141.06
2026-09-29T10:00:00Z,1391.113,519.95,-652.06,-1144.06
2026-09-29T11:00:00Z,1378.239,516.97,-655.04,-1147.04
2026-09-29T12:00:00Z,1365.484,514.01,-658.0,-1150.0
2026-09-29T13:00:00Z,1352.847,511.06,-660.95,-1152.95
2026-09-29T14:00:00Z,1470.02,538.0,-634.01,-1126.01
2026-09-29T15:00:00Z,1456.415,534.92,-637.09,-1129.09
2026-09-29T16:00:00Z,1442.937,531.85,-640.16,-1132.16
2026-09-29T17:00:00Z,1429.583,528.8,-643.21,-1135.21
2026-09-29T18:00:00Z,1416.353,525.77,-646.24,-1138.24
2026-09-29T19:00:00Z,1403.245,522.75,-649.26,-1141.26
2026-09-29T20:00:00Z,1390.259,519.76,-652.25,-1144.25
2026-09-29T21:00:00Z,1310.044,501.0,-671.01,-1163.01
