time_utc,time_local,rain_86472000_mm,rain_02851072_mm
2026-09-26T11:00:00Z,2026-09-26 08:00:00,0.000000,0.000000
2026-09-26T12:00:00Z,2026-09-26 09:00:00,0.000000,0.000000
2026-09-26T13:00:00Z,2026-09-26 10:00:00,0.010175,0.000000
2026-09-26T14:00:00Z,2026-09-26 11:00:00,0.010175,0.000000
2026-09-26T15:00:00Z,2026-09-26 12:00:00,0.010175,0.000000
2026-09-26T16:00:00Z,2026-09-26 13:00:00,0.104206,0.001873
2026-09-26T17:00:00Z,2026-09-26 14:00:00,0.104206,0.001873
2026-09-26T18:00:00Z,2026-09-26 15:00:00,0.104206,0.001873
2026-09-26T19:00:00Z,2026-09-26 16:00:00,0.039572,0.000000
2026-09-26T20:00:00Z,2026-09-26 17:00:00,0.039572,0.000000
2026-09-26T21:00:00Z,2026-09-26 18:00:00,0.039572,0.000000
2026-09-26T22:00:00Z,2026-09-26 19:00:00,0.026024,0.001330
2026-09-26T23:00:00Z,2026-09-26 20:00:00,0.026024,0.001330
2026-09-27T00:00:00Z,2026-09-26 21:00:00,0.026024,0.001330
2026-09-27T01:00:00Z,2026-09-26 22:00:00,0.047414,0.000000
2026-09-27T02:00:00Z,2026-09-26 23:00:00,0.047414,0.000000
2026-09-27T03:00:00Z,2026-09-27 00:00:00,0.047414,0.000000
2026-09-27T04:00:00Z,2026-09-27 01:00:00,0.038092,0.000000
2026-09-27T05:00:00Z,2026-09-27 02:00:00,0.038092,0.000000
2026-09-27T06:00:00Z,2026-09-27 03:00:00,0.038092,0.000000
2026-09-27T07:00:00Z,2026-09-27 04:00:00,0.000349,0.000000
2026-09-27T08:00:00Z,2026-09-27 05:00:00,0.000349,0.000000
2026-09-27T09:00:00Z,2026-09-27 06:00:00,0.000349,0.000000
2026-09-27T10:00:00Z,2026-09-27 07:00:00,0.000072,0.000000
2026-09-27T11:00:00Z,2026-09-27 08:00:00,0.000072,0.000000
2026-09-27T12:00:00Z,2026-09-27 09:00:00,0.000072,0.000000
2026-09-27T13:00:00Z,2026-09-27 10:00:00,0.036680,0.000000
2026-09-27T14:00:00Z,2026-09-27 11:00:00,0.036680,0.000000
2026-09-27T15:00:00Z,2026-09-27 12:00:00,0.036680,0.000000
2026-09-27T16:00:00Z,2026-09-27 13:00:00,0.312274,0.003745
2026-09-27T17:00:00Z,2026-09-27 14:00:00,0.312274,0.003745
2026-09-27T18:00:00Z,2026-09-27 15:00:00,0.312274,0.003745
2026-09-27T19:00:00Z,2026-09-27 16:00:00,0.433435,0.053815
2026-09-27T20:00:00Z,2026-09-27 17:00:00,0.433435,0.053815
2026-09-27T21:00:00Z,2026-09-27 18:00:00,0.433435,0.053815
2026-09-27T22:00:00Z,2026-09-27 19:00:00,0.451750,0.038189
2026-09-27T23:00:00Z,2026-09-27 20:00:00,0.451750,0.038189
2026-09-28T00:00:00Z,2026-09-27 21:00:00,0.451750,0.038189
2026-09-28T01:00:00Z,2026-09-27 22:00:00,0.618277,0.037765
2026-09-28T02:00:00Z,2026-09-27 23:00:00,0.618277,0.037765
2026-09-28T03:00:00Z,2026-09-28 00:00:00,0.618277,0.037765
2026-09-28T04:00:00Z,2026-09-28 01:00:00,1.631641,0.311361
2026-09-28T05:00:00Z,2026-09-28 02:00:00,1.631641,0.311361
2026-09-28T06:00:00Z,2026-09-28 03:00:00,1.631641,0.311361
2026-09-28T07:00:00Z,2026-09-28 04:00:00,0.125443,0.001873
2026-09-28T08:00:00Z,2026-09-28 05:00:00,0.125443,0.001873
2026-09-28T09:00:00Z,2026-09-28 06:00:00,0.125443,0.001873
2026-09-28T10:00:00Z,2026-09-28 07:00:00,0.416975,0.272743
2026-09-28T11:00:00Z,2026-09-28 08:00:00,0.416975,0.272743
2026-09-28T12:00:00Z,2026-09-28 09:00:00,0.416975,0.272743
2026-09-28T13:00:00Z,2026-09-28 10:00:00,0.280294,0.284637
2026-09-28T14:00:00Z,2026-09-28 11:00:00,0.280294,0.284637
2026-09-28T15:00:00Z,2026-09-28 12:00:00,0.280294,0.284637
2026-09-28T16:00:00Z,2026-09-28 13:00:00,1.582154,1.686293
2026-09-28T17:00:00Z,2026-09-28 14:00:00,1.582154,1.686293
2026-09-28T18:00:00Z,2026-09-28 15:00:00,1.582154,1.686293
2026-09-28T19:00:00Z,2026-09-28 16:00:00,2.457305,2.155511
2026-09-28T20:00:00Z,2026-09-28 17:00:00,2.457305,2.155511
2026-09-28T21:00:00Z,2026-09-28 18:00:00,2.457305,2.155511
2026-09-28T22:00:00Z,2026-09-28 19:00:00,1.686742,2.269905
2026-09-28T23:00:00Z,2026-09-28 20:00:00,1.686742,2.269905
2026-09-29T00:00:00Z,2026-09-28 21:00:00,1.686742,2.269905
2026-09-29T01:00:00Z,2026-09-28 22:00:00,0.000000,0.000000
2026-09-29T02:00:00Z,2026-09-28 23:00:00,0.000000,0.000000
2026-09-29T03:00:00Z,2026-09-29 00:00:00,0.000000,0.000000
2026-09-29T04:00:00Z,2026-09-29 01:00:00,0.346764,0.000000
2026-09-29T05:00:00Z,2026-09-29 02:00:00,0.346764,0.000000
2026-09-29T06:00:00Z,2026-09-29 03:00:00,0.346764,0.000000
2026-09-29T07:00:00Z,2026-09-29 04:00:00,4.586887,2.234516
2026-09-29T08:00:00Z,2026-09-29 05:00:00,4.586887,2.234516
2026-09-29T09:00:00Z,2026-09-29 06:00:00,4.586887,2.234516
2026-09-29T10:00:00Z,2026-09-29 07:00:00,3.267627,2.551804
2026-09-29T11:00:00Z,2026-09-29 08:00:00,3.267627,2.551804
2026-09-29T12:00:00Z,2026-09-29 09:00:00,3.267627,2.551804
2026-09-29T13:00:00Z,2026-09-29 10:00:00,3.215729,3.702437
2026-09-29T14:00:00Z,2026-09-29 11:00:00,3.215729,3.702437
2026-09-29T15:00:00Z,2026-09-29 12:00:00,3.215729,3.702437
2026-09-29T16:00:00Z,2026-09-29 13:00:00,0.508940,0.803441
2026-09-29T17:00:00Z,2026-09-29 14:00:00,0.508940,0.803441
2026-09-29T18:00:00Z,2026-09-29 15:00:00,0.508940,0.803441
2026-09-29T19:00:00Z,2026-09-29 16:00:00,0.609889,0.680078
2026-09-29T20:00:00Z,2026-09-29 17:00:00,0.609889,0.680078
2026-09-29T21:00:00Z,2026-09-29 18:00:00,0.609889,0.680078
2026-09-29T22:00:00Z,2026-09-29 19:00:00,0.370747,0.336473
2026-09-29T23:00:00Z,2026-09-29 20:00:00,0.370747,0.336473
2026-09-30T00:00:00Z,2026-09-29 21:00:00,0.370747,0.336473
2026-09-30T01:00:00Z,2026-09-29 22:00:00,0.090593,0.000000
2026-09-30T02:00:00Z,2026-09-29 23:00:00,0.090593,0.000000
2026-09-30T03:00:00Z,2026-09-30 00:00:00,0.090593,0.000000
