time_utc,q_mucum_m3s,q_mucum_band_min,q_mucum_band_max,n_mucum_cm,n_mucum_anchored_cm,delta_n_from_now_cm,q_antas_m3s,q_carreiro_confluence_m3s,q_stz_diagnostic_m3s
2026-09-26T04:00:00Z,1185.549,1185.549,1185.549,471.0,471.0,0.0,933.069,1145.574,1169.801
2026-09-26T05:00:00Z,1179.516,1159.406,1183.914,469.51,469.51,-1.49,864.734,1083.642,1156.69
2026-09-26T06:00:00Z,1158.835,1063.142,1183.698,464.33,464.33,-6.67,804.698,999.512,1109.663
2026-09-26T07:00:00Z,1118.07,900.177,1182.296,453.74,453.74,-17.26,751.817,933.007,1045.98
2026-09-26T08:00:00Z,1068.783,743.571,1177.14,440.46,440.46,-30.54,705.11,868.379,983.577
2026-09-26T09:00:00Z,1017.97,616.563,1168.117,426.35,426.35,-44.65,663.734,812.441,922.121
2026-09-26T10:00:00Z,966.195,510.117,1155.383,417.55,417.55,-53.45,626.965,761.716,865.734
2026-09-26T11:00:00Z,915.951,423.703,1139.601,403.68,403.68,-67.32,594.182,716.87,813.689
2026-09-26T12:00:00Z,867.839,352.374,1121.445,388.3,388.3,-82.7,564.85,676.715,766.667
2026-09-26T13:00:00Z,822.66,293.815,1101.593,376.11,376.11,-94.89,538.512,640.882,724.099
2026-09-26T14:00:00Z,780.594,245.405,1080.621,361.77,361.77,-109.23,514.774,608.719,685.772
2026-09-26T15:00:00Z,741.741,205.366,1059.008,348.21,348.21,-122.79,493.293,579.782,651.197
2026-09-26T16:00:00Z,705.992,172.129,1037.124,335.44,335.44,-135.56,473.79,553.635,619.996
2026-09-26T17:00:00Z,673.188,144.49,1015.25,332.89,332.89,-138.11,456.01,529.922,591.76
2026-09-26T18:00:00Z,643.112,121.45,993.588,321.15,321.15,-149.85,439.737,508.322,566.142
2026-09-26T19:00:00Z,615.535,102.208,972.277,310.17,310.17,-160.83,424.774,488.563,542.817
2026-09-26T20:00:00Z,590.224,86.108,951.407,299.91,299.91,-171.09,410.959,470.406,521.502
2026-09-26T21:00:00Z,566.953,72.616,931.029,290.32,290.32,-180.68,398.155,453.657,501.946
2026-09-26T22:00:00Z,545.51,61.291,911.172,281.37,281.37,-189.63,386.235,438.141,483.932
2026-09-26T23:00:00Z,525.7,51.773,891.841,272.98,272.98,-198.02,375.094,423.709,467.272
2026-09-27T00:00:00Z,507.345,43.764,873.032,265.13,265.13,-205.87,364.644,410.239,451.801
2026-09-27T01:00:00Z,490.285,37.017,854.729,257.76,257.76,-213.24,354.807,397.622,437.381
2026-09-27T02:00:00Z,474.38,31.328,836.915,250.85,250.85,-220.15,345.516,385.766,423.89
2026-09-27T03:00:00Z,459.505,26.526,819.569,244.34,244.34,-226.66,336.712,374.588,411.224
2026-09-27T04:00:00Z,445.549,22.47,802.669,238.21,238.21,-232.79,328.344,364.02,399.295
2026-09-27T05:00:00Z,432.416,19.042,786.194,232.42,232.42,-238.58,320.37,354.003,388.023
2026-09-27T06:00:00Z,420.022,16.143,770.124,226.95,226.95,-244.05,312.751,344.482,377.344
2026-09-27T07:00:00Z,408.292,13.689,754.44,221.76,221.76,-249.24,305.451,335.41,367.197
2026-09-27T08:00:00Z,397.161,11.611,739.124,216.84,216.84,-254.16,298.443,326.748,357.533
2026-09-27T09:00:00Z,386.573,9.851,724.159,212.17,212.17,-258.83,291.698,318.457,348.308
2026-09-27T10:00:00Z,376.476,8.36,709.532,207.72,207.72,-263.28,285.194,310.506,339.481
2026-09-27T11:00:00Z,366.827,7.096,695.228,203.48,203.48,-267.52,278.912,302.868,331.018
2026-09-27T12:00:00Z,357.586,6.024,681.236,199.42,199.42,-271.58,272.824,295.512,322.889
2026-09-27T13:00:00Z,348.72,5.114,667.548,195.54,195.54,-275.46,266.922,288.415,315.07
2026-09-27T14:00:00Z,340.199,4.343,654.156,191.82,191.82,-279.18,261.192,281.564,307.535
2026-09-27T15:00:00Z,331.995,3.688,641.052,188.23,188.23,-282.77,255.63,274.945,300.263
2026-09-27T16:00:00Z,324.091,3.132,628.245,184.79,184.79,-286.21,250.266,268.596,293.249
2026-09-27T17:00:00Z,316.474,2.661,615.733,181.47,181.47,-289.53,245.086,262.519,286.492
