timestamp,obs_m3s,sim_m3s,in_core_window
2023-09-18 19:00:00,,39.9130,0
2023-09-18 20:00:00,,39.8483,0
2023-09-18 21:00:00,,39.7827,0
2023-09-18 22:00:00,,39.5525,0
2023-09-18 23:00:00,,39.2801,0
2023-09-19 00:00:00,,39.9343,0
2023-09-19 01:00:00,,43.0271,0
2023-09-19 02:00:00,,50.0236,0
2023-09-19 03:00:00,,61.7358,0
2023-09-19 04:00:00,,79.3149,0
2023-09-19 05:00:00,,103.6203,0
2023-09-19 06:00:00,,135.1414,0
2023-09-19 07:00:00,,173.2378,0
2023-09-19 08:00:00,,217.7430,0
2023-09-19 09:00:00,,269.6102,0
2023-09-19 10:00:00,,329.4356,0
2023-09-19 11:00:00,,398.0850,0
2023-09-19 12:00:00,,477.3327,0
2023-09-19 13:00:00,,568.0519,0
2023-09-19 14:00:00,,669.3551,0
2023-09-19 15:00:00,,779.4868,0
2023-09-19 16:00:00,,896.8702,0
2023-09-19 17:00:00,,1019.8220,0
2023-09-19 18:00:00,,1146.6580,0
2023-09-19 19:00:00,1049.1,1275.4154,1
2023-09-19 20:00:00,1049.1,1403.8692,1
2023-09-19 21:00:00,1049.1,1529.6939,1
2023-09-19 22:00:00,1049.1,1650.9096,1
2023-09-19 23:00:00,1055.175,1766.3782,1
2023-09-20 00:00:00,1157.975,1874.7383,1
2023-09-20 01:00:00,1337.4,1974.9910,1
2023-09-20 02:00:00,1619.475,2066.5514,1
2023-09-20 03:00:00,1976.9750000000001,2149.9922,1
2023-09-20 04:00:00,2254.65,2225.4309,1
2023-09-20 05:00:00,2426.675,2291.8791,1
2023-09-20 06:00:00,2530.875,2348.7155,1
2023-09-20 07:00:00,2566.6749999999997,2395.0574,1
2023-09-20 08:00:00,2579.45,2429.1206,1
2023-09-20 09:00:00,2565.55,2450.0271,1
2023-09-20 10:00:00,2520.475,2458.6645,1
2023-09-20 11:00:00,2477.9750000000004,2456.7928,1
2023-09-20 12:00:00,2439.1,2445.9895,1
2023-09-20 13:00:00,2401.575,2427.9001,1
2023-09-20 14:00:00,2366.475,2404.1620,1
2023-09-20 15:00:00,2319.175,2376.2576,1
2023-09-20 16:00:00,2261.05,2345.3540,1
2023-09-20 17:00:00,2211.075,2312.3969,1
2023-09-20 18:00:00,2165.9,2278.1337,1
2023-09-20 19:00:00,2134.1,2243.1331,1
2023-09-20 20:00:00,2098.125,2207.8123,1
2023-09-20 21:00:00,2076.35,2172.4669,1
2023-09-20 22:00:00,2039.6,2137.3002,1
2023-09-20 23:00:00,2013.8,2102.4482,1
2023-09-21 00:00:00,1984.875,2067.9990,1
2023-09-21 01:00:00,1949.6750000000002,2034.0077,1
2023-09-21 02:00:00,1913.6,2000.5071,1
2023-09-21 03:00:00,1885.15,1967.5152,1
2023-09-21 04:00:00,1851.575,1935.0404,1
2023-09-21 05:00:00,1816.1,1903.0847,1
2023-09-21 06:00:00,1778.775,1871.6462,1
2023-09-21 07:00:00,1742.7,1840.7206,1
2023-09-21 08:00:00,1707.925,1810.3020,1
2023-09-21 09:00:00,1674.325,1780.3838,1
2023-09-21 10:00:00,1650.05,1750.9585,1
2023-09-21 11:00:00,1621.85,1722.0186,1
2023-09-21 12:00:00,1574.875,1693.5566,1
2023-09-21 13:00:00,1516.225,1665.5648,1
2023-09-21 14:00:00,1464.225,1638.0354,1
2023-09-21 15:00:00,1439.575,1610.9609,1
2023-09-21 16:00:00,1458.6,1584.3340,1
2023-09-21 17:00:00,1483.35,1558.1471,1
2023-09-21 18:00:00,1484.475,1532.4522,1
2023-09-21 19:00:00,1465.35,1507.1821,1
2023-09-21 20:00:00,1429.525,1482.3725,1
2023-09-21 21:00:00,1391.75,1458.0166,1
2023-09-21 22:00:00,1356.5500000000002,1434.1848,1
2023-09-21 23:00:00,1325.95,1410.9148,1
2023-09-22 00:00:00,1297.775,1388.2033,1
2023-09-22 01:00:00,1274.1,1366.0223,1
2023-09-22 02:00:00,1248.4,1344.3340,1
2023-09-22 03:00:00,1227.15,1323.1006,1
2023-09-22 04:00:00,1207.025,1302.2885,1
2023-09-22 05:00:00,1185.975,1281.8702,1
2023-09-22 06:00:00,1166.125,1261.8237,1
2023-09-22 07:00:00,1152.55,1242.7522,1
2023-09-22 08:00:00,1143.225,1224.2657,1
2023-09-22 09:00:00,1130.8,1206.6554,1
2023-09-22 10:00:00,1122.525,1191.7864,1
2023-09-22 11:00:00,1116.35,1182.7321,1
2023-09-22 12:00:00,1110.2,1182.2597,1
2023-09-22 13:00:00,1106.1,1191.5316,1
2023-09-22 14:00:00,1100.975,1210.3147,1
2023-09-22 15:00:00,1102.0,1237.7527,1
2023-09-22 16:00:00,1102.0,1273.1343,1
