timestamp,obs_m3s,sim_m3s
2024-04-29 16:00:00,527.9,79.8260
2024-04-29 17:00:00,568.875,78.3556
2024-04-29 18:00:00,611.0,95.8155
2024-04-29 19:00:00,696.35,206.6779
2024-04-29 20:00:00,844.225,475.8842
2024-04-29 21:00:00,1047.75,842.0230
2024-04-29 22:00:00,1316.775,1190.5883
2024-04-29 23:00:00,1510.75,1443.5194
2024-04-30 00:00:00,1586.125,1542.3627
2024-04-30 01:00:00,1621.5,1541.1058
2024-04-30 02:00:00,1651.425,1531.7448
2024-04-30 03:00:00,1664.15,1526.5377
2024-04-30 04:00:00,1633.0,1549.5965
2024-04-30 05:00:00,1686.325,1629.5470
2024-04-30 06:00:00,1932.275,1759.5930
2024-04-30 07:00:00,2275.55,1944.3427
2024-04-30 08:00:00,2634.975,2173.1967
2024-04-30 09:00:00,3002.275,2383.1186
2024-04-30 10:00:00,3283.325,2567.9448
2024-04-30 11:00:00,3439.025,2764.4705
2024-04-30 12:00:00,3598.05,2968.7185
2024-04-30 13:00:00,3842.4,3183.8888
2024-04-30 14:00:00,4198.125,3413.7464
2024-04-30 15:00:00,4678.975,3650.3642
2024-04-30 16:00:00,5205.425,3884.9866
2024-04-30 17:00:00,5632.475,4111.8708
2024-04-30 18:00:00,5892.975,4295.0091
2024-04-30 19:00:00,5993.275,4385.6266
2024-04-30 20:00:00,6030.125,4394.3145
2024-04-30 21:00:00,6036.5,4388.1802
2024-04-30 22:00:00,6042.925,4417.4617
2024-04-30 23:00:00,6014.1,4460.1675
2024-05-01 00:00:00,5892.925,4487.1206
2024-05-01 01:00:00,5744.65,4483.3630
2024-05-01 02:00:00,5570.2,4446.6104
2024-05-01 03:00:00,5411.95,4441.6007
2024-05-01 04:00:00,5281.35,4554.8500
2024-05-01 05:00:00,5363.225,4825.5897
2024-05-01 06:00:00,5523.85,5196.8852
2024-05-01 07:00:00,5621.275,5605.8407
2024-05-01 08:00:00,5782.375,6030.0365
2024-05-01 09:00:00,6012.775,6412.5627
2024-05-01 10:00:00,6347.025,6859.0426
2024-05-01 11:00:00,6876.475,7472.4312
2024-05-01 12:00:00,7921.925,8143.4520
2024-05-01 13:00:00,9419.475,8794.3611
2024-05-01 14:00:00,10656.7,9325.6242
2024-05-01 15:00:00,11394.05,9629.5938
2024-05-01 16:00:00,11884.225,9746.0086
2024-05-01 17:00:00,12210.375,9752.8500
2024-05-01 18:00:00,12489.0,9703.3503
2024-05-01 19:00:00,12734.349999999999,9640.6625
2024-05-01 20:00:00,12865.775,9584.6477
2024-05-01 21:00:00,12913.475,9536.8627
2024-05-01 22:00:00,12827.175,9488.7516
2024-05-01 23:00:00,12691.45,9453.2129
2024-05-02 00:00:00,12529.35,9497.0938
2024-05-02 01:00:00,12520.325,9665.2839
2024-05-02 02:00:00,12675.625,9932.5337
2024-05-02 03:00:00,12945.575,10355.8360
2024-05-02 04:00:00,13435.35,10964.3929
2024-05-02 05:00:00,13994.35,11613.8184
2024-05-02 06:00:00,14381.475,12197.6975
2024-05-02 07:00:00,14525.225,12603.4310
2024-05-02 08:00:00,14465.225,12729.3769
2024-05-02 09:00:00,14381.4,12681.9487
2024-05-02 10:00:00,14226.4,12601.4192
2024-05-02 11:00:00,14079.25,12511.3013
2024-05-02 12:00:00,13855.075,12411.7634
2024-05-02 13:00:00,13616.3,12303.5885
2024-05-02 14:00:00,13409.475,12180.4331
2024-05-02 15:00:00,13222.55,12052.4830
2024-05-02 16:00:00,13036.725,11929.8236
2024-05-02 17:00:00,13048.15,11813.8133
2024-05-02 18:00:00,13100.75,11699.4645
2024-05-02 19:00:00,13073.3,11582.7138
2024-05-02 20:00:00,12913.55,11461.1611
2024-05-02 21:00:00,12732.1,11335.3643
2024-05-02 22:00:00,12527.15,11209.6737
2024-05-02 23:00:00,12305.85,11085.9174
