timestamp,obs_m3s,sim_m3s,obs_antas_m3s,sim_antas_m3s,in_core_window
2024-08-23 09:00:00,,25.8557,,15.6209,0
2024-08-23 10:00:00,,26.3069,,35.1311,0
2024-08-23 11:00:00,,28.5873,,66.8594,0
2024-08-23 12:00:00,,35.1157,,110.6756,0
2024-08-23 13:00:00,,48.5749,,157.0403,0
2024-08-23 14:00:00,,70.5298,,201.5823,0
2024-08-23 15:00:00,,100.8116,,244.3732,0
2024-08-23 16:00:00,,137.7007,,285.4818,0
2024-08-23 17:00:00,,179.1496,,324.9741,0
2024-08-23 18:00:00,,223.4750,,362.9136,0
2024-08-23 19:00:00,,269.4178,,399.3612,0
2024-08-23 20:00:00,,316.0659,,434.3755,0
2024-08-23 21:00:00,,362.7687,,468.0129,0
2024-08-23 22:00:00,,409.0761,,500.3273,0
2024-08-23 23:00:00,,454.7094,,531.3708,0
2024-08-24 00:00:00,,499.5020,,561.1932,0
2024-08-24 01:00:00,,543.2919,,589.8426,0
2024-08-24 02:00:00,,585.9325,,617.3649,0
2024-08-24 03:00:00,,627.3549,,643.8045,0
2024-08-24 04:00:00,,667.5309,,669.2038,0
2024-08-24 05:00:00,,706.4551,,693.6037,0
2024-08-24 06:00:00,,744.1370,,717.0436,0
2024-08-24 07:00:00,,780.5957,,739.5610,0
2024-08-24 08:00:00,,815.8566,,761.1923,0
2024-08-24 09:00:00,709.45,849.9496,,781.9722,1
2024-08-24 10:00:00,745.8499999999999,882.9073,,801.9342,1
2024-08-24 11:00:00,801.175,914.7639,,821.1104,1
2024-08-24 12:00:00,866.2,945.5703,,836.8295,1
2024-08-24 13:00:00,947.025,975.4616,,834.7570,1
2024-08-24 14:00:00,1023.775,1004.3183,,819.7748,1
2024-08-24 15:00:00,1065.425,1030.2225,,792.0404,1
2024-08-24 16:00:00,1076.1999999999998,1049.3219,,761.1194,1
2024-08-24 17:00:00,1081.0749999999998,1058.5035,,731.4082,1
2024-08-24 18:00:00,1071.3,1056.9789,,702.8592,1
2024-08-24 19:00:00,1057.575,1046.1115,,675.4272,1
2024-08-24 20:00:00,1038.225,1028.3201,,649.0681,1
2024-08-24 21:00:00,1009.3499999999999,1006.1401,,623.7402,1
2024-08-24 22:00:00,977.95,981.3876,,599.4029,1
2024-08-24 23:00:00,949.75,955.1765,,576.0175,1
2024-08-25 00:00:00,911.725,928.2258,,553.5467,1
2024-08-25 01:00:00,854.475,901.0267,,531.9547,1
2024-08-25 02:00:00,788.05,873.9215,,511.2071,1
2024-08-25 03:00:00,738.15,847.1481,,491.2707,1
2024-08-25 04:00:00,717.0,820.8624,,472.1140,1
2024-08-25 05:00:00,733.05,795.1348,,453.7062,1
2024-08-25 06:00:00,781.1,769.9864,,436.0182,1
2024-08-25 07:00:00,826.725,745.4796,,419.0216,1
2024-08-25 08:00:00,849.9,721.6944,,402.6896,1
