timestamp,sim_q_at_stz_m3s,obs_nivel_stz_cm
2024-04-14 12:00:00,1070.8310,220.0
2024-04-14 13:00:00,1133.3288,360.5
2024-04-14 14:00:00,1194.4587,488.75
2024-04-14 15:00:00,1254.2489,532.75
2024-04-14 16:00:00,1312.7274,544.0
2024-04-14 17:00:00,1369.9222,542.75
2024-04-14 18:00:00,1425.7269,532.5
2024-04-14 19:00:00,1477.8521,519.0
2024-04-14 20:00:00,1520.3011,504.5
2024-04-14 21:00:00,1550.5746,495.0
2024-04-14 22:00:00,1570.4479,489.75
2024-04-14 23:00:00,1578.2836,487.0
2024-04-15 00:00:00,1573.6256,480.25
2024-04-15 01:00:00,1557.9817,473.0
2024-04-15 02:00:00,1534.4959,466.75
2024-04-15 03:00:00,1506.9492,460.5
2024-04-15 04:00:00,1477.3122,451.25
2024-04-15 05:00:00,1446.8299,434.25
2024-04-15 06:00:00,1416.3589,417.25
2024-04-15 07:00:00,1386.1538,405.25
2024-04-15 08:00:00,1356.4075,398.25
2024-04-15 09:00:00,1327.2069,393.5
2024-04-15 10:00:00,1298.5915,389.5
2024-04-15 11:00:00,1270.5754,389.5
2024-04-15 12:00:00,1243.1595,394.25
2024-04-15 13:00:00,1216.3380,399.25
2024-04-15 14:00:00,1190.1017,402.5
2024-04-15 15:00:00,1164.4397,403.25
2024-04-15 16:00:00,1139.3406,402.0
2024-04-15 17:00:00,1114.7925,400.0
2024-04-15 18:00:00,1090.7835,397.5
