constant_loss,events,fitness,index,initial_flow_area_ratio,initial_loss,mean_abs_peak_lag_hours,mean_nse,mean_peak_relative_error,recession_factor,returncode,seconds,status,storage_min,tc_min
1.0,6.0,-8.0706527003,1,0.005,2.5,6.5,-7.853958136,0.7584728215,0.7,0,9.178,ok,5.0,45.0
0.5,6.0,-11.9980842856,2,0.005,0.0,8.5,-11.7715129052,0.707856902,0.8,0,3.593,ok,1.0,60.0
0.5,6.0,-13.3629789116,3,0.005,5.0,6.6666666667,-13.1104600281,0.9292610839,0.7,0,3.609,ok,5.0,45.0
1.0,6.0,-2.7700420583,4,0.001,10.0,34.8333333333,-2.327895228,0.4690674847,0.9,0,3.708,ok,60.0,60.0
0.1,6.0,-19.2535723916,5,0.001,10.0,13.3333333333,-18.9896235595,0.653077494,0.7,0,3.937,ok,30.0,45.0
0.25,6.0,-12.5223063248,6,0.02,5.0,9.0,-12.2855589818,0.7337367153,0.7,0,3.44,ok,30.0,15.0
0.25,6.0,-13.4904502299,7,0.001,5.0,7.5,-13.2882822598,0.6358398509,0.5,0,3.809,ok,30.0,30.0
4.0,6.0,-3.9466602009,8,0.0025,5.0,8.8333333333,-3.7583274875,0.4999969004,0.9,0,3.877,ok,60.0,5.0
2.0,6.0,-1.8947034288,9,0.02,20.0,8.1666666667,-1.7233318745,0.4485244381,0.9,0,4.05,ok,30.0,30.0
0.25,6.0,-12.5223063248,10,0.02,5.0,9.0,-12.2855589818,0.7337367153,0.7,0,3.707,ok,30.0,15.0
4.0,6.0,-3.2959329672,11,0.005,1.0,10.0,-3.1002317297,0.4785061875,0.98,0,3.648,ok,60.0,0.25
4.0,6.0,-3.7968389371,12,0.005,1.0,9.6666666667,-3.5890401887,0.5556604085,0.98,0,3.986,ok,90.0,0.25
4.0,6.0,-4.4299095154,13,0.005,1.0,9.6666666667,-4.2050933092,0.6407476975,0.98,0,3.437,ok,120.0,0.25
4.0,6.0,-5.0095440447,14,0.005,1.0,9.6666666667,-4.7734751551,0.6970111148,0.98,0,3.479,ok,150.0,0.25
4.0,6.0,-5.5092805059,15,0.005,1.0,9.5,-5.2668718904,0.7370430776,0.98,0,4.249,ok,180.0,0.25
4.0,6.0,-6.305441406,16,0.005,1.0,9.5,-6.0523581525,0.7904162674,0.98,0,3.483,ok,240.0,0.25
4.0,6.0,-3.2959329672,17,0.005,1.0,10.0,-3.1002317297,0.4785061875,0.98,0,3.457,ok,60.0,0.5
4.0,6.0,-3.7968389371,18,0.005,1.0,9.6666666667,-3.5890401887,0.5556604085,0.98,0,4.226,ok,90.0,0.5
4.0,6.0,-4.4299095154,19,0.005,1.0,9.6666666667,-4.2050933092,0.6407476975,0.98,0,4.254,ok,120.0,0.5
4.0,6.0,-5.0095440447,20,0.005,1.0,9.6666666667,-4.7734751551,0.6970111148,0.98,0,3.59,ok,150.0,0.5
4.0,6.0,-5.5092805059,21,0.005,1.0,9.5,-5.2668718904,0.7370430776,0.98,0,3.699,ok,180.0,0.5
4.0,6.0,-6.305441406,22,0.005,1.0,9.5,-6.0523581525,0.7904162674,0.98,0,4.073,ok,240.0,0.5
4.0,6.0,-3.2959329672,23,0.005,1.0,10.0,-3.1002317297,0.4785061875,0.98,0,3.516,ok,60.0,0.75
4.0,6.0,-3.7968389371,24,0.005,1.0,9.6666666667,-3.5890401887,0.5556604085,0.98,0,3.468,ok,90.0,0.75
4.0,6.0,-4.4299095154,25,0.005,1.0,9.6666666667,-4.2050933092,0.6407476975,0.98,0,4.254,ok,120.0,0.75
4.0,6.0,-5.0095440447,26,0.005,1.0,9.6666666667,-4.7734751551,0.6970111148,0.98,0,3.767,ok,150.0,0.75
4.0,6.0,-5.5092805059,27,0.005,1.0,9.5,-5.2668718904,0.7370430776,0.98,0,3.661,ok,180.0,0.75
4.0,6.0,-6.305441406,28,0.005,1.0,9.5,-6.0523581525,0.7904162674,0.98,0,3.552,ok,240.0,0.75
4.0,6.0,-3.2959329672,29,0.005,1.0,10.0,-3.1002317297,0.4785061875,0.98,0,3.781,ok,60.0,1.0
