constant_loss,count,index,initial_flow_area_ratio,initial_loss,mae,nse,observed_peak,observed_peak_index,recession_factor,returncode,rmse,seconds,simulated_peak,simulated_peak_index,status,storage_min,tc_min
0.5,239.0,1,0.005,5.0,1318.8539376097,0.7447993358,15447.875,93.0,0.8,0,1878.3521912727,3.097,10657.7992624544,103.0,ok,1.0,60.0
0.1,239.0,2,0.0025,10.0,1561.7110071209,0.6172790577,15447.875,93.0,0.8,0,2300.2616517858,2.171,9952.4352643212,112.0,ok,2.0,75.0
0.05,239.0,3,0.01,2.5,1668.1401386103,0.6136529971,15447.875,93.0,0.8,0,2311.1327906556,2.136,10116.4049427576,111.0,ok,0.5,75.0
0.25,239.0,4,0.005,5.0,1383.88809499,0.7278892756,15447.875,93.0,0.7,0,1939.5856169081,2.362,11268.5810368275,103.0,ok,1.0,60.0
1.0,239.0,5,0.005,10.0,1167.7448143476,0.7689973591,15447.875,93.0,0.95,0,1787.0824839971,2.126,10523.4498778666,96.0,ok,5.0,45.0
0.05,239.0,6,0.02,10.0,1473.1086070257,0.6198493947,15447.875,93.0,0.8,0,2292.5244111387,2.365,13585.6296866463,94.0,ok,1.0,45.0
0.25,239.0,7,0.01,2.5,1457.1891772674,0.709582693,15447.875,93.0,0.8,0,2003.767704623,2.127,11280.6998360537,103.0,ok,0.25,60.0
0.1,239.0,8,0.01,10.0,1671.5277212887,0.5107496918,15447.875,93.0,0.8,0,2600.7683992725,2.131,8652.2649845762,118.0,ok,0.25,90.0
0.05,239.0,9,0.02,0.0,1625.5618243324,0.6588966689,15447.875,93.0,0.8,0,2171.5963646305,2.144,11850.1690334326,103.0,ok,0.25,60.0
1.0,239.0,10,0.01,10.0,1473.2048907789,0.5241966712,15447.875,93.0,0.9,0,2564.7784956262,2.145,7064.3798573161,118.0,ok,1.0,90.0
0.1,239.0,11,0.005,5.0,1463.2287329546,0.7035754771,15447.875,93.0,0.7,0,2024.3853716151,2.345,11623.2331754092,104.0,ok,2.0,60.0
0.1,239.0,12,0.005,0.0,1731.2902636837,0.5157273039,15447.875,93.0,0.8,0,2587.5045222282,2.126,8640.631145118,106.0,ok,0.25,90.0
0.25,239.0,13,0.01,10.0,2006.7397853727,0.2182721179,15447.875,93.0,0.95,0,3287.4861119942,2.377,14880.7126540871,94.0,ok,0.5,30.0
0.1,239.0,14,0.01,5.0,2096.8906624521,0.169799701,15447.875,93.0,0.9,0,3387.8764844081,2.134,15329.2487348641,94.0,ok,0.25,30.0
0.25,239.0,15,0.0025,2.5,1485.6260774981,0.6327353153,15447.875,93.0,0.8,0,2253.3347302718,2.397,12952.5120167558,94.0,ok,0.25,45.0
0.5,239.0,16,0.01,10.0,1612.5458288136,0.5016065733,15447.875,93.0,0.95,0,2624.9575138687,2.111,7945.3619867201,119.0,ok,2.0,90.0
0.05,239.0,17,0.005,0.0,1597.4545154661,0.6077999569,15447.875,93.0,0.9,0,2328.5734648071,2.133,13465.1304221752,95.0,ok,2.0,45.0
0.25,239.0,18,0.01,5.0,1603.4765595462,0.630967994,15447.875,93.0,0.9,0,2258.7498808588,2.362,9682.5132174832,111.0,ok,1.0,75.0
