constant_loss,count,index,initial_flow_area_ratio,initial_loss,mae,nse,observed_peak,observed_peak_index,recession_factor,returncode,rmse,seconds,simulated_peak,simulated_peak_index,status,storage_min,tc_min
0.1,239.0,1,0.005,0.0,2094.9210009185,0.2082056029,15447.875,93.0,0.8,0,3308.5853147038,2.18,6066.0327721628,126.0,ok,60.0,60.0
0.1,239.0,2,0.005,0.0,1875.4124745448,-0.0239055795,15447.875,93.0,0.8,0,3762.40965697,2.093,2910.8924073194,135.0,ok,180.0,60.0
0.1,239.0,3,0.005,0.0,1752.5988796609,-0.1637591489,15447.875,93.0,0.8,0,4011.1387016209,2.17,1636.2614437147,139.0,ok,360.0,60.0
0.1,239.0,4,0.005,0.0,2015.1245279326,-0.2835229242,15447.875,93.0,0.8,0,4212.4808591172,2.391,931.7496894652,228.0,ok,720.0,60.0
0.1,239.0,5,0.005,0.0,2535.9717924361,-0.289205712,15447.875,93.0,0.8,0,4221.7959231373,2.182,4057.845450497,206.0,ok,60.0,180.0
0.1,239.0,6,0.005,0.0,2093.4403254006,-0.2992384038,15447.875,93.0,0.8,0,4238.1912477746,2.569,2479.5526307539,237.0,ok,180.0,180.0
0.1,239.0,7,0.005,0.0,2025.3826024936,-0.3443707186,15447.875,93.0,0.8,0,4311.1749582329,2.164,1526.6446701501,238.0,ok,360.0,180.0
0.1,239.0,8,0.005,0.0,2235.084950501,-0.3917095769,15447.875,93.0,0.8,0,4386.4222269757,2.418,854.3436400607,238.0,ok,720.0,180.0
0.1,239.0,9,0.005,0.0,2007.6000927219,-0.3061562598,15447.875,93.0,0.8,0,4249.4594923317,2.167,2261.8534994815,238.0,ok,60.0,360.0
0.1,239.0,10,0.005,0.0,2148.1161193874,-0.37455332,15447.875,93.0,0.8,0,4359.3016433375,2.655,1290.7682751017,238.0,ok,180.0,360.0
0.1,239.0,11,0.005,0.0,2311.2730242249,-0.4106001235,15447.875,93.0,0.8,0,4416.0917152029,2.122,765.5288981052,238.0,ok,360.0,360.0
0.1,239.0,12,0.005,0.0,2418.7500732762,-0.4356016097,15447.875,93.0,0.8,0,4455.055245879,2.428,421.7354697605,238.0,ok,720.0,360.0
0.1,239.0,13,0.005,0.0,2255.3801823566,-0.3903672051,15447.875,93.0,0.8,0,4384.3062575312,2.146,809.4289588553,238.0,ok,60.0,720.0
0.1,239.0,14,0.005,0.0,2397.852598477,-0.4291960343,15447.875,93.0,0.8,0,4445.1050283805,2.146,462.8581435192,238.0,ok,180.0,720.0
0.1,239.0,15,0.005,0.0,2460.3765767511,-0.4456321356,15447.875,93.0,0.8,0,4470.5918551347,2.444,276.2210394798,238.0,ok,360.0,720.0
0.1,239.0,16,0.005,0.0,2498.4014612451,-0.4557607994,15447.875,93.0,0.8,0,4486.2258753643,2.176,154.1728376651,238.0,ok,720.0,720.0
0.5,239.0,17,0.005,0.0,1934.7329351108,0.2173104697,15447.875,93.0,0.8,0,3289.5075529063,2.355,5501.7874487908,126.0,ok,60.0,60.0
0.5,239.0,18,0.005,0.0,1811.4748999951,-0.0425028497,15447.875,93.0,0.8,0,3796.4243567751,2.14,2632.7408039186,135.0,ok,180.0,60.0
0.5,239.0,19,0.005,0.0,1764.9335050546,-0.1847762037,15447.875,93.0,0.8,0,4047.1964646555,2.118,1478.7914035128,138.0,ok,360.0,60.0
0.5,239.0,20,0.005,0.0,2068.2828774559,-0.29902715,15447.875,93.0,0.8,0,4237.8466726479,2.378,837.7445234599,227.0,ok,720.0,60.0
0.5,239.0,21,0.005,0.0,2418.7605605494,-0.2686218217,15447.875,93.0,0.8,0,4187.9570047918,2.123,3663.5202357217,207.0,ok,60.0,180.0
0.5,239.0,22,0.005,0.0,2044.9058643208,-0.305286808,15447.875,93.0,0.8,0,4248.0449161792,2.111,2234.826144878,236.0,ok,180.0,180.0
0.5,239.0,23,0.005,0.0,2056.946501415,-0.3533552914,15447.875,93.0,0.8,0,4325.5569901116,2.134,1375.6208115801,238.0,ok,360.0,180.0
0.5,239.0,24,0.005,0.0,2266.2739003026,-0.3985025937,15447.875,93.0,0.8,0,4397.1143888482,2.764,769.9755192694,238.0,ok,720.0,180.0
0.5,239.0,25,0.005,0.0,1998.8448339358,-0.3151218188,15447.875,93.0,0.8,0,4264.0188625911,2.491,2035.1673730635,238.0,ok,60.0,360.0
0.5,239.0,26,0.005,0.0,2179.9231196044,-0.3821851596,15447.875,93.0,0.8,0,4371.3868198389,2.406,1161.1783661259,238.0,ok,180.0,360.0
0.5,239.0,27,0.005,0.0,2335.0535378883,-0.4158957875,15447.875,93.0,0.8,0,4424.3733782516,2.148,688.7843985053,238.0,ok,360.0,360.0
0.5,239.0,28,0.005,0.0,2431.4738839273,-0.4387706745,15447.875,93.0,0.8,0,4459.969762381,2.141,379.7150142852,238.0,ok,720.0,360.0
0.5,239.0,29,0.005,0.0,2284.6768599985,-0.3973986531,15447.875,93.0,0.8,0,4395.3785638726,2.416,728.2685487624,238.0,ok,60.0,720.0
0.5,239.0,30,0.005,0.0,2412.6795932977,-0.4329560162,15447.875,93.0,0.8,0,4450.948361192,2.146,416.6577767873,238.0,ok,180.0,720.0
0.5,239.0,31,0.005,0.0,2468.7948823334,-0.4478556048,15447.875,93.0,0.8,0,4474.0285537038,2.781,248.8890122606,238.0,ok,360.0,720.0
0.5,239.0,32,0.005,0.0,2502.9053541047,-0.4569834625,15447.875,93.0,0.8,0,4488.1094236083,2.134,139.2154323293,238.0,ok,720.0,720.0
1.5,239.0,33,0.005,0.0,1633.200505826,0.1763627665,15447.875,93.0,0.8,0,3374.4586538537,2.364,4257.5830011445,125.0,ok,60.0,60.0
1.5,239.0,34,0.005,0.0,1705.2924307716,-0.1051639895,15447.875,93.0,0.8,0,3908.8543513859,2.118,2022.5310229128,134.0,ok,180.0,60.0
