constant_loss,count,index,initial_flow_area_ratio,initial_loss,mae,nse,observed_peak,observed_peak_index,recession_factor,returncode,rmse,seconds,simulated_peak,simulated_peak_index,status,storage_min,tc_min
0.1,239.0,1,0.005,0.0,4396.9073157404,-4.3044778721,15447.875,93.0,0.8,0,8563.6211616984,2.457,46204.292992143,54.0,ok,1.0,1.0
0.1,239.0,2,0.005,0.0,2447.444957048,-0.036022718,15447.875,93.0,0.8,0,3784.6067972099,2.375,15210.7122035297,82.0,ok,15.0,1.0
0.1,239.0,3,0.005,0.0,1709.1225771351,0.5612000755,15447.875,93.0,0.8,0,2463.0282766509,2.51,7549.3996329977,88.0,ok,60.0,1.0
0.1,239.0,4,0.005,0.0,3233.3911667709,-1.0656964308,15447.875,93.0,0.8,0,5344.0360014664,2.423,21717.4877169519,85.0,ok,1.0,15.0
0.1,239.0,5,0.005,0.0,1613.8755797062,0.5202011567,15447.875,93.0,0.8,0,2575.5247280092,2.146,14244.7396165891,91.0,ok,15.0,15.0
0.1,239.0,6,0.005,0.0,1636.0138701531,0.6043584041,15447.875,93.0,0.8,0,2338.7677585695,2.447,7234.9732676267,96.0,ok,60.0,15.0
0.1,239.0,7,0.005,0.0,1555.4552386754,0.6799670207,15447.875,93.0,0.8,0,2103.4562956205,2.118,11667.084210535,103.0,ok,1.0,60.0
0.1,239.0,8,0.005,0.0,1659.1009672704,0.5386452125,15447.875,93.0,0.8,0,2525.5364535478,2.114,10191.0812675085,111.0,ok,15.0,60.0
0.1,239.0,9,0.005,0.0,2094.9210009185,0.2082056029,15447.875,93.0,0.8,0,3308.5853147038,2.087,6066.0327721628,126.0,ok,60.0,60.0
0.5,239.0,10,0.005,0.0,4047.0423208349,-3.7313458445,15447.875,93.0,0.8,0,8087.7640528736,2.162,44729.1417451626,54.0,ok,1.0,1.0
0.5,239.0,11,0.005,0.0,2318.8004883404,0.0669629665,15447.875,93.0,0.8,0,3591.5801825866,2.411,14107.9543571258,82.0,ok,15.0,1.0
0.5,239.0,12,0.005,0.0,1588.7862450603,0.5445442421,15447.875,93.0,0.8,0,2509.3383508199,2.12,6907.3505026964,88.0,ok,60.0,1.0
0.5,239.0,13,0.005,0.0,3017.1707586904,-0.7891255442,15447.875,93.0,0.8,0,4973.4360021709,2.124,20179.9046201732,85.0,ok,1.0,15.0
0.5,239.0,14,0.005,0.0,1557.2978646783,0.5826104481,15447.875,93.0,0.8,0,2402.1875538067,2.396,13121.7138414746,91.0,ok,15.0,15.0
0.5,239.0,15,0.005,0.0,1509.4240448991,0.5866049801,15447.875,93.0,0.8,0,2390.6651238579,2.148,6611.7787368244,96.0,ok,60.0,15.0
0.5,239.0,16,0.005,0.0,1373.0879456934,0.7315425158,15447.875,93.0,0.8,0,1926.5216042367,2.38,10657.7992624544,103.0,ok,1.0,60.0
0.5,239.0,17,0.005,0.0,1497.3708307685,0.5787668728,15447.875,93.0,0.8,0,2413.2226050643,2.111,9310.3043976043,111.0,ok,15.0,60.0
0.5,239.0,18,0.005,0.0,1934.7329351108,0.2173104697,15447.875,93.0,0.8,0,3289.5075529063,2.124,5501.7874487908,126.0,ok,60.0,60.0
0.1,239.0,19,0.005,5.0,4327.1026999062,-4.2705791006,15447.875,93.0,0.8,0,8536.2139857694,2.189,46204.292992143,54.0,ok,1.0,1.0
0.1,239.0,20,0.005,5.0,2378.224045056,-0.0134654508,15447.875,93.0,0.8,0,3743.1790345429,2.148,15193.6139942002,82.0,ok,15.0,1.0
0.1,239.0,21,0.005,5.0,1662.5512025306,0.5660521169,15447.875,93.0,0.8,0,2449.3729237975,2.378,7458.681970491,88.0,ok,60.0,1.0
0.1,239.0,22,0.005,5.0,3149.3583589937,-1.0172774812,15447.875,93.0,0.8,0,5281.033785746,2.13,21643.774023664,85.0,ok,1.0,15.0
0.1,239.0,23,0.005,5.0,1545.700011512,0.5407825007,15447.875,93.0,0.8,0,2519.6797185576,2.39,14229.3449843274,91.0,ok,15.0,15.0
0.1,239.0,24,0.005,5.0,1592.0576956557,0.6063215806,15447.875,93.0,0.8,0,2332.958051226,1.933,7145.594054272,96.0,ok,60.0,15.0
0.1,239.0,25,0.005,5.0,1485.9469473298,0.6997070995,15447.875,93.0,0.8,0,2037.5517980201,2.144,11667.084210535,103.0,ok,1.0,60.0
0.1,239.0,26,0.005,5.0,1606.2652207408,0.5455332388,15447.875,93.0,0.8,0,2506.6124261249,2.373,10163.8910591835,111.0,ok,15.0,60.0
0.1,239.0,27,0.005,5.0,2064.9726545343,0.1980823641,15447.875,93.0,0.8,0,3329.6685801294,2.135,5985.0234841907,126.0,ok,60.0,60.0
0.5,239.0,28,0.005,5.0,3992.621670235,-3.7108123976,15447.875,93.0,0.8,0,8070.1950300825,2.338,44729.1417451626,54.0,ok,1.0,1.0
0.5,239.0,29,0.005,5.0,2265.1973124938,0.0817226234,15447.875,93.0,0.8,0,3563.0594451371,2.15,14094.5095825031,82.0,ok,15.0,1.0
0.5,239.0,30,0.005,5.0,1554.7643478933,0.546088594,15447.875,93.0,0.8,0,2505.0804265427,2.418,6836.0771278196,88.0,ok,60.0,1.0
0.5,239.0,31,0.005,5.0,2952.1743273566,-0.7582044493,15447.875,93.0,0.8,0,4930.2712431988,2.141,20122.8042057525,85.0,ok,1.0,15.0
0.5,239.0,32,0.005,5.0,1504.5159973502,0.595988182,15447.875,93.0,0.8,0,2363.3778461896,2.447,13109.6086345978,91.0,ok,15.0,15.0
0.5,239.0,33,0.005,5.0,1475.4549892223,0.5858967241,15447.875,93.0,0.8,0,2392.7121709812,2.168,6541.5569299173,96.0,ok,60.0,15.0
0.5,239.0,34,0.005,5.0,1318.8539376097,0.7447993358,15447.875,93.0,0.8,0,1878.3521912727,2.148,10657.7992624544,103.0,ok,1.0,60.0
0.5,239.0,35,0.005,5.0,1456.4827373284,0.5817199329,15447.875,93.0,0.8,0,2404.7487637942,2.387,9288.9240170142,111.0,ok,15.0,60.0
0.5,239.0,36,0.005,5.0,1913.6412596233,0.2071668894,15447.875,93.0,0.8,0,3310.7547831535,2.143,5438.1415700216,126.0,ok,60.0,60.0
