index,observed_m3s,simulated_m3s
0,158.8000030517578,64.0411479765792
1,117.2249984741211,63.09644052550944
2,76.5,62.16566899214737
3,55.25,61.24862779983309
4,44.54999923706055,60.34511440448512
5,39.599998474121094,59.45492924986512
6,36.75,58.577875723502444
7,35.54999923706055,57.71376011326902
8,34.849998474121094,56.8623915645947
9,34.400001525878906,56.02358203831382
10,34.17499923706055,55.19714626913353
11,33.724998474121094,54.38290172471488
12,33.724998474121094,53.58066856535738
13,33.5,52.79026960427842
14,33.5,52.011530268478545
15,33.5,51.244278560184036
16,36.57500076293945,50.48834501885832
17,86.5,49.7435626837737
18,158.125,49.009767057135306
19,176.85000610351562,49.2906591762973
20,170.14999389648438,53.088472104812524
21,160.89999389648438,60.83837817908579
22,151.47500610351562,73.04698552631615
23,146.8249969482422,92.2241127119851
24,128.6999969482422,117.66414763149976
25,88.3499984741211,150.89852498540915
26,62.099998474121094,194.01079034368644
27,48.974998474121094,243.23703949700084
28,42.5,294.5314808148278
29,39.125,345.8788427128104
30,37.95000076293945,396.294156924665
31,37.70000076293945,445.2479884868551
32,41.04999923706055,492.4669129131578
33,45.57500076293945,537.8316172404079
34,48.974998474121094,581.3178899152459
35,50.025001525878906,622.9601772729122
36,52.25,662.82825590094
37,104.5999984741211,701.0120115199932
38,173.0749969482422,737.611432403937
39,203.47500610351562,772.7300465048171
40,210.6750030517578,806.4706716457123
41,209.25,838.8930527501549
42,205.35000610351562,869.7477042024321
43,209.72500610351562,898.4015854783876
44,221.0,924.4852478820852
45,229.52499389648438,947.5099201753843
46,238.6750030517578,966.6273408836319
47,234.625,981.4737475928326
48,205.9250030517578,991.2122937566924
49,182.375,995.0187406750605
50,173.25,993.3211116570428
51,172.8000030517578,986.9347616755434
52,175.5,993.55117812991
53,183.75,1046.337005998701
54,196.35000610351562,1164.7157823379616
55,220.5749969482422,1338.4796572254565
56,248.0,1544.9128302822965
57,265.95001220703125,1773.6730466629856
58,286.17498779296875,2021.7643968388509
59,318.75,2280.8719074468777
60,351.29998779296875,2542.0686808002906
61,409.45001220703125,2800.648417754949
62,497.9750061035156,3051.6304137750435
63,541.3499755859375,3290.919549636047
64,559.5,3515.739328155947
65,558.1500244140625,3725.4126667068663
66,565.5999755859375,3921.5563268228557
67,586.8250122070312,4104.253251938769
68,586.125,4274.574813497228
69,591.0,4437.471130157005
70,597.9000244140625,4596.671907541282
71,612.5999755859375,4760.376457016291
72,644.5,4935.661690081911
73,701.2249755859375,5129.919453459791
74,775.0750122070312,5352.740876475651
75,874.9249877929688,5601.33872902706
76,989.3250122070312,5864.313346007062
77,1102.8499755859375,6137.195179483614
78,1222.050048828125,6415.30794898523
79,1411.2249755859375,6698.394238927919
80,1783.4749755859375,6990.391450833226
81,2668.27490234375,7283.313024128802
82,4166.4248046875,7582.875631613844
83,5584.5,7884.4107756158555
84,7420.35009765625,8170.021077561315
85,9411.5751953125,8449.114085239855
86,10827.275390625,8713.775545056302
87,11917.474609375,8971.1940119231
88,12940.4248046875,9227.261095325674
89,13854.724609375,9470.546271634505
90,14602.025390625,9693.230606315341
91,15057.0,9892.08680467253
92,15292.4248046875,10068.649982943727
93,15447.875,10223.657497343638
94,15282.9248046875,10351.049389520234
95,15063.83984375,10442.877286413293
96,14627.9521484375,10485.996281087744
97,14087.4677734375,10460.944463067326
98,13644.044921875,10368.222140486512
99,13151.6650390625,10236.668092629563
100,12659.8125,10096.857121542947
101,12166.107421875,9958.41586571747
102,11727.955078125,9815.675571484388
103,11248.4599609375,9668.77464313072
104,10776.7373046875,9521.150403617292
105,10253.447265625,9370.730391881587
106,9776.2529296875,9215.340537845743
107,9258.2724609375,9054.892258401374
108,8673.912109375,8887.750511375949
109,8232.2998046875,8711.493872913283
110,7864.47998046875,8521.422312013792
111,7478.46240234375,8283.385105541152
112,6991.4775390625,8024.433820951203
113,6648.24755859375,7758.982191428356
114,6229.5,7501.048046700392
115,5977.89990234375,7216.919869732394
116,5687.72998046875,6901.859909297113
117,5165.66748046875,6562.6847615255565
118,4794.89013671875,6203.587512095717
119,4606.8251953125,5813.5299929362645
120,4475.68505859375,5411.156030813597
121,4374.22021484375,4999.009808998695
122,4176.892578125,4579.565277936211
123,3908.767578125,4162.593321059061
124,3596.25244140625,3753.9352304378785
125,3400.9150390625,3357.841474145508
126,3292.20751953125,2978.6925820956535
127,3231.070068359375,2624.475956143891
128,3205.97509765625,2299.023242576887
129,3079.00244140625,2004.9849426893281
130,2941.18994140625,1737.3000664796034
131,2752.08740234375,1496.4138166755176
132,2607.70751953125,1253.8827717816646
133,2531.282470703125,1048.1701717051026
134,2335.739990234375,1032.708016473891
135,2095.905029296875,1017.4739523016005
136,2014.5,1002.4646144871028
137,1981.4300537109375,987.6766879638918
138,1981.425048828125,973.106906567896
139,1974.842529296875,958.75205231609
140,1954.0450439453125,944.6089546957496
141,1917.0400390625,930.6744899641892
142,1884.60498046875,916.9455804588309
143,1841.7049560546875,903.4191939174508
144,1781.22998046875,890.0923428084518
145,1741.322509765625,876.9620836710172
146,1703.8349609375,864.0255164649976
147,1654.3349609375,851.2797839303873
148,1614.5474853515625,838.7220709562508
149,1567.092529296875,826.3496039589572
150,1500.3824462890625,814.1596502695876
151,1449.3375244140625,802.1495175303788
152,1420.1949462890625,788.3279527313146
153,1403.7900390625,776.6988780759976
154,1375.02001953125,765.2413505247387
155,1357.8699951171875,753.9528394884939
156,1328.5274658203125,742.83085170838
157,1306.905029296875,731.8729307049957
158,1277.0625,721.0766562358665
159,1257.6175537109375,710.4396437608932
160,1230.030029296875,699.9595439156857
161,1212.68505859375,689.6340419926663
162,1189.0999755859375,679.4608574298273
163,1168.385009765625,669.43774330703
164,1146.91748046875,659.5624858497346
165,1130.0274658203125,649.8329039400504
166,1111.4725341796875,644.5711821106419
167,1095.6650390625,647.4979987566057
168,1081.6824951171875,664.5722482497129
169,1072.114990234375,702.3018260112159
170,1060.842529296875,762.950674616417
171,1050.47998046875,849.7412176493535
172,1056.532470703125,958.7991931876596
173,1081.6925048828125,1079.9203090197148
174,1113.2425537109375,1204.7821358125912
175,1150.4949951171875,1329.082840477007
176,1210.0050048828125,1450.6556562138949
177,1278.9549560546875,1568.3360136772867
178,1353.199951171875,1681.5360661828017
179,1430.9024658203125,1790.0190424099637
180,1500.407470703125,1893.7656710713281
181,1545.0574951171875,1992.8905735221995
182,1581.1624755859375,2087.588308338995
183,1619.635009765625,2178.0980061018017
184,1664.612548828125,2264.680081057149
185,1709.0174560546875,2347.6009727729015
186,1741.2950439453125,2427.123305755419
187,1754.905029296875,2503.4997342878746
188,1769.60498046875,2576.7983621262733
189,1764.3499755859375,2646.040175938478
190,1760.1500244140625,2709.884698038815
191,1735.0350341796875,2766.067200179997
192,1715.2449951171875,2811.877194647202
193,1683.135009765625,2845.0861835866117
194,1656.3924560546875,2863.461086264777
195,1627.77001953125,2866.636798124086
196,1603.387451171875,2856.2091197888835
197,1573.0975341796875,2834.5466921115967
198,1549.0400390625,2809.1480799254705
199,1522.1324462890625,2784.7594050749244
200,1504.300048828125,2758.074117639341
201,1483.5875244140625,2726.7862018405594
202,1478.6724853515625,2690.24169269624
203,1474.74755859375,2648.1877138957857
204,1466.9033203125,2600.4932312137494
205,1460.0574951171875,2547.026040735916
206,1454.1949462890625,2487.5754262473715
207,1450.2950439453125,2421.7797057626312
208,1442.5074462890625,2349.023661424769
209,1438.6175537109375,2268.2273667696218
210,1429.8800048828125,2176.9951992631713
211,1418.2574462890625,2071.9820285103115
212,1408.6075439453125,1953.362099354046
213,1399.93994140625,1820.9830746920197
214,1395.135009765625,1679.1726917144215
215,1379.7950439453125,1534.9885333062393
216,1373.1099853515625,1395.2447572782462
217,1362.62255859375,1271.443248798615
218,1353.12255859375,1169.2301531699245
219,1336.072509765625,1086.7921899250846
220,1321.927490234375,1020.193841413626
221,1305.030029296875,964.8987424804777
222,1207.864990234375,917.268287298376
223,1062.6199951171875,875.6535399148208
224,1015.39501953125,838.9214787723472
225,983.2449951171875,798.4344259293832
226,972.3300170898438,768.5886509440788
227,981.5599975585938,727.5791211057838
228,1006.905029296875,699.394526668633
229,1050.510009765625,666.7735052469096
230,1103.5849609375,638.7041105548999
231,1188.7574462890625,620.878555705479
232,1352.217529296875,606.9323527586633
233,1375.0174560546875,592.1933059607659
234,1374.06494140625,576.672626794307
235,1329.512451171875,560.3545031365256
236,1253.9925537109375,543.1927155987162
237,1177.4224853515625,525.1033330774342
238,1123.8499755859375,505.95034978260287
