constant_loss,event_id,initial_flow_ratio,initial_loss,k1,k2,mae_m3s,nse,observed_peak_m3s,pairs,peak_lag_hours,peak_relative_error,recession,rmse_m3s,simulated_peak_m3s,status,storage,tc
4.0,E19,0.005,1.0,1.0,1.0,605.0580139705,-16.629947916,1408.375,53,16.0,0.3891334577,0.98,662.7171696779,860.3291665543,ok,90.0,4.0
4.0,E22,0.005,1.0,1.0,1.0,1114.9304549193,-0.0545459771,10437.6669921875,110,0.0,0.7580043223,0.98,1657.1197215163,2525.8702971661,ok,90.0,4.0
4.0,E24,0.005,1.0,1.0,1.0,1930.6117532609,-0.0445359294,11434.9501953125,238,-11.0,0.6737668533,0.98,2984.7211926122,3730.4597847928,ok,90.0,4.0
4.0,E27,0.005,1.0,1.0,1.0,1413.1738251585,0.8230813131,14525.224609375,245,2.0,0.1301665062,0.98,1688.6851842987,12634.5268699588,ok,90.0,4.0
4.0,E28,0.005,1.0,1.0,1.0,1034.3037133178,0.228083932,7886.7250976562,209,-16.0,0.5430560443,0.98,1567.6286216684,3603.7913637993,ok,90.0,4.0
3.0,E19,0.005,0.0,0.25,0.25,402.7443846037,-8.3116416514,1408.375,53,15.0,0.2066694076,0.98,481.6325554648,1117.3069730029,ok,90.0,4.0
3.0,E22,0.005,0.0,0.25,0.25,830.8631461171,0.2774343672,10437.6669921875,110,0.0,0.6807285726,0.98,1371.7020163909,3332.4488388754,ok,90.0,4.0
3.0,E24,0.005,0.0,0.25,0.25,1691.2073365136,0.1437475566,11434.9501953125,238,-13.0,0.6142698637,0.98,2702.3586661798,4410.8048968966,ok,90.0,4.0
3.0,E27,0.005,0.0,0.25,0.25,1694.3946338256,0.7293412443,14525.224609375,245,0.0,0.0317905657,0.98,2088.6846729941,14063.4595022506,ok,90.0,4.0
3.0,E28,0.005,0.0,0.25,0.25,765.4211354639,0.4528175286,7886.7250976562,209,-17.0,0.461270952,0.98,1319.8489520732,4248.8079036048,ok,90.0,4.0
3.0,E19,0.005,1.0,1.0,1.0,412.2867888965,-8.5580130619,1408.375,53,17.0,0.2117945315,0.98,487.9625786153,1110.0888767094,ok,90.0,4.0
3.0,E22,0.005,1.0,1.0,1.0,810.8538097072,0.2742394479,10437.6669921875,110,0.0,0.6892693868,0.98,1374.73125224,3243.3026644385,ok,90.0,4.0
3.0,E24,0.005,1.0,1.0,1.0,1702.9380427912,0.1316324562,11434.9501953125,238,-11.0,0.6156190495,0.98,2721.4093281292,4395.3770253483,ok,90.0,4.0
3.0,E27,0.005,1.0,1.0,1.0,1731.3672596044,0.7180911211,14525.224609375,245,2.0,0.03245644,0.98,2131.6515614914,14053.7875289117,ok,90.0,4.0
3.0,E28,0.005,1.0,1.0,1.0,735.6209149331,0.4841966336,7886.7250976562,209,-16.0,0.4631260702,0.98,1281.4457637818,4234.1770960659,ok,90.0,4.0
2.0,E19,0.0025,2.5,1.0,1.0,391.0186118024,-7.3971401963,1408.375,53,21.0,0.2766459129,0.8,457.3707741316,1797.9961875657,ok,45.0,10.0
2.0,E22,0.0025,2.5,1.0,1.0,858.6091889925,0.5484033337,10437.6669921875,110,0.0,0.3656777863,0.8,1084.4174311978,6620.8440324785,ok,45.0,10.0
2.0,E24,0.0025,2.5,1.0,1.0,1137.9739659745,0.6867919284,11434.9501953125,238,-7.0,0.2402813432,0.8,1634.4007407169,8687.3450034427,ok,45.0,10.0
2.0,E27,0.0025,2.5,1.0,1.0,3395.7236343139,-0.2582964197,14525.224609375,245,6.0,0.6312487362,0.8,4503.5326932919,23694.2542872548,ok,45.0,10.0
2.0,E28,0.0025,2.5,1.0,1.0,596.3749538864,0.7062141475,7886.7250976562,209,-12.0,0.107156199,0.8,967.1048976704,8731.8365816102,ok,45.0,10.0
0.88,E19,0.001,5.5,1.0,1.0,653.1152756096,-28.466971777,1408.375,53,-24.0,0.9520901382,0.7,856.782251494,2749.2749484173,ok,34.3,22.5
0.88,E22,0.001,5.5,1.0,1.0,817.7173343692,0.2363053746,10437.6669921875,110,0.0,0.2434530361,0.7,1410.2009190895,7896.5852726816,ok,34.3,22.5
0.88,E24,0.001,5.5,1.0,1.0,895.0738400231,0.817112294,11434.9501953125,238,2.0,0.0030390163,0.7,1248.9191760058,11400.1991957585,ok,34.3,22.5
0.88,E27,0.001,5.5,1.0,1.0,5001.5970150732,-2.0662531007,14525.224609375,245,14.0,0.9673453499,0.7,7030.1702033754,28576.1330910461,ok,34.3,22.5
0.88,E28,0.001,5.5,1.0,1.0,1585.1480347324,-0.1632315626,7886.7250976562,209,-2.0,0.4997759524,0.7,1924.3817625528,11828.3206448006,ok,34.3,22.5
1.0,E19,0.001,5.0,1.0,1.0,444.4578677627,-10.6347758602,1408.375,53,-19.0,0.3929764328,0.9,538.3710748004,1961.8331835853,ok,60.0,30.0
1.0,E22,0.001,5.0,1.0,1.0,623.4070289445,0.5087111422,10437.6669921875,110,0.0,0.5492212362,0.9,1131.0702607458,4705.0786233331,ok,60.0,30.0
1.0,E24,0.001,5.0,1.0,1.0,1655.3470047995,0.4300590195,11434.9501953125,238,10.0,0.3502222084,0.9,2204.7381663284,7430.1766846356,ok,60.0,30.0
1.0,E27,0.001,5.0,1.0,1.0,4376.2567227069,-0.8995827662,14525.224609375,245,20.0,0.4561623146,0.9,5533.3857817952,21151.0846869243,ok,60.0,30.0
1.0,E28,0.001,5.0,1.0,1.0,1337.5366947663,0.3563196831,7886.7250976562,209,6.0,0.052586341,0.9,1431.5062817402,7471.9910824835,ok,60.0,30.0
4.0,E19,0.005,1.0,0.5,0.5,601.4334047091,-16.404231186,1408.375,53,15.0,0.3846100178,0.98,658.4611096912,866.6998662167,ok,90.0,4.0
4.0,E22,0.005,1.0,0.5,0.5,1115.797461559,-0.049260733,10437.6669921875,110,0.0,0.7528251101,0.98,1652.9618735831,2579.9291892568,ok,90.0,4.0
4.0,E24,0.005,1.0,0.5,0.5,1931.8808843736,-0.0390632412,11434.9501953125,238,-12.0,0.6732331138,0.98,2976.8919261549,3736.5630690989,ok,90.0,4.0
4.0,E27,0.005,1.0,0.5,0.5,1404.3207380714,0.8292250897,14525.224609375,245,1.0,0.1290540019,0.98,1659.1050005715,12650.686245148,ok,90.0,4.0
4.0,E28,0.005,1.0,0.5,0.5,1058.5133122296,0.2101539273,7886.7250976562,209,-17.0,0.5417811049,0.98,1585.7304841156,3613.8464602683,ok,90.0,4.0
4.0,E19,0.005,1.0,2.0,2.0,612.4375226477,-17.0142474276,1408.375,53,19.0,0.3992554273,0.98,669.9012213209,846.0736376226,ok,90.0,4.0
4.0,E22,0.005,1.0,2.0,2.0,1120.3438560229,-0.0725441965,10437.6669921875,110,0.0,0.762205146,0.98,1671.2011465577,2482.0234982571,ok,90.0,4.0
4.0,E24,0.005,1.0,2.0,2.0,1927.7941712281,-0.0589190887,11434.9501953125,238,-9.0,0.677878444,0.98,3005.2005957355,3683.4439493952,ok,90.0,4.0
4.0,E27,0.005,1.0,2.0,2.0,1475.6279945908,0.8029991344,14525.224609375,245,4.0,0.1368321131,0.98,1781.9516109716,12537.7074327242,ok,90.0,4.0
4.0,E28,0.005,1.0,2.0,2.0,1005.6746303747,0.2537435243,7886.7250976562,209,-13.0,0.5479916322,0.98,1541.3533121853,3564.865739019,ok,90.0,4.0
4.0,E19,0.005,1.0,3.0,3.0,619.9946832977,-17.3079906014,1408.375,53,22.0,0.4101629795,0.98,675.3408936965,830.7117136806,ok,90.0,4.0
4.0,E22,0.005,1.0,3.0,3.0,1127.2366936325,-0.1076546816,10437.6669921875,110,0.0,0.7689311675,0.98,1698.3348442835,2411.8195261455,ok,90.0,4.0
4.0,E24,0.005,1.0,3.0,3.0,1924.8893650254,-0.0777790838,11434.9501953125,238,-6.0,0.6827704943,0.98,3031.8447104959,3627.5035978696,ok,90.0,4.0
4.0,E27,0.005,1.0,3.0,3.0,1582.547125825,0.7743534533,14525.224609375,245,7.0,0.1448572245,0.98,1907.1119397582,12421.1408875286,ok,90.0,4.0
4.0,E28,0.005,1.0,3.0,3.0,1003.1776936952,0.265687195,7886.7250976562,209,-11.0,0.5546312336,0.98,1528.9690501294,3512.5010275938,ok,90.0,4.0
2.0,E19,0.0025,2.5,0.5,0.5,394.3012890279,-7.3277062785,1408.375,53,20.0,0.2824598912,0.8,455.4759048868,1806.1844492656,ok,45.0,10.0
2.0,E22,0.0025,2.5,0.5,0.5,880.6514024037,0.5339292807,10437.6669921875,110,0.0,0.3569655157,0.8,1101.6586176073,6711.7798114331,ok,45.0,10.0
2.0,E24,0.0025,2.5,0.5,0.5,1130.3174594694,0.6917062922,11434.9501953125,238,-8.0,0.2380764142,0.8,1621.5278350188,8712.5582558116,ok,45.0,10.0
2.0,E27,0.0025,2.5,0.5,0.5,3397.5964587899,-0.2566694551,14525.224609375,245,5.0,0.6337737581,0.8,4500.6202404601,23730.9307966075,ok,45.0,10.0
2.0,E28,0.0025,2.5,0.5,0.5,622.3978394642,0.6550484977,7886.7250976562,209,-13.0,0.1098838119,0.8,1047.9418005039,8753.348514754,ok,45.0,10.0
2.0,E19,0.0025,2.5,2.0,2.0,379.446337469,-7.268242176,1408.375,53,24.0,0.2585479609,0.8,453.8468255451,1772.5074844662,ok,45.0,10.0
2.0,E22,0.0025,2.5,2.0,2.0,836.9311100988,0.5360269912,10437.6669921875,110,0.0,0.393877319,0.8,1099.1766261033,6326.5067004864,ok,45.0,10.0
2.0,E24,0.0025,2.5,2.0,2.0,1158.3810380776,0.6687322591,11434.9501953125,238,-5.0,0.248824478,0.8,1680.8604196289,8589.6546820943,ok,45.0,10.0
2.0,E27,0.0025,2.5,2.0,2.0,3396.0985814325,-0.2722353577,14525.224609375,245,8.0,0.6220113383,0.8,4528.4082196561,23560.0790084704,ok,45.0,10.0
2.0,E28,0.0025,2.5,2.0,2.0,543.6233164461,0.7910675926,7886.7250976562,209,-10.0,0.0955890226,0.8,815.5696348313,8640.6094414543,ok,45.0,10.0
2.0,E19,0.0025,2.5,3.0,3.0,361.6736875189,-6.7940999264,1408.375,53,26.0,0.2348810288,0.8,440.6417998927,1739.1755688724,ok,45.0,10.0
2.0,E22,0.0025,2.5,3.0,3.0,830.8674490422,0.4841330698,10437.6669921875,110,0.0,0.4373097314,0.8,1159.0174385701,5873.1736434521,ok,45.0,10.0
2.0,E24,0.0025,2.5,3.0,3.0,1186.1830976956,0.6392435607,11434.9501953125,238,-2.0,0.2606858481,0.8,1754.0788964529,8454.0205057504,ok,45.0,10.0
2.0,E27,0.0025,2.5,3.0,3.0,3401.7038577222,-0.2970289942,14525.224609375,245,10.0,0.6088854464,0.8,4572.3206759054,23369.4224802776,ok,45.0,10.0
2.0,E28,0.0025,2.5,3.0,3.0,497.0348164184,0.8515191492,7886.7250976562,209,-7.0,0.0784467303,0.8,687.532713695,8505.4128940025,ok,45.0,10.0
