candidate_id,constant_loss,events_ok,initial_flow_ratio,initial_loss,k1,k2,mean_abs_lag_hours,mean_nse,mean_peak_relative_error,median_nse,recession,research_score,status,storage,tc
1,4.0,5,0.005,1.0,1.0,1.0,9.0,-3.13557291548,0.49882543675999996,-0.0445359294,0.98,-3.415338002832,common_parameter_diagnostic,90.0,4.0
2,3.0,5,0.005,0.0,0.25,0.25,9.0,-1.34166019094,0.39894587232,0.2774343672,0.98,-1.601449365404,common_parameter_diagnostic,90.0,4.0
3,3.0,5,0.005,1.0,1.0,1.0,9.2,-1.38997068062,0.40245309560000003,0.2742394479,0.98,-1.6544612997400001,common_parameter_diagnostic,90.0,4.0
4,2.0,5,0.0025,2.5,1.0,1.0,9.2,-1.14280544128,0.32420199552,0.5484033337,0.8,-1.391645840384,common_parameter_diagnostic,45.0,10.0
5,0.88,5,0.001,5.5,1.0,1.0,8.4,-5.928607754340001,0.53314069858,-0.1632315626,0.7,-6.203235894056001,common_parameter_diagnostic,34.3,22.5
6,1.0,5,0.001,5.0,1.0,1.0,11.0,-2.04785375632,0.3602337066,0.3563196831,0.9,-2.33990049764,common_parameter_diagnostic,60.0,30.0
7,4.0,5,0.005,1.0,0.5,0.5,9.0,-3.09063522864,0.4963006697,-0.0390632412,0.98,-3.3698953625800003,common_parameter_diagnostic,90.0,4.0
8,4.0,5,0.005,1.0,2.0,2.0,9.0,-3.2177936108200003,0.50483255252,-0.0589190887,0.98,-3.4987601213240005,common_parameter_diagnostic,90.0,4.0
9,4.0,5,0.005,1.0,3.0,3.0,9.2,-3.2906767436999997,0.51227061988,-0.0777790838,0.98,-3.577130867676,common_parameter_diagnostic,90.0,4.0
10,2.0,5,0.0025,2.5,0.5,0.5,9.2,-1.1407383326,0.32423187822,0.5339292807,0.8,-1.389584708244,common_parameter_diagnostic,45.0,10.0
11,2.0,5,0.0025,2.5,2.0,2.0,9.4,-1.10893013816,0.32377002375999997,0.5360269912,0.8,-1.361684142912,common_parameter_diagnostic,45.0,10.0
12,2.0,5,0.0025,2.5,3.0,3.0,9.0,-1.0232466281800001,0.324041757,0.4841330698,0.8,-1.26805497958,common_parameter_diagnostic,45.0,10.0
