time_value,observed_m3s,simulated_m3s
65152800,1639.949951171875,1446.746992671311
65152860,1611.824951171875,1439.788248073399
65152920,1576.875,1432.672500014255
65152980,1553.074951171875,1424.866667862593
65153040,1539.175048828125,1416.1266301379837
65153100,1535.199951171875,1406.3552237702881
65153160,1535.199951171875,1395.5006540680486
65153220,1552.050048828125,1383.5145407073742
65153280,1594.8499755859375,1370.4477600996947
65153340,1689.6500244140625,1356.6853842806222
65153400,1820.324951171875,1342.7520117468875
65153460,1920.0,1328.6278099886501
65153520,1980.574951171875,1313.5658059835905
65153580,2018.0999755859375,1296.7743040131033
65153640,2037.449951171875,1278.4482835811837
65153700,2061.22509765625,1259.7861335618186
65153760,2100.27490234375,1241.786267854879
65153820,2140.675048828125,1224.7870288701517
65153880,2174.699951171875,1208.8410579086647
65153940,2206.64990234375,1193.910515170365
65154000,2256.625,1179.929838883357
65154060,2343.97509765625,1166.7755142623337
65154120,2444.85009765625,1154.1839932577461
65154180,2544.77490234375,1141.794639438754
65154240,2663.47509765625,1129.3306735453043
65154300,2799.324951171875,1116.6601470313153
65154360,2923.949951171875,1103.724960584864
65154420,3020.925048828125,1090.490063042044
65154480,3101.72509765625,1076.9224622999268
65154540,3183.14990234375,1062.9820169950904
65154600,3254.02490234375,1048.6141553167945
65154660,3294.0,1033.7378414472216
65154720,3326.60009765625,1018.2079474297359
65154780,3340.425048828125,1001.7548861653032
65154840,3345.47509765625,984.9100796723641
65154900,3353.02490234375,971.2219335540174
65154960,3335.39990234375,966.2668470408572
65155020,3320.324951171875,972.7867523698892
65155080,3292.75,989.7527071930554
65155140,3250.27490234375,1015.6006843939919
65155200,3219.125,1050.2002925415807
65155260,3227.824951171875,1094.8792899794896
65155320,3269.0,1151.102343059298
65155380,3329.175048828125,1219.5090583102674
65155440,3422.52490234375,1300.4060870880676
65155500,3530.800048828125,1393.6070882807956
65155560,3685.449951171875,1499.4862706957915
65155620,3893.550048828125,1623.4631837196064
65155680,4226.5,1774.5126508686976
65155740,4591.22509765625,1956.755634753561
65155800,4985.25,2168.5678282270424
65155860,5452.10009765625,2406.4068714729688
65155920,5940.72509765625,2665.2425704131715
