time_value,observed_m3s,simulated_m3s
65152800,1639.949951171875,1644.4163210000002
65152860,1611.824951171875,1642.9510357655759
65152920,1576.875,1636.5561807864426
65152980,1553.074951171875,1624.8169387073588
65153040,1539.175048828125,1610.9713998899772
65153100,1535.199951171875,1596.530586373298
65153160,1535.199951171875,1582.018092902132
65153220,1552.050048828125,1567.5925601394156
65153280,1594.8499755859375,1553.3276186757998
65153340,1689.6500244140625,1539.4126298171007
65153400,1820.324951171875,1526.1927816697262
65153460,1920.0,1513.8584548958409
65153520,1980.574951171875,1502.3604301556109
65153580,2018.0999755859375,1491.6967639446718
65153640,2037.449951171875,1481.84406985801
65153700,2061.22509765625,1472.6476440499014
65153760,2100.27490234375,1463.9670895714264
65153820,2140.675048828125,1455.7155319101898
65153880,2174.699951171875,1447.8321668228725
65153940,2206.64990234375,1440.2704774471385
65154000,2256.625,1432.9914165552207
65154060,2343.97509765625,1425.9442714130769
65154120,2444.85009765625,1419.0212388904135
65154180,2544.77490234375,1412.048963512529
65154240,2663.47509765625,1404.8759650440975
65154300,2799.324951171875,1397.4074363789882
65154360,2923.949951171875,1389.5443027266406
65154420,3020.925048828125,1381.2068475372794
65154480,3101.72509765625,1372.3991625757399
65154540,3183.14990234375,1363.1402679407054
65154600,3254.02490234375,1353.4125696968472
65154660,3294.0,1343.1866353963226
65154720,3326.60009765625,1332.4066416990474
65154780,3340.425048828125,1320.9601404711118
65154840,3345.47509765625,1309.059244654512
65154900,3353.02490234375,1298.8665890063544
65154960,3335.39990234375,1294.906618561215
65155020,3320.324951171875,1300.1147589001068
65155080,3292.75,1313.8761450091963
65155140,3250.27490234375,1334.8485425372482
65155200,3219.125,1362.9259658644492
65155260,3227.824951171875,1399.4878084347276
65155320,3269.0,1446.8121085437158
65155380,3329.175048828125,1506.69627277442
65155440,3422.52490234375,1581.2777856581288
65155500,3530.800048828125,1671.5597864795518
65155560,3685.449951171875,1776.792027969544
65155620,3893.550048828125,1901.4629244318521
65155680,4226.5,2055.9797666457926
65155740,4591.22509765625,2245.623508130287
65155800,4985.25,2468.4159606433755
65155860,5452.10009765625,2720.670757772808
65155920,5940.72509765625,2997.0056771799095
