time_value,observed_m3s,simulated_m3s
65460120,376.79998779296875,47.895621
65460180,431.5249938964844,48.02260198500903
65460240,534.2249755859375,49.59320912798053
65460300,674.3499755859375,58.523290457277
65460360,845.1749877929688,90.53722899309062
65460420,1094.4749755859375,169.02617137932575
65460480,1505.199951171875,311.31378070386796
65460540,2024.7249755859375,520.2599476977024
65460600,2714.550048828125,790.3260441929173
65460660,3305.074951171875,1112.9937283819058
65460720,3741.72509765625,1477.0926549156693
65460780,4111.27490234375,1872.3667293095475
65460840,4360.5498046875,2292.5793757630654
65460900,4541.9248046875,2733.7917036613962
65460960,4765.4501953125,3192.4647981988924
65461020,5008.77490234375,3665.1686403332983
65461080,5277.0498046875,4147.272119624621
65461140,5554.89990234375,4630.533912632631
65461200,5766.625,5102.824880519594
65461260,6017.5498046875,5551.653972228215
65461320,6281.2998046875,5967.2412248652645
65461380,6602.10009765625,6342.567609478714
65461440,6925.0498046875,6673.387093088664
65461500,7237.5,6958.04869451986
65461560,7488.75,7195.609777043746
65461620,7688.4248046875,7384.240534920137
65461680,7830.625,7520.5861360571325
65461740,7886.72509765625,7598.783636220442
65461800,7872.22509765625,7609.9414661362425
65461860,7821.5751953125,7546.025222880654
65461920,7690.125,7409.823218604116
65461980,7563.3251953125,7219.412055624841
65462040,7373.9501953125,6997.68039271949
65462100,7181.625,6761.843788419885
65462160,6967.625,6524.146871837727
65462220,6773.5,6292.519653513518
65462280,6580.1748046875,6068.7691767504075
65462340,6361.47509765625,5851.69051347543
65462400,6173.72509765625,5640.727768241298
65462460,5970.97509765625,5435.638666104665
65462520,5769.85009765625,5235.848429668143
65462580,5574.875,5041.088503223047
65462640,5376.9501953125,4851.669230467235
65462700,5182.2998046875,4668.18944041528
65462760,4974.7998046875,4491.301185131406
65462820,4797.14990234375,4321.674856507862
65462880,4642.3251953125,4159.567891317999
65462940,4515.10009765625,4004.555293593133
65463000,4367.375,3856.16254127042
65463060,4271.0498046875,3714.147219591419
