time_value,time_local,santa_tereza_sim_m3s,mucum_sim_m3s,mucum_observed_m3s
65460120,2024-06-16 10:00,47.325558,47.895621,376.799987793
65460180,2024-06-16 11:00,48.0178664732,48.022601985,431.524993896
65460240,2024-06-16 12:00,54.1059004348,49.593209128,534.224975586
65460300,2024-06-16 13:00,82.3179397003,58.5232904573,674.349975586
65460360,2024-06-16 14:00,158.849294792,90.5372289931,845.174987793
65460420,2024-06-16 15:00,299.923974513,169.026171379,1094.47497559
65460480,2024-06-16 16:00,506.540378588,311.313780704,1505.19995117
65460540,2024-06-16 17:00,774.026511692,520.259947698,2024.72497559
65460600,2024-06-16 18:00,1093.90476151,790.326044193,2714.55004883
65460660,2024-06-16 19:00,1453.98261442,1112.99372838,3305.07495117
65460720,2024-06-16 20:00,1844.40117288,1477.09265492,3741.72509766
65460780,2024-06-16 21:00,2259.59590633,1872.36672931,4111.27490234
65460840,2024-06-16 22:00,2695.48418711,2292.57937576,4360.54980469
65460900,2024-06-16 23:00,3148.60890339,2733.79170366,4541.92480469
65460960,2024-06-17 00:00,3615.84119412,3192.4647982,4765.45019531
65461020,2024-06-17 01:00,4093.08436575,3665.16864033,5008.77490234
65461080,2024-06-17 02:00,4571.96101611,4147.27211962,5277.04980469
65461140,2024-06-17 03:00,5039.62729273,4630.53391263,5554.89990234
65461200,2024-06-17 04:00,5483.88686098,5102.82488052,5766.625
65461260,2024-06-17 05:00,5895.25169907,5551.65397223,6017.54980469
65461320,2024-06-17 06:00,6266.4577915,5967.24122487,6281.29980469
65461380,2024-06-17 07:00,6593.55035004,6342.56760948,6602.10009766
65461440,2024-06-17 08:00,6875.23877572,6673.38709309,6925.04980469
65461500,2024-06-17 09:00,7110.57110952,6958.04869452,7237.5
65461560,2024-06-17 10:00,7297.76805255,7195.60977704,7488.75
65461620,2024-06-17 11:00,7433.74186303,7384.24053492,7688.42480469
65461680,2024-06-17 12:00,7512.83575737,7520.58613606,7830.625
65461740,2024-06-17 13:00,7525.47779314,7598.78363622,7886.72509766
65461800,2024-06-17 14:00,7461.57413809,7609.94146614,7872.22509766
65461860,2024-06-17 15:00,7324.36130376,7546.02522288,7821.57519531
65461920,2024-06-17 16:00,7134.73676548,7409.8232186,7690.125
65461980,2024-06-17 17:00,6914.99958011,7219.41205562,7563.32519531
65462040,2024-06-17 18:00,6681.06663418,6997.68039272,7373.95019531
65462100,2024-06-17 19:00,6446.11378278,6761.84378842,7181.625
65462160,2024-06-17 20:00,6217.92983744,6524.14687184,6967.625
65462220,2024-06-17 21:00,5997.17246472,6292.51965351,6773.5
65462280,2024-06-17 22:00,5782.78438604,6068.76917675,6580.17480469
65462340,2024-06-17 23:00,5574.58501048,5851.69051348,6361.47509766
65462400,2024-06-18 00:00,5372.12465038,5640.72776824,6173.72509766
65462460,2024-06-18 01:00,5174.78737877,5435.6386661,5970.97509766
65462520,2024-06-18 02:00,4982.30033856,5235.84842967,5769.85009766
65462580,2024-06-18 03:00,4795.0958962,5041.08850322,5574.875
65462640,2024-06-18 04:00,4613.74117204,4851.66923047,5376.95019531
65462700,2024-06-18 05:00,4438.83180018,4668.18944042,5182.29980469
65462760,2024-06-18 06:00,4271.27354314,4491.30118513,4974.79980469
65462820,2024-06-18 07:00,4111.21117402,4321.67485651,4797.14990234
65462880,2024-06-18 08:00,3958.05117805,4159.56789132,4642.32519531
65462940,2024-06-18 09:00,3811.47442894,4004.55529359,4515.10009766
65463000,2024-06-18 10:00,3671.21551888,3856.16254127,4367.375
65463060,2024-06-18 11:00,3536.96045288,3714.14721959,4271.04980469
65463120,2024-06-18 12:00,3408.46129549,3578.22631581,4155.42480469
65463180,2024-06-18 13:00,3285.45102026,3448.11105912,4039.89990234
65463240,2024-06-18 14:00,3167.61884739,3323.54306117,3949.60009766
65463300,2024-06-18 15:00,3054.51213319,3204.19154306,3852.42504883
65463360,2024-06-18 16:00,2945.61093787,3089.622872,3780.97509766
65463420,2024-06-18 17:00,2840.53485928,2979.3452343,3724.17504883
65463480,2024-06-18 18:00,2739.08534054,2872.96281978,3665.25
65463540,2024-06-18 19:00,2641.10238997,2770.24929239,3616.89990234
65463600,2024-06-18 20:00,2546.41535379,2671.04891968,3571.375
65463660,2024-06-18 21:00,2454.85616513,2575.19395101,3526.10009766
65463720,2024-06-18 22:00,2367.73079955,2482.77707962,3499.85009766
65463780,2024-06-18 23:00,2290.15472045,2395.38488708,3487.35009766
65463840,2024-06-19 00:00,2227.78396641,2317.33085083,3474.92504883
65463900,2024-06-19 01:00,2181.4358362,2253.64972786,3468.69995117
65463960,2024-06-19 02:00,2148.95384843,2206.00643836,3461.22509766
65464020,2024-06-19 03:00,2129.04020245,2172.65978979,3452.55004883
65464080,2024-06-19 04:00,2120.58407489,2151.81069485,3433.94995117
65464140,2024-06-19 05:00,2122.16138742,2142.40889692,3420.35009766
65464200,2024-06-19 06:00,2132.3951951,2143.13857478,3409.19995117
65464260,2024-06-19 07:00,2151.37301713,2152.80718959,3393.19995117
65464320,2024-06-19 08:00,2180.23619408,2171.37326652,3380.875
65464380,2024-06-19 09:00,2218.94660568,2199.67263578,3361.27490234
65464440,2024-06-19 10:00,2266.06737291,2237.81852176,3333.10009766
65464500,2024-06-19 11:00,2319.06944657,2284.38018957,3312.35009766
65464560,2024-06-19 12:00,2374.73882186,2336.84085489,3272.27490234
65464620,2024-06-19 13:00,2430.14458442,2392.13242724,3228.82495117
65464680,2024-06-19 14:00,2483.97334554,2447.58060857,3186.82495117
65464740,2024-06-19 15:00,2536.7835034,2501.88760398,3137.89990234
65464800,2024-06-19 16:00,2589.33445327,2555.23351912,3096.44995117
65464860,2024-06-19 17:00,2640.11340601,2608.04530715,3055.22509766
65464920,2024-06-19 18:00,2686.74070923,2659.25202786,3014.27490234
65464980,2024-06-19 19:00,2728.0257104,2706.65337438,2986.35009766
65465040,2024-06-19 20:00,2762.90562125,2748.65204263,2946.97509766
65465100,2024-06-19 21:00,2790.54140401,2784.32524725,2920.5
65465160,2024-06-19 22:00,2809.85227565,2812.69904308,2904.39990234
65465220,2024-06-19 23:00,2817.39106544,2832.32151893,2878.10009766
65465280,2024-06-20 00:00,2810.11729462,2840.45990735,2843.94995117
65465340,2024-06-20 01:00,2790.58138141,2834.70226324,2799.82495117
65465400,2024-06-20 02:00,2764.38061038,2816.63709201,2763.85009766
65465460,2024-06-20 03:00,2734.24757247,2791.08529413,2734.77490234
65465520,2024-06-20 04:00,2701.19395722,2761.51804882,2716.92504883
65465580,2024-06-20 05:00,2668.58183635,2729.4567037,2702.5
65465640,2024-06-20 06:00,2639.6387745,2697.45636703,2689.19995117
65465700,2024-06-20 07:00,2613.18161244,2668.3313363,2674.82495117
65465760,2024-06-20 08:00,2585.88626508,2641.65870648,2650.60009766
65465820,2024-06-20 09:00,2557.12639215,2614.6243345,2627.57495117
65465880,2024-06-20 10:00,2527.93901556,2586.00804809,2599.17504883
65465940,2024-06-20 11:00,2498.71389622,2556.67981055,2569.82495117
65466000,2024-06-20 12:00,2469.2255107,2527.25398537,2555.75
65466060,2024-06-20 13:00,2438.50460774,2497.39209583,2548.14990234
65466120,2024-06-20 14:00,2405.55135968,2466.22431548,2536.32495117
65466180,2024-06-20 15:00,2369.61343066,2432.69061956,2496.64990234
65466240,2024-06-20 16:00,2330.50446039,2396.1693069,2393.92504883
65466300,2024-06-20 17:00,2289.54675739,2356.75114569,2291.02490234
65466360,2024-06-20 18:00,2248.43708497,2315.45326102,2268.42504883
65466420,2024-06-20 19:00,2206.59948519,2273.59713231,2318.875
65466480,2024-06-20 20:00,2162.759615,2231.12136644,2377.07495117
65466540,2024-06-20 21:00,2116.43009077,2186.8190791,2393.85009766
65466600,2024-06-20 22:00,2067.2495142,2139.93789556,2379.14990234
65466660,2024-06-20 23:00,2016.01686516,2090.42032412,2365.60009766
65466720,2024-06-21 00:00,1964.30027408,2038.87658379,2348.89990234
65466780,2024-06-21 01:00,1912.42846292,1986.54769209,2335.39990234
65466840,2024-06-21 02:00,1859.91546609,1934.04871414,2324.0
65466900,2024-06-21 03:00,1806.94597172,1881.07724766,2319.85009766
65466960,2024-06-21 04:00,1756.52142154,1828.05106727,2323.97509766
65467020,2024-06-21 05:00,1714.00986555,1777.85478235,2331.25
65467080,2024-06-21 06:00,1683.93238362,1735.48689262,2325.02490234
65467140,2024-06-21 07:00,1670.91703105,1705.95691419,2322.94995117
65467200,2024-06-21 08:00,1677.80804854,1693.46815292,2319.85009766
65467260,2024-06-21 09:00,1701.98067585,1700.38919509,2308.47509766
65467320,2024-06-21 10:00,1739.40861971,1725.14869643,2313.64990234
65467380,2024-06-21 11:00,1788.2014186,1763.84645029,2308.5
65467440,2024-06-21 12:00,1846.74759794,1813.89398835,2300.27490234
65467500,2024-06-21 13:00,1913.57588702,1873.90338926,2302.32495117
65467560,2024-06-21 14:00,1987.81319876,1942.46900229,2300.27490234
