candidate_id,constant_loss,event_id,initial_flow_ratio,initial_loss,k,mae_m3s,nse,observed_peak_m3s,pairs,peak_lag_hours,peak_relative_error,recession,research_score,rmse_m3s,simulated_peak_m3s,status,storage,tc
33,2.0,E28,0.003,2.5,1.0,503.2723856306582,0.8632076566906512,7886.72509765625,209,1.0,0.03567918672644499,0.8,0.8360718193453622,659.9165775003635,7605.333160236833,replay_scored_not_promoted,25.0,25.0
29,1.5,E28,0.003,2.5,1.0,499.21850932533965,0.8592972079136185,7886.72509765625,209,1.0,0.08189586258857398,0.8,0.8229180353959037,669.2825492044167,7240.834942784736,replay_scored_not_promoted,30.0,25.0
24,2.0,E28,0.003,2.5,1.0,531.2190363691723,0.8389057596698817,7886.72509765625,209,0.0,0.13310155892351197,0.8,0.8122854478851793,716.140359933875,6836.989692357016,replay_scored_not_promoted,30.0,24.0
32,2.0,E28,0.003,2.5,1.0,585.4883413973274,0.8323852050847709,7886.72509765625,209,0.0,0.10114789161268557,0.8,0.8121556267622337,730.4900732553112,8684.450713013031,replay_scored_not_promoted,20.0,25.0
23,2.0,E28,0.003,2.5,1.0,529.1342934154833,0.8448768497693913,7886.72509765625,209,-1.0,0.12422114324547306,0.8,0.8000326211202966,702.7428757145026,6907.027089562625,replay_scored_not_promoted,30.0,23.0
38,2.0,E28,0.003,2.5,0.75,528.190649689707,0.8407594248586983,7886.72509765625,209,1.0,0.14177393905058616,0.8,0.792404637048581,712.008227933557,6768.593014352405,replay_scored_not_promoted,30.0,25.0
27,2.0,E28,0.003,2.0,1.0,527.9871169605098,0.8346991984537251,7886.72509765625,209,1.0,0.13799502239387795,0.8,0.7871001939749495,725.4301863740037,6798.396291190817,replay_scored_not_promoted,30.0,25.0
37,2.0,E28,0.0035,2.5,1.0,530.0945367032184,0.8334121361580102,7886.72509765625,209,1.0,0.1406106067705781,0.8,0.7852900148038946,728.2488764066443,6777.767896242058,replay_scored_not_promoted,30.0,25.0
11,2.0,E28,0.003,2.5,1.0,534.3088047931356,0.830488777303164,7886.72509765625,209,1.0,0.14219726575663513,0.8,0.7820493241518369,734.6109064693325,6765.2543529953,replay_scored_not_promoted,30.0,25.0
36,2.0,E28,0.0025,2.5,1.0,534.3088047931356,0.830488777303164,7886.72509765625,209,1.0,0.14219726575663513,0.8,0.7820493241518369,734.6109064693325,6765.2543529953,replay_scored_not_promoted,30.0,25.0
28,2.0,E28,0.003,3.0,1.0,540.6611729441556,0.8261844981169189,7886.72509765625,209,1.0,0.14639950911939223,0.8,0.7769045962930404,743.8791685666766,6732.112414799784,replay_scored_not_promoted,30.0,25.0
39,2.0,E28,0.003,2.5,1.25,540.5264104703175,0.8186572084182024,7886.72509765625,209,2.0,0.1441983306731531,0.8,0.7498175422835718,759.8157507137555,6749.472504096158,replay_scored_not_promoted,30.0,25.0
25,2.0,E28,0.003,2.5,1.0,537.7193322536017,0.8198368781863153,7886.72509765625,209,2.0,0.15132390296101403,0.8,0.7495720975941125,757.3403445346062,6693.275074298322,replay_scored_not_promoted,30.0,26.0
26,2.0,E28,0.003,2.5,1.0,541.3756491194006,0.8069888991609604,7886.72509765625,209,3.0,0.16072172523676082,0.8,0.7148445541136081,783.8794648760506,6619.1570334928765,replay_scored_not_promoted,30.0,27.0
30,2.5,E28,0.003,2.5,1.0,676.9616741604136,0.7594821643616506,7886.72509765625,209,1.0,0.1909071670240959,0.8,0.7013007309568314,875.0478199200908,6381.092752164859,replay_scored_not_promoted,30.0,25.0
34,2.0,E28,0.003,2.5,1.0,586.3026758182064,0.7663508375989664,7886.72509765625,209,1.0,0.22870286865197098,0.8,0.7006102638685722,862.4625732424826,6083.00844355277,replay_scored_not_promoted,35.0,25.0
31,3.0,E28,0.003,2.5,1.0,847.2005403002881,0.6657018845819112,7886.72509765625,209,1.0,0.2334668560867628,0.8,0.5990085133645586,1031.632719232979,6045.436184285878,replay_scored_not_promoted,30.0,25.0
35,2.0,E28,0.003,2.5,1.0,643.553100116452,0.688044206502564,7886.72509765625,209,2.0,0.2986404437709505,0.8,0.5883161177483739,996.5627993686568,5531.4300145926945,replay_scored_not_promoted,40.0,25.0
2,2.0,E28,0.003,2.5,1.0,676.2733594436733,0.6681567027035646,7886.72509765625,209,-2.0,0.33423618188392795,0.8,0.561309466326779,1027.8379970440867,5250.696213447476,replay_scored_not_promoted,45.0,20.0
19,2.0,E28,0.003,2.5,0.5,692.2884898148384,0.6309360976322009,7886.72509765625,209,1.0,0.3560821276820138,0.8,0.5397196720957982,1083.9491979830616,5078.403244439674,replay_scored_not_promoted,45.0,25.0
6,2.0,E28,0.003,0.0,1.0,682.9907755034186,0.6341748209779796,7886.72509765625,209,2.0,0.3414022347009355,0.8,0.5258943740377925,1079.1826150401614,5194.179524844452,replay_scored_not_promoted,45.0,25.0
8,1.0,E28,0.003,2.5,1.0,883.1424914913321,0.6184419748265766,7886.72509765625,209,2.0,0.26287384824363225,0.8,0.5258672051778501,1102.1442513895752,5813.511321195715,replay_scored_not_promoted,45.0,25.0
18,2.0,E28,0.005,2.5,1.0,701.2670641987371,0.6129544387463133,7886.72509765625,209,2.0,0.35396488294832806,0.8,0.5021614621566476,1110.0414325076813,5095.101371618714,replay_scored_not_promoted,45.0,25.0
16,2.0,E28,0.003,2.5,1.0,712.4674986407969,0.6061152156234191,7886.72509765625,209,2.0,0.3558892983405355,0.98,0.49493735595531196,1119.8058858030433,5079.924036446676,replay_scored_not_promoted,45.0,25.0
