candidate_id,constant_loss,events,initial_flow_ratio,initial_loss,k,mean_abs_peak_lag_hours,mean_nse,mean_peak_relative_error,recession,research_score,status,storage,tc
8,1.0,2,0.001,10.0,3.0,20.0,-0.4895317806411049,0.218307339032755,0.95,-0.733193248447656,replay_scored_not_promoted,90.0,60.0
22,3.0,2,0.003,0.0,0.5,17.0,-0.9125610235585973,0.3146430992628224,0.9,-1.1454896434111617,replay_scored_not_promoted,45.0,60.0
20,2.0,2,0.003,1.0,3.0,16.0,-1.0377815004132065,0.13683958651624717,0.98,-1.225149417716456,replay_scored_not_promoted,45.0,45.0
1,2.0,2,0.003,2.5,1.0,11.5,-1.7501501949220686,0.09187481514576157,0.8,-1.8835251579512209,replay_scored_not_promoted,45.0,25.0
34,3.0,2,0.001,5.0,2.0,13.0,-2.5260744533281345,0.2356489387194231,0.7,-2.703204241072019,replay_scored_not_promoted,45.0,30.0
6,3.0,2,0.001,1.0,0.5,15.5,-2.567433729836492,0.04778246244467192,0.7,-2.731990222325426,replay_scored_not_promoted,20.0,45.0
16,4.0,2,0.005,1.0,0.5,17.5,-3.273939901780427,0.2818204966572748,0.98,-3.505304001111882,replay_scored_not_promoted,20.0,60.0
25,3.0,2,0.01,2.5,3.0,16.5,-3.577051365855503,0.15382342736319676,0.7,-3.772816051328143,replay_scored_not_promoted,60.0,0.5
3,1.0,2,0.001,10.0,1.0,16.0,-3.820371421142104,0.22574387362299309,0.9,-4.025520195866703,replay_scored_not_promoted,60.0,60.0
33,1.0,2,0.001,10.0,0.5,16.0,-3.9010616427134583,0.2266674524700146,0.98,-4.106395133207461,replay_scored_not_promoted,60.0,60.0
28,2.0,2,0.001,1.0,0.25,16.0,-4.069516735843082,0.2814993257578915,0.7,-4.28581660099466,replay_scored_not_promoted,45.0,4.0
12,4.0,2,0.005,1.0,3.0,16.5,-4.075242536033389,0.2992752336227377,0.95,-4.300097582757936,replay_scored_not_promoted,30.0,45.0
