nome,tipo,norte,este,cota,lat,lon
BaseCerta,BASE,6773140.591,428656.323,76.370,-29.1683427,-51.7336631
H009,H,6773588.098,428213.138,81.857,-29.1642789,-51.7381914
H008,H,6773391.899,428255.231,81.554,-29.1660520,-51.7377712
V011,V,6772701.049,428379.944,73.134,-29.1722940,-51.7365334
V009A,V,6772812.308,428387.960,75.821,-29.1712903,-51.7364438
V009,V,6772822.338,428446.784,81.229,-29.1712031,-51.7358382
V005,V,6773230.544,428437.469,76.615,-29.1675185,-51.7359078
V004,V,6773229.222,428378.138,78.404,-29.1675271,-51.7365179
V003,V,6773092.662,428281.470,78.197,-29.1687541,-51.7375207
V002,V,6773023.158,428058.212,79.517,-29.1693687,-51.7398210
H002,H,6772928.630,428304.462,78.683,-29.1702358,-51.7372949
H001,H,6772929.858,428322.541,80.859,-29.1702257,-51.7371089
V001,V,6772929.859,428322.536,80.866,-29.1702257,-51.7371090
RN1 25892 REGUA SGB,RN,6772059.544,428811.742,83.139,-29.1781079,-51.7321342
V010,V,6772215.647,428758.983,76.665,-29.1766961,-51.7326668
H007,H,6772695.632,428598.263,82.097,-29.1723552,-51.7342887
H006,H,6772739.321,428737.967,81.137,-29.1719688,-51.7328493
H005,H,6772732.537,428840.354,79.859,-29.1720358,-51.7317969
H004,H,6772749.739,428983.860,82.931,-29.1718886,-51.7303201
H003,H,6772921.590,428928.641,82.703,-29.1703345,-51.7308769
V008,V,6772754.017,428637.532,80.179,-29.1718305,-51.7338812
V007,V,6772749.350,428596.388,78.688,-29.1718703,-51.7343045
V006,V,6772796.761,428551.634,78.479,-29.1714399,-51.7347617
