nome,municipio,lat,lon,utm_e,utm_n,cota_m,alt_orto_m,fonte
Base na Prefeitura,Muçum,-29.16642828,-51.87129167,415270.82,6773261.35,,63.33,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
RN01 26990,Muçum,-29.16579764,-51.87112598,415286.42,6773331.34,27.1,61.06,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
RN02 22900,Muçum,-29.16725531,-51.86915195,415479.58,6773171.25,22.8,56.76,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCM01 (Hotel),Muçum,-29.16603915,-51.87244075,415158.75,6773303.63,25.72,59.68,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCM03,Muçum,-29.16541196,-51.86841596,415549.65,6773376.03,26.4,60.37,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCM04,Muçum,-29.1645784,-51.86647261,415737.96,6773469.78,26.26,60.22,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCM05,Muçum,-29.1625678,-51.86392983,415983.61,6773694.37,26.48,60.45,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCM06,Muçum,-29.1613593,-51.86206796,416163.7,6773829.61,26.59,60.55,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCM07,Muçum,-29.15638209,-51.85904825,416453.35,6774383.23,27.21,61.17,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCM09,Muçum,-29.14918749,-51.8621684,416144.05,6775178.18,28.15,62.12,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCM10,Muçum,-29.14606316,-51.86453278,415911.53,6775522.67,28.39,62.36,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCM11,Muçum,-29.16247501,-51.8786495,414552.0,6773694.05,25.48,59.45,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCM13 (Casa de Cultura),Muçum,-29.16667697,-51.86954524,415440.86,6773235.05,20.94,54.9,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCM15,Muçum,-29.16541395,-51.87524736,414885.3,6773370.88,25.61,59.57,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCM (Ref. Réguas),Muçum,-29.16550663,-51.86989473,415405.92,6773364.47,26.1,60.06,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
Base Frigorífico,Encantado,-29.23823325,-51.86216878,416216.43,6765311.8,,47.13,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
RN02 18933,Encantado,-29.24358432,-51.86134068,416301.26,6764719.48,18.95,47.14,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
RN05 17600,Encantado,-29.23528298,-51.85547828,416864.24,6765643.45,17.59,45.78,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCE01,Encantado,-29.24219668,-51.86367203,416073.58,6764871.57,22.68,50.87,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCE02,Encantado,-29.2397485,-51.86241831,416193.42,6765143.73,23.01,51.21,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCE03,Encantado,-29.23553186,-51.86170318,416259.48,6765611.45,23.3,51.5,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCE04,Encantado,-29.22884661,-51.86257002,416169.79,6766351.57,24.3,52.49,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
Univates,Estrela/Lajeado,-29.44499314,-51.95470625,407410.516,6742332.088,,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
RN2829,Estrela/Lajeado,-29.4712104,-51.96490521,406445.41,6739418.88,26.57,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
Prefeitura,Estrela/Lajeado,-29.4663508,-51.96339305,406587.58,6739958.57,28.54,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCL01,Estrela/Lajeado,-29.42652424,-51.95858973,407017.04,6744375.47,38.91,44.6,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCL02,Estrela/Lajeado,-29.42617289,-51.95752827,407119.69,6744415.25,38.66,44.34,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCL03,Estrela/Lajeado,-29.43179211,-51.95545612,407325.8,6743794.25,38.41,44.07,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCL04,Estrela/Lajeado,-29.43614949,-51.94666646,408182.31,6743318.38,37.65,43.28,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCL05,Estrela/Lajeado,-29.43996876,-51.94771145,408084.39,6742894.36,37.72,43.35,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCL06,Estrela/Lajeado,-29.44898949,-51.94260458,408587.8,6741898.82,36.06,41.66,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCL07,Estrela/Lajeado,-29.44597639,-51.93701437,409127.27,6742237.06,36.46,42.05,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCL08,Estrela/Lajeado,-29.45427407,-51.94301166,408553.06,6741312.93,35.89,41.48,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCL09,Estrela/Lajeado,-29.45865634,-51.94585272,408281.48,6740825.11,35.35,40.93,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCL10C,Estrela/Lajeado,-29.4622588,-51.96520104,406408.51,6740410.55,33.78,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCL11,Estrela/Lajeado,-29.46288655,-51.96489061,406439.19,6740341.24,33.69,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCL12,Estrela/Lajeado,-29.46391986,-51.96552365,406378.75,6740226.23,33.38,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCL13,Estrela/Lajeado,-29.46445046,-51.96478697,406450.67,6740168.03,33.27,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCL14,Estrela/Lajeado,-29.46481812,-51.96337263,406588.16,6740128.42,33.54,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCL15,Estrela/Lajeado,-29.46594707,-51.96380956,406546.82,6740002.97,33.66,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
Base Eclusa,Bom Retiro do Sul,-29.60796106,-51.95041703,407974.15,6724277.33,25.93,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MARCO M2,Bom Retiro do Sul,-29.60815806,-51.94966409,408047.24,6724256.1,18.85,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MARCO MBO4,Bom Retiro do Sul,-29.60801951,-51.94955629,408057.55,6724271.53,16.97,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCBRS01,Bom Retiro do Sul,-29.61114952,-51.94166246,408824.74,6723930.93,21.29,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCBRS02,Bom Retiro do Sul,-29.6091496,-51.94457223,408541.18,6724150.25,21.06,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCBRS03,Bom Retiro do Sul,-29.60790939,-51.94391689,408603.52,6724288.19,21.37,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCBRS04,Bom Retiro do Sul,-29.60713384,-51.94248076,408741.89,6724375.26,21.4,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCBRS05,Bom Retiro do Sul,-29.60653029,-51.94131811,408853.92,6724443.06,21.44,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCBRS06,Bom Retiro do Sul,-29.60555456,-51.94185809,408800.76,6724550.75,21.43,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
MCBRS07,Bom Retiro do Sul,-29.60544798,-51.94537362,408460.24,6724559.79,21.94,,SGB Nota Técnica cheia maio/2024 v4 (rigeo bitstream 4ac721fa...)
