constant_loss,events,fitness,index,initial_flow_area_ratio,initial_loss,mean_abs_peak_lag_hours,mean_nse,mean_peak_relative_error,recession_factor,returncode,seconds,status,storage_min,tc_min
0.25,1.0,-0.2849269698,1,0.001,2.5,7.0,-0.039141192,0.878928889,0.7,0,2.333,ok,15.0,15.0
0.25,1.0,-0.2851106842,2,0.0025,2.5,7.0,-0.0393002281,0.8790522807,0.7,0,2.483,ok,15.0,15.0
0.25,1.0,-0.3148947257,3,0.001,2.5,7.0,-0.0689667613,0.8796398218,0.8,0,2.512,ok,15.0,15.0
0.25,1.0,-0.3151934781,4,0.0025,2.5,7.0,-0.0692277639,0.879828571,0.8,0,2.287,ok,15.0,15.0
0.25,1.0,0.7035483369,5,0.001,2.5,5.0,0.8138542699,0.3015296648,0.7,0,2.466,ok,30.0,15.0
0.25,1.0,0.7034752368,6,0.0025,2.5,5.0,0.8138343642,0.3017956371,0.7,0,2.335,ok,30.0,15.0
0.25,1.0,0.6963337722,7,0.001,2.5,5.0,0.8066810925,0.3017366011,0.8,0,2.493,ok,30.0,15.0
0.25,1.0,0.6960574092,8,0.0025,2.5,5.0,0.8065200048,0.3023129778,0.8,0,2.235,ok,30.0,15.0
0.25,1.0,0.0085780901,9,0.001,2.5,4.0,0.1999165931,0.756692515,0.7,0,2.503,ok,15.0,20.0
0.25,1.0,0.0082457965,10,0.0025,2.5,4.0,0.1996367093,0.7569545638,0.7,0,2.236,ok,15.0,20.0
0.25,1.0,-0.018005566,11,0.001,2.5,4.0,0.1733741361,0.7568985109,0.8,0,2.249,ok,15.0,20.0
0.25,1.0,-0.0188107223,12,0.0025,2.5,4.0,0.1726831884,0.7574695536,0.8,0,2.512,ok,15.0,20.0
0.25,1.0,0.7833258318,13,0.001,2.5,1.0,0.8411943087,0.2393423844,0.7,0,2.196,ok,30.0,20.0
0.25,1.0,0.7833057205,14,0.0025,2.5,1.0,0.8412243218,0.2395930066,0.7,0,2.514,ok,30.0,20.0
0.25,1.0,0.7782361314,15,0.001,2.5,1.0,0.8361452366,0.2395455261,0.8,0,2.183,ok,30.0,20.0
0.25,1.0,0.7780410468,16,0.0025,2.5,1.0,0.8360612189,0.2401008608,0.8,0,2.462,ok,30.0,20.0
0.25,1.0,0.2217941532,17,0.001,2.5,2.0,0.3723104462,0.652581465,0.7,0,2.201,ok,15.0,25.0
0.25,1.0,0.221533889,18,0.0025,2.5,2.0,0.3721010569,0.6528358396,0.7,0,2.516,ok,15.0,25.0
0.25,1.0,0.1928206401,19,0.001,2.5,2.0,0.3433777528,0.6527855634,0.8,0,2.242,ok,15.0,25.0
0.25,1.0,0.1921285,20,0.0025,2.5,2.0,0.3427977171,0.6533460854,0.8,0,2.497,ok,15.0,25.0
0.25,1.0,0.7785137555,21,0.001,2.5,1.0,0.8254798406,0.1848304251,0.7,0,2.223,ok,30.0,25.0
0.25,1.0,0.7785467278,22,0.0025,2.5,1.0,0.8255614693,0.1850737077,0.7,0,2.501,ok,30.0,25.0
0.25,1.0,0.7750926465,23,0.001,2.5,1.0,0.8220989743,0.1850316391,0.8,0,2.238,ok,30.0,25.0
0.25,1.0,0.7749794794,24,0.0025,2.5,1.0,0.8220948279,0.1855767426,0.8,0,2.267,ok,30.0,25.0
0.25,1.0,0.3502112209,25,0.001,2.5,1.0,0.4704800161,0.5513439762,0.7,0,2.58,ok,15.0,30.0
0.25,1.0,0.3500260186,26,0.0025,2.5,1.0,0.4703434703,0.5515872587,0.7,0,2.234,ok,15.0,30.0
0.25,1.0,0.3244542529,27,0.001,2.5,1.0,0.4447632909,0.5515451902,0.8,0,1.994,ok,15.0,30.0
0.25,1.0,0.3238852319,28,0.0025,2.5,1.0,0.4443032907,0.5520902937,0.8,0,2.208,ok,15.0,30.0
0.25,1.0,0.7043299314,29,0.001,2.5,4.0,0.7715888735,0.1362947102,0.7,0,2.585,ok,30.0,30.0
0.25,1.0,0.7044155972,30,0.0025,2.5,4.0,0.7717210741,0.1365273844,0.7,0,2.224,ok,30.0,30.0
0.25,1.0,0.7024695549,31,0.001,2.5,4.0,0.7697681549,0.1364930001,0.8,0,2.508,ok,30.0,30.0
0.25,1.0,0.702438362,32,0.0025,2.5,4.0,0.7698429838,0.1370231091,0.8,0,2.204,ok,30.0,30.0
0.5,1.0,-0.1391002006,33,0.001,2.5,7.0,0.0931765652,0.8113838293,0.7,0,2.487,ok,15.0,15.0
0.5,1.0,-0.1392007698,34,0.0025,2.5,7.0,0.0930970454,0.8114890764,0.7,0,2.241,ok,15.0,15.0
0.5,1.0,-0.1639646012,35,0.001,2.5,7.0,0.0685496985,0.8125714984,0.8,0,2.357,ok,15.0,15.0
0.5,1.0,-0.1641461304,36,0.0025,2.5,7.0,0.068400862,0.8127349621,0.8,0,2.249,ok,15.0,15.0
0.5,1.0,0.746108057,37,0.001,2.5,5.0,0.845673528,0.2478273552,0.7,0,2.222,ok,30.0,15.0
0.5,1.0,0.746175459,38,0.0025,2.5,5.0,0.8457941245,0.2480933275,0.7,0,2.486,ok,30.0,15.0
0.5,1.0,0.7403957496,39,0.001,2.5,5.0,0.8400026079,0.2480342915,0.8,0,2.217,ok,30.0,15.0
0.5,1.0,0.7404040542,40,0.0025,2.5,5.0,0.8401261878,0.2486106683,0.8,0,2.535,ok,30.0,15.0
0.5,1.0,0.1378387185,41,0.001,2.5,4.0,0.3158631781,0.6901222979,0.7,0,2.263,ok,15.0,20.0
0.5,1.0,0.1376562956,42,0.0025,2.5,4.0,0.3157331649,0.6903843467,0.7,0,2.458,ok,15.0,20.0
0.5,1.0,0.1163429309,43,0.001,2.5,4.0,0.2944085896,0.6903282938,0.8,0,2.283,ok,15.0,20.0
0.5,1.0,0.1158333295,44,0.0025,2.5,4.0,0.2940131967,0.6908993364,0.8,0,2.274,ok,15.0,20.0
0.5,1.0,0.8103735722,45,0.001,2.5,2.0,0.8677364639,0.1868144582,0.7,0,2.57,ok,30.0,20.0
0.5,1.0,0.8104912614,46,0.0025,2.5,2.0,0.8679050279,0.1870688327,0.7,0,2.23,ok,30.0,20.0
0.5,1.0,0.806411831,47,0.001,2.5,2.0,0.8638155423,0.1870185565,0.8,0,2.491,ok,30.0,20.0
0.5,1.0,0.8064984216,48,0.0025,2.5,2.0,0.8640142373,0.1875790786,0.8,0,2.284,ok,30.0,20.0
0.5,1.0,0.3365643891,49,0.001,2.5,2.0,0.474261644,0.5884862746,0.7,0,2.577,ok,15.0,25.0
0.5,1.0,0.3364518123,50,0.0025,2.5,2.0,0.4741999421,0.5887406491,0.7,0,2.334,ok,15.0,25.0
0.5,1.0,0.3123954945,51,0.001,2.5,2.0,0.4501335691,0.5886903729,0.8,0,2.294,ok,15.0,25.0
