constant_loss,events,fitness,index,initial_flow_area_ratio,initial_loss,mean_abs_peak_lag_hours,mean_nse,mean_peak_relative_error,recession_factor,returncode,seconds,status,storage_min,tc_min
0.5,1.0,-0.3005096507,1,0.01,15.0,0.0,-0.2995973112,0.0045616974,0.85,0,3.325,ok,30.0,20.0
0.5,1.0,-0.3558758756,2,0.02,15.0,0.0,-0.3533080458,0.0128391488,0.85,0,2.191,ok,30.0,20.0
0.5,1.0,-0.310381907,3,0.01,15.0,0.0,-0.3090689334,0.0065648681,0.9,0,2.249,ok,30.0,20.0
0.5,1.0,-0.3802085183,4,0.02,15.0,0.0,-0.3768394203,0.0168454901,0.9,0,2.513,ok,30.0,20.0
0.5,1.0,0.3916944214,5,0.01,15.0,0.0,0.4645254703,0.3641552446,0.85,0,2.244,ok,60.0,20.0
0.5,1.0,0.3671440338,6,0.02,15.0,0.0,0.4383195925,0.3558777932,0.85,0,2.541,ok,60.0,20.0
0.5,1.0,0.381871354,7,0.01,15.0,0.0,0.4543017688,0.3621520739,0.9,0,2.165,ok,60.0,20.0
0.5,1.0,0.3454731167,8,0.02,15.0,0.0,0.415847407,0.3518714518,0.9,0,2.494,ok,60.0,20.0
0.5,1.0,0.0975353167,9,0.01,15.0,0.0,0.1313605373,0.1691261029,0.85,0,2.189,ok,30.0,30.0
0.5,1.0,0.0587757721,10,0.02,15.0,0.0,0.0909455024,0.1608486515,0.85,0,2.474,ok,30.0,30.0
0.5,1.0,0.0899922718,11,0.01,15.0,0.0,0.1234168583,0.1671229322,0.9,0,2.179,ok,30.0,30.0
0.5,1.0,0.0403945909,12,0.02,15.0,0.0,0.0717630529,0.1568423102,0.9,0,2.273,ok,30.0,30.0
0.5,1.0,0.3646216979,13,0.01,15.0,0.0,0.4597365231,0.4755741256,0.85,0,2.564,ok,60.0,30.0
0.5,1.0,0.3476506318,14,0.02,15.0,0.0,0.4411099667,0.4672966742,0.85,0,2.229,ok,60.0,30.0
0.5,1.0,0.3553379977,15,0.01,15.0,0.0,0.4500521887,0.4735709549,0.9,0,2.517,ok,60.0,30.0
0.5,1.0,0.327058449,16,0.02,15.0,0.0,0.4197165156,0.4632903328,0.9,0,2.212,ok,60.0,30.0
0.5,1.0,0.5691019406,17,0.01,15.0,0.0,0.6346734904,0.3278577489,0.85,0,2.457,ok,30.0,45.0
