event_id,time_value,observed_m3s,simulated_m3s
22,65047680,853.9500122070312,3471.3491092897025
22,65047740,878.5999755859375,3464.2890209126995
22,65047800,921.75,3458.9422082766923
22,65047860,978.4249877929688,3469.7921934844726
22,65047920,1062.375,3504.5560282438423
22,65047980,1184.0999755859375,3567.5004518713486
22,65048040,1362.425048828125,3665.8356084656857
22,65048100,1574.0250244140625,3801.9651299273005
22,65048160,1797.7750244140625,3975.6543886454438
22,65048220,2033.5250244140625,4186.27491204673
22,65048280,2302.875,4432.126206638049
22,65048340,2685.625,4708.377222547907
22,65048400,3355.89990234375,5005.298528256618
22,65048460,4405.4501953125,5312.292882263658
22,65048520,5606.3251953125,5617.50119544786
22,65048580,6860.7998046875,5911.679689293283
22,65048640,7980.10009765625,6193.037137672044
22,65048700,8891.2998046875,6456.680170208512
22,65048760,9690.849609375,6691.640801348936
22,65048820,10437.6669921875,6892.808596875365
22,65054280,1900.300048828125,3403.0457458613323
22,65054340,1999.925048828125,3433.3825840230047
22,65054400,2100.300048828125,3440.281771390699
22,65054460,2157.125,3425.3904572507668
22,65054520,2229.925048828125,3392.393209759332
22,65054580,2294.52490234375,3345.551876106658
22,65054640,2360.85009765625,3292.591493217326
22,65054700,2419.77490234375,3239.02004283474
22,65054760,2465.375,3186.33034084391
22,65054820,2502.050048828125,3134.5078292306994
22,65054880,2518.14990234375,3083.538190537728
22,65054940,2520.449951171875,3033.407343888552
22,65055000,2506.64990234375,2984.101441077529
22,65055060,2494.02490234375,2935.606862724351
22,65055120,2458.52490234375,2887.9102144920976
22,65055180,2423.175048828125,2840.998323367832
22,65055240,2387.97509765625,2795.2626065290096
22,65055300,2351.800048828125,2754.4782631664925
22,65055360,2306.824951171875,2721.2432252242265
22,65055420,2269.97509765625,2693.680230742977
22,65055480,2237.72509765625,2670.2724782281284
22,65055540,2196.72509765625,2650.3476711659405
22,65055600,2162.60009765625,2633.4745512953605
22,65055660,2140.64990234375,2619.312422843276
22,65055720,2116.625,2607.187088831159
22,65055780,2101.375,2595.0475989141023
22,65055840,2091.574951171875,2581.0391244406364
22,65055900,2078.52490234375,2564.7460699476737
22,65055960,2063.375,2545.9244510113626
22,65056020,2046.074951171875,2524.2047516209095
22,65056080,2029.925048828125,2498.9130032981434
22,65056140,2015.949951171875,2468.5647377872
22,65056200,2000.9000244140625,2431.984683433987
22,65056260,1981.6500244140625,2392.5462845246675
22,65056320,1968.8499755859375,2353.7564322098037
22,65056380,1952.8499755859375,2315.6044212879265
22,65056440,1939.050048828125,2278.079723439193
22,65056500,1925.2249755859375,2241.171984302003
22,65056560,1907.25,2204.871020597933
22,65056620,1893.550048828125,2169.1668173041935
22,65056680,1879.9000244140625,2134.0495248728234
22,65056740,1863.0999755859375,2099.5094564958376
22,65056800,1845.2750244140625,2065.537085415588
22,65056860,1819.199951171875,2032.1230422795743
22,65056920,1768.449951171875,1999.2581125389775
22,65056980,1689.625,1966.933233890191
22,65057040,1597.8499755859375,1935.139493758642
22,65057100,1528.375,1903.8681268241946
22,65057160,1548.050048828125,1873.1105125874622
22,65057220,1538.199951171875,1842.858172976342
22,65057280,1510.625,1813.1027699921062
22,65057340,1511.5999755859375,1783.8361033944045
22,65057400,1525.3499755859375,1755.0501084245286
22,65057460,1568.949951171875,1726.7368535663031
22,65057520,1642.0250244140625,1698.8885383439974
22,65057580,1732.449951171875,1671.497491156616
22,65057640,1763.25,1644.5561671480025
22,65057700,1751.949951171875,1618.0571461121367
22,65057760,1713.0250244140625,1591.9931304330582
22,65057820,1662.199951171875,1566.3569430588361
22,65057880,1612.824951171875,1541.14152550903
22,65057940,1568.925048828125,1516.3399359150835
22,65058000,1529.300048828125,1491.9453470931016
22,65058060,1496.925048828125,1467.9510446484892
22,65058120,1467.5999755859375,1444.3504251119134
22,65058180,1436.199951171875,1421.1369941060748
22,65058240,1407.2750244140625,1398.3043645427786
22,65058300,1375.199951171875,1375.8462548498082
22,65058360,1351.074951171875,1353.7564872271028
22,65058420,1327.074951171875,1332.0289859317566
22,65058480,1309.699951171875,1310.6577755913693
22,65058540,1291.300048828125,1289.6369795452656
22,65058600,1276.25,1268.9608182131408
22,65058660,1255.875,1248.623607490663
22,65058720,1237.75,1228.619757171595
22,65058780,1220.7750244140625,1208.9437693959987
22,65058840,1207.050048828125,1189.5902371240848
22,65058900,1191.199951171875,1170.5538426352862
22,65058960,1175.5250244140625,1151.8293560521422
22,65059020,1161.949951171875,1133.411633888581
22,65059080,1146.324951171875,1115.2956176221903
22,65059140,1131.824951171875,1097.4763322900935
22,65059200,1116.3499755859375,1079.9488851080273
22,65059260,1103.0250244140625,1062.7084641122474
22,65059320,1088.675048828125,1045.7503368238802
22,65059380,1077.5,1029.0698489353488
22,65059440,1064.324951171875,1012.6624230185109
22,65059500,1055.199951171875,996.5235572541495
22,65059560,1047.0999755859375,980.6488241824628
22,65059620,1049.0999755859375,965.0338694742039
