event_id,time_value,observed_m3s,simulated_m3s
24,65152800,1639.949951171875,1358.3360639617272
24,65152860,1611.824951171875,1392.9118036725552
24,65152920,1576.875,1422.0737992163843
24,65152980,1553.074951171875,1444.2701008184188
24,65153040,1539.175048828125,1458.238894739474
24,65153100,1535.199951171875,1463.9348353226676
24,65153160,1535.199951171875,1460.364452486953
24,65153220,1552.050048828125,1444.7825237887587
24,65153280,1594.8499755859375,1423.2586035152412
24,65153340,1689.6500244140625,1403.8016623323506
24,65153400,1820.324951171875,1385.4212251777724
24,65153460,1920.0,1368.1508937953834
24,65153520,1980.574951171875,1355.546814858972
24,65153580,2018.0999755859375,1348.6394075732917
24,65153640,2037.449951171875,1346.0280674247485
24,65153700,2061.22509765625,1346.8056643183893
24,65153760,2100.27490234375,1350.3992641184
24,65153820,2140.675048828125,1356.3573934633143
24,65153880,2174.699951171875,1363.537718984601
24,65153940,2206.64990234375,1370.0541617873037
24,65154000,2256.625,1374.6435422021318
24,65154060,2343.97509765625,1376.5597674635605
24,65154120,2444.85009765625,1375.5803775826614
24,65154180,2544.77490234375,1371.6419094594412
24,65154240,2663.47509765625,1364.3576144823608
24,65154300,2799.324951171875,1353.4356709435694
24,65154360,2923.949951171875,1338.3741404684415
24,65154420,3020.925048828125,1317.935068355583
24,65154480,3101.72509765625,1290.647949892935
24,65154540,3183.14990234375,1259.0008301912264
24,65154600,3254.02490234375,1225.5400699883035
24,65154660,3294.0,1189.3139117494268
24,65154720,3326.60009765625,1151.2864813215758
24,65154780,3340.425048828125,1114.5035492070947
24,65154840,3345.47509765625,1091.6354721405926
24,65154900,3353.02490234375,1093.8181239379885
24,65154960,3335.39990234375,1117.2919848440752
24,65155020,3320.324951171875,1156.6931239100031
24,65155080,3292.75,1212.182702001387
24,65155140,3250.27490234375,1287.2904406763946
24,65155200,3219.125,1387.3439891731227
24,65155260,3227.824951171875,1512.562511481791
24,65155320,3269.0,1661.2633110435231
24,65155380,3329.175048828125,1836.4784119316955
24,65155440,3422.52490234375,2033.5449811524343
24,65155500,3530.800048828125,2240.518794146504
24,65155560,3685.449951171875,2473.293939384664
24,65155620,3893.550048828125,2752.7142078787165
24,65155680,4226.5,3073.7608190469787
24,65155740,4591.22509765625,3431.5183851465663
24,65155800,4985.25,3817.496029801467
24,65155860,5452.10009765625,4216.824356558277
24,65155920,5940.72509765625,4621.20250341525
24,65155980,6434.47509765625,5052.4211165396255
24,65156040,6921.39990234375,5537.569426857764
24,65156100,7382.22509765625,6091.812322806482
24,65156160,7848.89990234375,6715.337572576142
24,65156220,8315.375,7381.1998424354615
24,65156280,8661.125,8063.599825429662
24,65156340,8943.099609375,8747.889280024037
24,65156400,9155.5,9425.80769411785
24,65156460,9337.025390625,10094.21735328232
24,65156520,9548.75,10747.301427913804
24,65156580,9810.75,11370.981272194616
24,65156640,10101.0498046875,11945.761312348928
24,65156700,10418.5751953125,12444.345875417988
24,65156760,10703.650390625,12839.167252653091
24,65156820,10955.474609375,13136.858697017957
24,65156880,11137.775390625,13355.745698514713
24,65156940,11278.4248046875,13497.911195514813
24,65157000,11378.724609375,13569.001658517713
24,65157060,11434.9248046875,13567.9553071755
