MODELO;N_EVENTO32_TOTAL;N_EXCLUIDO_CONTINUIDADE_TOTAL;N_DIAG32_VALIDO;N_EXCLUIDO_ANOMALIA32;N_DIAG32_ALL;N_DIAG32_LIMPO;PERS_DIAG32_ALL;PERS_DIAG32_LIMPO;MAE_DIAG32_ALL;MAE_DIAG32_LIMPO;TEST_EVENTS;VAL_EVENTS
031_alt_MUC_H08_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21;21;1;20;0;20;20;-0.2451055754;-0.2451055754;369.6269608975;369.6269608975;31  33  34  35  37;18  20  21
032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21;21;1;20;0;20;20;-0.0286912769;-0.0286912769;331.5004776665;331.5004776665;31  33  34  35  37;18  20  21
033_alt_MUC_H08_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21;21;1;20;0;20;20;-0.2333625527;-0.2333625527;368.5142067347;368.5142067347;31  33  34  35  37;18  20  21
034_alt_MUC_H08_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21;21;1;20;0;20;20;-0.1805397598;-0.1805397598;356.7432458039;356.7432458039;31  33  34  35  37;18  20  21
035_alt_MUC_H08_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21;21;1;20;0;20;20;-0.2304479570;-0.2304479570;358.4629018748;358.4629018748;31  33  34  35  37;18  20  21
036_alt_MUC_H12_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21;21;1;20;1;20;19;-0.6639479789;-0.7185835627;549.7184579896;538.9521479258;31  33  34  35  37;18  20  21
037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21;21;1;20;1;20;19;-0.6448349689;-0.7009745126;553.0699929741;543.0766662171;31  33  34  35  37;18  20  21
038_alt_MUC_H12_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21;21;1;20;1;20;19;-0.4404267325;-0.4980728121;515.1428622148;507.2710269048;31  33  34  35  37;18  20  21
039_alt_MUC_H12_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21;21;1;20;1;20;19;-0.5193204845;-0.5740584053;535.0664837150;526.1708620647;31  33  34  35  37;18  20  21
040_alt_MUC_H12_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21;21;1;20;1;20;19;-0.5975894076;-0.6706820486;532.5323901087;525.4424164631;31  33  34  35  37;18  20  21
