evento;sempre_treino;inicio_recorte;fim_recorte;horas;pico_cm
1;0;2018-05-20 07:00:00;2018-05-21 06:00:00;24;510.0
2;0;2018-06-13 05:00:00;2018-06-15 00:00:00;44;650.0
3;0;2018-06-26 11:00:00;2018-06-27 22:00:00;36;573.0
4;0;2018-07-25 22:00:00;2018-07-29 06:00:00;81;902.0
5;0;2018-10-02 16:00:00;2018-10-06 12:00:00;93;1166.0
6;0;2018-10-31 17:00:00;2018-11-03 07:00:00;63;966.0
7;0;2018-11-30 16:00:00;2018-12-03 01:00:00;58;686.0
8;0;2019-05-26 06:00:00;2019-05-31 03:00:00;118;807.0
9;0;2019-07-01 20:00:00;2019-07-03 11:00:00;40;564.0
10;0;2019-10-06 07:00:00;2019-10-07 12:00:00;30;523.0
11;0;2019-11-02 10:00:00;2019-11-11 00:00:00;207;1432.0
12;0;2020-07-06 00:00:00;2020-07-16 07:00:00;248;2211.0
13;0;2020-08-15 02:00:00;2020-08-18 01:00:00;72;714.0
14;0;2021-01-29 11:00:00;2021-02-02 15:00:00;101;716.0
15;0;2021-05-29 01:00:00;2021-05-31 17:00:00;65;714.0
16;0;2021-06-27 03:00:00;2021-06-30 15:00:00;85;800.0
17;0;2021-09-08 13:00:00;2021-09-10 18:00:00;54;671.0
18;0;2022-05-01 13:00:00;2022-05-08 01:00:00;157;1337.0
19;0;2023-05-06 10:00:00;2023-05-08 14:00:00;53;551.0
20;0;2023-06-15 20:00:00;2023-06-19 12:00:00;89;964.0
21;0;2023-07-10 09:00:00;2023-07-16 22:00:00;158;1458.0
22;0;2023-09-04 00:00:00;2023-09-12 07:00:00;109;2118.0
23;0;2023-09-19 19:00:00;2023-09-22 16:00:00;70;822.0
24;0;2023-11-16 00:00:00;2023-11-25 23:00:00;240;2299.0
25;0;2024-01-18 17:00:00;2024-01-21 06:00:00;62;698.0
26;0;2024-04-14 12:00:00;2024-04-15 18:00:00;31;625.0
27;0;2024-04-29 16:00:00;2024-05-09 20:00:00;245;2551.0
28;0;2024-06-16 10:00:00;2024-06-25 02:00:00;209;1765.0
29;0;2024-08-24 09:00:00;2024-08-25 08:00:00;24;509.0
30;0;2024-10-11 20:00:00;2024-10-14 17:00:00;70;742.0
31;0;2025-06-28 19:00:00;2025-07-04 02:00:00;128;1499.0
32;0;2025-09-22 03:00:00;2026-06-01 11:00:00;33;891.0
33;0;2026-06-29 05:00:00;2026-06-30 18:00:00;38;549.0
34;0;2026-07-02 07:00:00;2026-07-05 23:00:00;89;882.0
35;0;2026-07-21 15:00:00;2026-07-23 23:00:00;57;1986.0
37;0;2026-07-26 19:00:00;2026-07-31 00:00:00;102;1528.0
