idx;tipo_linha1;codigo_linha2
0;nan;ANO
1;nan;MÊS
2;nan;DIA
3;nan;HORA
4;nan;MINUTO
5;nan;COD_SEQUENCIAL
6;chuva1h;86510000
7;chuva1h;86950000
8;chuva1h;86895000
9;chuva1h;86881000
10;chuva1h;86879300
11;chuva1h;86780000
12;chuva1h;86746900
13;chuva1h;86720000
14;chuva1h;86472000
15;chuva1h;86160010
16;chuva1h;86160000
17;chuva1h;2852004
18;chuva1h;2851044
19;chuva1h;2851072
20;chuva;2951146
21;chuva;86060010
22;chuva;86099000
23;nivel;86099000
24;chuva;86100600
25;nivel;86100600
26;nivel;86100800
27;chuva;86101000
28;nivel;86101000
29;chuva;86102000
30;nivel;86102000
31;nivel;86109000
32;chuva;86110000
33;nivel;86110000
34;chuva;86117000
35;nivel;86117000
36;nivel;86118000
37;chuva;86125050
38;nivel;86125050
39;nivel;86125100
40;chuva;86125120
41;nivel;86125120
42;chuva;86125130
43;nivel;86125130
44;chuva;86125500
45;nivel;86125500
46;nivel;86160000
47;nivel;86160010
48;nivel;86162000
49;chuva;86163000
50;nivel;86163000
51;nivel;86194900
52;chuva;86195000
53;nivel;86195000
54;nivel;86195100
55;nivel;86200500
56;nivel;86200900
57;nivel;86201000
58;nivel;86210000
59;chuva;86210900
60;nivel;86210900
61;nivel;86211000
62;chuva;86213000
63;nivel;86213000
64;chuva;86280500
65;nivel;86280500
66;nivel;86281000
67;chuva;86298000
68;nivel;86298000
69;chuva;86305000
70;nivel;86305000
71;chuva;86306000
72;nivel;86306000
73;chuva;86321000
74;nivel;86321000
75;chuva;86390900
76;nivel;86390900
77;nivel;86402000
78;chuva;86403000
79;nivel;86403000
80;chuva;86404000
81;nivel;86404000
82;nivel;86405000
83;chuva;86406000
84;nivel;86406000
85;chuva;86410050
86;nivel;86410050
87;chuva;86410800
88;nivel;86410800
89;chuva;86430500
90;nivel;86430500
91;chuva;86430900
92;nivel;86430900
93;nivel;86444000
94;chuva;86445500
95;nivel;86445500
96;chuva;86447000
97;nivel;86447000
98;chuva;86448000
99;nivel;86448000
100;chuva;86450000
101;nivel;86450000
102;chuva;86450500
103;nivel;86450500
104;nivel;86451000
105;chuva;86470800
106;nivel;86470800
107;chuva;86470900
108;nivel;86470900
109;chuva;86471000
110;nivel;86471000
111;nivel;86472000
112;chuva;86479000
113;nivel;86479000
114;chuva;86488000
115;nivel;86488000
116;nivel;86489000
117;chuva;86490500
118;nivel;86490500
119;chuva;86493000
120;nivel;86493000
121;chuva;86495500
122;nivel;86495500
123;nivel;86496000
124;chuva;86497000
125;nivel;86497000
126;chuva;86497400
127;nivel;86497400
128;nivel;86497500
129;chuva;86498000
130;nivel;86498000
131;nivel;86505400
132;chuva;86505500
133;nivel;86505500
134;nivel;86506000
135;chuva;86507000
136;nivel;86507000
137;chuva;86520000
138;nivel;86520000
139;nivel;86520100
140;nivel;86743700
141;chuva;86743800
142;nivel;86743800
143;nivel;86743900
144;chuva;86743950
145;nivel;86743950
146;nivel;86744000
147;nivel;86780000
148;nivel;86881000
149;nivel;86895000
150;nivel;86950000
151;chuva;86472600
152;nivel;86472600
153;nivel;86510000
154;nivel;86720000
155;nivel;86879300
156;nivel;86510000
157;nivel;86720000
158;nivel;86879300
