ordem,name,tipo,excel,horizonte,receita,rot_id,input,nh,nit,Cic,faixaEntrada,faixaSaida,SERIE,CEL,evt_teste,evt_valida,eventos_fixos_treino,n_treino,n_validacao,n_teste,n_linhas,mat,mascara,n_treino_previsto,n_validacao_prevista,n_teste_previsto,contrato_chuva,eventos_excluidos_ajuste
31,031_alt_MUC_H08_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,alt,031_alt_MUC_H08_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21.xlsx,8,V24_RAIN24_MEAN,R00_T31-33-34-35-37_V18-20-21,25,50,10,100000,H2:AF1251,AG2:AG1251,AI2:AI1251,AJ2:AJ1251,31 33 34 35 37,18 20 21,,596,259,395,1250,mat/031_alt_MUC_H08_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21.mat,mascaras/MASCARA_H08_V24_RAIN24_MEAN.csv,575,259,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32
32,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,alt,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21.xlsx,8,V24_RAIN24_UPSTREAM,R00_T31-33-34-35-37_V18-20-21,26,52,10,100000,H2:AG1195,AH2:AH1195,AJ2:AJ1195,AK2:AK1195,31 33 34 35 37,18 20 21,,540,259,395,1194,mat/032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21.mat,mascaras/MASCARA_H08_V24_RAIN24_UPSTREAM.csv,519,259,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32
33,033_alt_MUC_H08_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21,alt,033_alt_MUC_H08_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21.xlsx,8,V24_RAIN24_DIFF,R00_T31-33-34-35-37_V18-20-21,26,52,10,100000,H2:AG1212,AH2:AH1212,AJ2:AJ1212,AK2:AK1212,31 33 34 35 37,18 20 21,,562,254,395,1211,mat/033_alt_MUC_H08_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21.mat,mascaras/MASCARA_H08_V24_RAIN24_DIFF.csv,541,254,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32
34,034_alt_MUC_H08_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,alt,034_alt_MUC_H08_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21.xlsx,8,V24_RAIN18_24_48,R00_T31-33-34-35-37_V18-20-21,28,56,10,100000,H2:AI1212,AJ2:AJ1212,AL2:AL1212,AM2:AM1212,31 33 34 35 37,18 20 21,,562,254,395,1211,mat/034_alt_MUC_H08_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21.mat,mascaras/MASCARA_H08_V24_RAIN18_24_48.csv,541,254,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32
35,035_alt_MUC_H08_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,alt,035_alt_MUC_H08_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21.xlsx,8,V15_RAIN24_MEAN,R00_T31-33-34-35-37_V18-20-21,16,32,10,100000,H2:W1993,X2:X1993,Z2:Z1993,AA2:AA1993,31 33 34 35 37,18 20 21,,1220,367,405,1992,mat/035_alt_MUC_H08_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21.mat,mascaras/MASCARA_H08_V15_RAIN24_MEAN.csv,1199,367,405,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32
36,036_alt_MUC_H12_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,alt,036_alt_MUC_H12_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21.xlsx,12,V24_RAIN24_MEAN,R00_T31-33-34-35-37_V18-20-21,25,50,10,100000,H2:AF1253,AG2:AG1253,AI2:AI1253,AJ2:AJ1253,31 33 34 35 37,18 20 21,,598,259,395,1252,mat/036_alt_MUC_H12_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21.mat,mascaras/MASCARA_H12_V24_RAIN24_MEAN.csv,577,259,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32
37,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,alt,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21.xlsx,12,V24_RAIN24_UPSTREAM,R00_T31-33-34-35-37_V18-20-21,26,52,10,100000,H2:AG1196,AH2:AH1196,AJ2:AJ1196,AK2:AK1196,31 33 34 35 37,18 20 21,,541,259,395,1195,mat/037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21.mat,mascaras/MASCARA_H12_V24_RAIN24_UPSTREAM.csv,520,259,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32
38,038_alt_MUC_H12_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21,alt,038_alt_MUC_H12_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21.xlsx,12,V24_RAIN24_DIFF,R00_T31-33-34-35-37_V18-20-21,26,52,10,100000,H2:AG1214,AH2:AH1214,AJ2:AJ1214,AK2:AK1214,31 33 34 35 37,18 20 21,,564,254,395,1213,mat/038_alt_MUC_H12_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21.mat,mascaras/MASCARA_H12_V24_RAIN24_DIFF.csv,543,254,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32
39,039_alt_MUC_H12_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,alt,039_alt_MUC_H12_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21.xlsx,12,V24_RAIN18_24_48,R00_T31-33-34-35-37_V18-20-21,28,56,10,100000,H2:AI1214,AJ2:AJ1214,AL2:AL1214,AM2:AM1214,31 33 34 35 37,18 20 21,,564,254,395,1213,mat/039_alt_MUC_H12_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21.mat,mascaras/MASCARA_H12_V24_RAIN18_24_48.csv,543,254,395,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32
40,040_alt_MUC_H12_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,alt,040_alt_MUC_H12_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21.xlsx,12,V15_RAIN24_MEAN,R00_T31-33-34-35-37_V18-20-21,16,32,10,100000,H2:W1991,X2:X1991,Z2:Z1991,AA2:AA1991,31 33 34 35 37,18 20 21,,1218,367,405,1990,mat/040_alt_MUC_H12_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21.mat,mascaras/MASCARA_H12_V15_RAIN24_MEAN.csv,1197,367,405,media_horaria_4est_min2_sem_preenchimento;acumulo_estrito,32
