base_end,base_start,bias_cm,contract_id,event,horizon_hours,mae_cm,method,model,n,n_common_event_points,nse,peak_abs_error_cm,peak_error_cm,peak_lag_hours,peak_observed_cm,peak_predicted_cm,r2,rmse_cm
2025-07-04 02:00,2025-06-28 19:00,-4.030639,031_alt_MUC_H08_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,31,8,40.294739,RNA fonte Q62,RNA 031,128,128,0.96957352,112.146492,112.146492,1.0,1499.0,1611.146492,0.96957352,59.080058
2026-06-30 18:00,2026-06-29 05:00,14.855768,031_alt_MUC_H08_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,33,8,53.274239,RNA fonte Q62,RNA 031,29,29,-2.17706063,94.078727,94.078727,0.0,526.0,620.078727,-2.17706063,64.680371
2026-07-05 23:00,2026-07-02 07:00,11.603766,031_alt_MUC_H08_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,34,8,39.123643,RNA fonte Q62,RNA 031,89,89,0.87888692,53.510047,53.510047,5.0,882.0,935.510047,0.87888692,51.26369
2026-07-23 23:00,2026-07-21 15:00,-56.554055,031_alt_MUC_H08_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,35,8,124.970766,RNA fonte Q62,RNA 031,47,47,0.78524524,59.517142,59.517142,0.0,1986.0,2045.517142,0.78524524,187.206696
2026-07-31 00:00,2026-07-26 19:00,12.163461,031_alt_MUC_H08_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,37,8,72.140691,RNA fonte Q62,RNA 031,102,102,0.95127165,189.364466,189.364466,-5.0,1531.0,1720.364466,0.95127165,92.839875
2025-07-04 02:00,2025-06-28 19:00,-6.061211,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,31,8,31.322961,RNA fonte Q62,RNA 032,128,128,0.97285405,78.555409,78.555409,-5.0,1499.0,1577.555409,0.97285405,55.804292
2026-06-30 18:00,2026-06-29 05:00,24.61942,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,33,8,39.171472,RNA fonte Q62,RNA 032,29,29,-0.91558864,59.87565,59.87565,-11.0,526.0,585.87565,-0.91558864,50.223951
2026-07-05 23:00,2026-07-02 07:00,-0.577422,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,34,8,30.171062,RNA fonte Q62,RNA 032,89,89,0.91199723,22.11727,22.11727,5.0,882.0,904.11727,0.91199723,43.698095
2026-07-23 23:00,2026-07-21 15:00,-42.334921,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,35,8,111.228093,RNA fonte Q62,RNA 032,47,47,0.8155747,51.821318,51.821318,0.0,1986.0,2037.821318,0.8155747,173.484318
2026-07-31 00:00,2026-07-26 19:00,7.269432,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,37,8,63.293377,RNA fonte Q62,RNA 032,102,102,0.95965055,166.731266,166.731266,-5.0,1531.0,1697.731266,0.95965055,84.481669
2025-07-04 02:00,2025-06-28 19:00,-0.189318,033_alt_MUC_H08_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21,31,8,40.061483,RNA fonte Q62,RNA 033,128,128,0.97105157,132.18043,132.18043,1.0,1499.0,1631.18043,0.97105157,57.627207
2026-06-30 18:00,2026-06-29 05:00,4.805633,033_alt_MUC_H08_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21,33,8,58.31926,RNA fonte Q62,RNA 033,29,29,-2.48593176,87.192253,87.192253,0.0,526.0,613.192253,-2.48593176,67.751543
2026-07-05 23:00,2026-07-02 07:00,15.455778,033_alt_MUC_H08_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21,34,8,43.118299,RNA fonte Q62,RNA 033,89,89,0.85928544,61.02024,61.02024,-7.0,882.0,943.02024,0.85928544,55.256562
2026-07-23 23:00,2026-07-21 15:00,-56.280761,033_alt_MUC_H08_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21,35,8,138.448908,RNA fonte Q62,RNA 033,47,47,0.76815682,82.186666,82.186666,2.0,1986.0,2068.186666,0.76815682,194.512332
2026-07-31 00:00,2026-07-26 19:00,19.236848,033_alt_MUC_H08_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21,37,8,74.312272,RNA fonte Q62,RNA 033,102,102,0.94843486,207.204729,207.204729,-5.0,1531.0,1738.204729,0.94843486,95.504051
2025-07-04 02:00,2025-06-28 19:00,-5.309491,034_alt_MUC_H08_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,31,8,34.976871,RNA fonte Q62,RNA 034,128,128,0.9760916,78.365734,78.365734,1.0,1499.0,1577.365734,0.9760916,52.370935
2026-06-30 18:00,2026-06-29 05:00,7.848813,034_alt_MUC_H08_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,33,8,48.325087,RNA fonte Q62,RNA 034,29,29,-1.46285237,77.118572,77.118572,-15.0,526.0,603.118572,-1.46285237,56.948061
2026-07-05 23:00,2026-07-02 07:00,6.346922,034_alt_MUC_H08_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,34,8,35.312831,RNA fonte Q62,RNA 034,89,89,0.90508479,35.614549,35.614549,5.0,882.0,917.614549,0.90508479,45.381856
2026-07-23 23:00,2026-07-21 15:00,-59.004498,034_alt_MUC_H08_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,35,8,122.136594,RNA fonte Q62,RNA 034,47,47,0.80405209,8.434784,8.434784,2.0,1986.0,1994.434784,0.80405209,178.821732
2026-07-31 00:00,2026-07-26 19:00,16.181225,034_alt_MUC_H08_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,37,8,67.467124,RNA fonte Q62,RNA 034,102,102,0.95702389,192.456967,192.456967,-5.0,1531.0,1723.456967,0.95702389,87.188101
2025-07-04 02:00,2025-06-28 19:00,-9.603339,035_alt_MUC_H08_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,31,8,40.431592,RNA fonte Q62,RNA 035,128,128,0.96319874,59.369764,59.369764,1.0,1499.0,1558.369764,0.96319874,64.975018
2026-06-30 18:00,2026-06-29 05:00,21.093774,035_alt_MUC_H08_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,33,8,53.470403,RNA fonte Q62,RNA 035,29,29,-2.64013904,127.749588,127.749588,0.0,526.0,653.749588,-2.64013904,69.233891
2026-07-05 23:00,2026-07-02 07:00,12.542646,035_alt_MUC_H08_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,34,8,40.923206,RNA fonte Q62,RNA 035,89,89,0.87335219,47.43663,47.43663,-7.0,882.0,929.43663,0.87335219,52.421951
2026-07-23 23:00,2026-07-21 15:00,-84.62928,035_alt_MUC_H08_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,35,8,156.950926,RNA fonte Q62,RNA 035,47,47,0.64476901,26.267658,26.267658,0.0,1986.0,2012.267658,0.64476901,240.771679
