evento;usar;motivo;pico_data;pico_cm_catalogo;pico_cm_obs;inicio_cat;fim_cat;horas_cat;inicio_recorte;fim_recorte;horas_recorte;horas_antes;horas_depois
1;1;ok;2018-05-20 15:00:00;510.0;510.0;2018-05-19 11:00:00;2018-05-25 04:00:00;138;2018-05-20 07:00:00;2018-05-21 06:00:00;24;8;15
2;1;ok;2018-06-13 18:00:00;650.0;650.0;2018-06-12 20:00:00;2018-06-20 12:00:00;185;2018-06-13 05:00:00;2018-06-15 00:00:00;44;13;30
3;1;ok;2018-06-26 23:00:00;573.0;573.0;2018-06-25 14:00:00;2018-07-04 12:00:00;215;2018-06-26 11:00:00;2018-06-27 22:00:00;36;12;23
4;1;ok;2018-07-26 23:00:00;902.0;902.0;2018-07-12 08:00:00;2018-08-16 06:00:00;839;2018-07-25 22:00:00;2018-07-29 06:00:00;81;25;55
5;1;ok;2018-10-04 02:00:00;1166.0;1166.0;2018-08-21 09:00:00;2018-10-16 15:00:00;1351;2018-10-02 16:00:00;2018-10-06 12:00:00;93;34;58
6;1;ok;2018-11-01 10:00:00;966.0;966.0;2018-10-27 09:00:00;2018-11-14 07:00:00;431;2018-10-31 17:00:00;2018-11-03 07:00:00;63;17;45
7;1;ok;2018-12-01 07:00:00;686.0;686.0;2018-11-24 12:00:00;2018-12-05 08:00:00;261;2018-11-30 16:00:00;2018-12-03 01:00:00;58;15;42
8;1;ok;2019-05-29 06:00:00;807.0;807.0;2019-04-27 17:00:00;2019-06-13 01:00:00;1113;2019-05-26 06:00:00;2019-05-31 03:00:00;118;72;45
9;1;ok;2019-07-02 12:00:00;564.0;564.0;2019-07-01 04:00:00;2019-07-09 06:00:00;195;2019-07-01 20:00:00;2019-07-03 11:00:00;40;16;23
10;1;ok;2019-10-06 18:00:00;523.0;523.0;2019-10-05 03:00:00;2019-10-11 06:00:00;148;2019-10-06 07:00:00;2019-10-07 12:00:00;30;11;18
11;1;ok;2019-11-05 10:00:00;1432.0;1432.0;2019-10-15 02:00:00;2019-11-17 09:00:00;800;2019-11-02 10:00:00;2019-11-11 00:00:00;207;72;134
12;1;ok;2020-07-08 19:00:00;2211.0;2211.0;2020-06-30 08:00:00;2020-07-25 13:00:00;606;2020-07-06 00:00:00;2020-07-16 07:00:00;248;67;180
13;1;ok;2020-08-16 04:00:00;714.0;714.0;2020-08-12 15:00:00;2020-08-24 08:00:00;282;2020-08-15 02:00:00;2020-08-18 01:00:00;72;26;45
14;1;ok;2021-01-30 09:00:00;716.0;716.0;2021-01-23 04:00:00;2021-02-11 03:00:00;456;2021-01-29 11:00:00;2021-02-02 15:00:00;101;22;78
