PLAN;input;faixaEntrada;faixaSaida;CEL;SERIE;nh;nit;Cic;J;NASH_VAL;NASH_TESTE;PERS;CORRELACAO;ERRO_RELATIVO;ERRO_ABS_MEDIO;E95;arquivo_mat
VAR;25;H2:AF1251;AG2:AG1251;AJ2:AJ1251;AI2:AI1251;50;10;100000;787;0.9604749909;0.9470572772;0.8376791076;0.9737613410;0.0738499108;59.2826841734;177.4950062073;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\031_alt_MUC_H08_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21.mat
VAR;26;H2:AG1195;AH2:AH1195;AK2:AK1195;AJ2:AJ1195;52;10;100000;3128;0.9604480761;0.9557118788;0.8642138714;0.9779324143;0.0586639806;49.4029899263;183.6505959938;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21.mat
VAR;26;H2:AG1212;AH2:AH1212;AK2:AK1212;AJ2:AJ1212;52;10;100000;393;0.9603608547;0.9437137596;0.8274279770;0.9722977644;0.0782579899;62.6420442377;176.9068030364;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\033_alt_MUC_H08_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21.mat
VAR;28;H2:AI1212;AJ2:AJ1212;AM2:AM1212;AL2:AL1212;56;10;100000;878;0.9669155374;0.9537636719;0.8582407242;0.9769020705;0.0673333136;54.7933556784;162.9167961460;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\034_alt_MUC_H08_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21.mat
VAR;16;H2:W1993;X2:X1993;AA2:AA1993;Z2:Z1993;32;10;100000;476;0.9454559164;0.9281321381;0.7772145409;0.9635274365;0.0815769142;63.4671908545;200.4687293782;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\035_alt_MUC_H08_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21.mat
VAR;25;H2:AF1253;AG2:AG1253;AJ2:AJ1253;AI2:AI1253;50;10;100000;3205;0.8660739222;0.8416639917;0.7338497315;0.9211560901;0.1104249898;95.8252287234;346.3674781582;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\036_alt_MUC_H12_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21.mat
VAR;26;H2:AG1196;AH2:AH1196;AK2:AK1196;AJ2:AJ1196;52;10;100000;4171;0.8717601531;0.8607513359;0.7659340429;0.9332181145;0.1038380214;91.7816710017;305.8371102604;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21.mat
VAR;26;H2:AG1214;AH2:AH1214;AK2:AK1214;AJ2:AJ1214;52;10;100000;2761;0.8722741509;0.8691463924;0.7800454667;0.9358046855;0.1101784675;94.3687833305;295.1741132170;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\038_alt_MUC_H12_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21.mat
VAR;28;H2:AI1214;AJ2:AJ1214;AM2:AM1214;AL2:AL1214;56;10;100000;871;0.8869476667;0.8965022126;0.8260284303;0.9482080182;0.1037747196;83.6542222759;274.1489781304;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\039_alt_MUC_H12_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21.mat
VAR;16;H2:W1991;X2:X1991;AA2:AA1991;Z2:Z1991;32;10;100000;585;0.8860179994;0.8659547504;0.7715027372;0.9308816624;0.1138605753;88.2425498616;304.0635645643;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\040_alt_MUC_H12_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21.mat
