MODELO;TIPO;PLAN;input;faixaEntrada;faixaSaida;CEL;SERIE;nh;nit;Cic;J;N_GERAL;N_TREINO;N_VALIDACAO;N_TESTE;NASH_GERAL;NASH_TREINO;NASH_VALIDACAO;NASH_TESTE;PERS_GERAL;PERS_TREINO;PERS_VALIDACAO;PERS_TESTE;MAE_GERAL;MAE_TREINO;MAE_VALIDACAO;MAE_TESTE;E95_GERAL;E95_TREINO;E95_VALIDACAO;E95_TESTE;CORR_GERAL;CORR_TREINO;CORR_VALIDACAO;CORR_TESTE;arquivo_mat
031_alt_MUC_H08_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21;alt;VAR;25;H2:AF1251;AG2:AG1251;AJ2:AJ1251;AI2:AI1251;50;10;100000;787;1229;575;259;395;0.9608367063;0.9686700876;0.9604749909;0.9470572772;0.8344255452;0.8211166055;0.8568640277;0.8376791076;47.2570711762;44.6967258558;34.6010149035;59.2826841734;144.9124120459;129.7656726152;114.4427246987;177.4950062073;0.9804058279;0.9845841290;0.9801136676;0.9737613410;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\031_alt_MUC_H08_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21.mat
032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21;alt;VAR;26;H2:AG1195;AH2:AH1195;AK2:AK1195;AJ2:AJ1195;52;10;100000;3128;1173;519;259;395;0.9668485531;0.9750264110;0.9604480761;0.9557118788;0.8613113576;0.8589112645;0.8567665582;0.8642138714;42.2486742910;40.4359900808;34.9700195773;49.4029899263;139.1835326416;122.3539122863;113.2212526216;183.6505959938;0.9833850974;0.9878482455;0.9800449342;0.9779324143;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21.mat
033_alt_MUC_H08_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21;alt;VAR;26;H2:AG1212;AH2:AH1212;AK2:AK1212;AJ2:AJ1212;52;10;100000;393;1190;541;254;395;0.9591282113;0.9680302314;0.9603608547;0.9437137596;0.8264450771;0.8137213721;0.8549329798;0.8274279770;49.8266502187;47.1972859816;35.4975376784;62.6420442377;150.2837512344;135.1107208222;122.0365436559;176.9068030364;0.9797164466;0.9843951841;0.9801713128;0.9722977644;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\033_alt_MUC_H08_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21.mat
034_alt_MUC_H08_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21;alt;VAR;28;H2:AI1212;AJ2:AJ1212;AM2:AM1212;AL2:AL1212;56;10;100000;878;1190;541;254;395;0.9669705033;0.9750062657;0.9669155374;0.9537636719;0.8597460024;0.8543687137;0.8789210928;0.8582407242;43.7732596328;41.1785858177;32.1621596170;54.7933556784;132.4869033920;112.8573235977;112.9846176097;162.9167961460;0.9834393249;0.9877256479;0.9834132396;0.9769020705;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\034_alt_MUC_H08_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21.mat
035_alt_MUC_H08_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21;alt;VAR;16;H2:W1993;X2:X1993;AA2:AA1993;Z2:Z1993;32;10;100000;476;1971;1199;367;405;0.9495725972;0.9571762102;0.9454559164;0.9281321381;0.7779917586;0.7810464269;0.7669945901;0.7772145409;51.4185147603;49.3509263560;44.8771651109;63.4671908545;159.9479110174;144.7027799991;157.3656577095;200.4687293782;0.9747253538;0.9788785263;0.9730808451;0.9635274365;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\035_alt_MUC_H08_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21.mat
036_alt_MUC_H12_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21;alt;VAR;25;H2:AF1253;AG2:AG1253;AJ2:AJ1253;AI2:AI1253;50;10;100000;3205;1231;577;259;395;0.8794678761;0.9017168329;0.8660739222;0.8416639917;0.7224432565;0.6975846108;0.7485243025;0.7338497315;76.6005202063;72.6288977166;56.1289615667;95.8252287234;272.4626417723;244.9153104095;232.3392501967;346.3674781582;0.9386174818;0.9499698859;0.9314379974;0.9211560901;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\036_alt_MUC_H12_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21.mat
037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21;alt;VAR;26;H2:AG1196;AH2:AH1196;AK2:AK1196;AJ2:AJ1196;52;10;100000;4171;1174;520;259;395;0.8922961969;0.9139262249;0.8717601531;0.8607513359;0.7550694324;0.7390470131;0.7592014530;0.7659340429;73.2573655061;69.1667390281;53.2188523700;91.7816710017;274.2238113088;253.0826831469;243.2210832318;305.8371102604;0.9462786041;0.9561794953;0.9375081347;0.9332181145;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21.mat
038_alt_MUC_H12_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21;alt;VAR;26;H2:AG1214;AH2:AH1214;AK2:AK1214;AJ2:AJ1214;52;10;100000;2761;1192;543;254;395;0.8932237139;0.9089744211;0.8722741509;0.8691463924;0.7523366940;0.7121404544;0.7579525701;0.7800454667;80.4062689899;78.4036321450;62.9741376600;94.3687833305;269.6733797395;265.6580498629;240.6422750969;295.1741132170;0.9468546805;0.9555658018;0.9346950166;0.9358046855;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\038_alt_MUC_H12_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21.mat
039_alt_MUC_H12_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21;alt;VAR;28;H2:AI1214;AJ2:AJ1214;AM2:AM1214;AL2:AL1214;56;10;100000;871;1192;543;254;395;0.9139147685;0.9275235124;0.8869476667;0.8965022126;0.8003287639;0.7708001525;0.7857596806;0.8260284303;72.1740477668;70.1304518767;58.6898101181;83.6542222759;235.5254855651;212.4126236130;205.3520349843;274.1489781304;0.9565721545;0.9639178187;0.9425255886;0.9482080182;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\039_alt_MUC_H12_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21.mat
040_alt_MUC_H12_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21;alt;VAR;16;H2:W1991;X2:X1991;AA2:AA1991;Z2:Z1991;32;10;100000;585;1969;1197;367;405;0.8923047779;0.9008705346;0.8860179994;0.8659547504;0.7439020230;0.7290595928;0.7397266968;0.7715027372;75.9696387031;74.8780866406;65.9861476939;88.2425498616;254.6156464600;233.8212610137;235.2239590530;304.0635645643;0.9451796435;0.9502043634;0.9426632742;0.9308816624;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\62_FILA_MATLAB_MUCUM_H08_H12_CHUVA24_20260825\mat\040_alt_MUC_H12_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21.mat
