MODELO;TIPO;PLAN;input;faixaEntrada;faixaSaida;CEL;SERIE;nh;nit;Cic;J;N_GERAL;N_TREINO;N_VALIDACAO;N_TESTE;NASH_GERAL;NASH_TREINO;NASH_VALIDACAO;NASH_TESTE;PERS_GERAL;PERS_TREINO;PERS_VALIDACAO;PERS_TESTE;MAE_GERAL;MAE_TREINO;MAE_VALIDACAO;MAE_TESTE;E95_GERAL;E95_TREINO;E95_VALIDACAO;E95_TESTE;CORR_GERAL;CORR_TREINO;CORR_VALIDACAO;CORR_TESTE;arquivo_mat;seed;patience;output_activation
053_alt_MUC_H08_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S01;alt;VAR;26;H2:AG1195;AH2:AH1195;AK2:AK1195;AJ2:AJ1195;52;10;20000;438;1173;519;259;395;0.9601030250;0.9667173495;0.9585672724;0.9488471139;0.8330915297;0.8119690735;0.8499554109;0.8431666962;49.5612588648;48.2006098839;35.7783163139;60.3864713758;156.3326305710;142.4191183657;127.2889218975;176.1694291004;0.9803044862;0.9837599840;0.9792021896;0.9752061605;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\64_FILA_MATLAB_MUCUM_H08_H12_MELHORIA_ESTAVEL_20260826\mat\053_alt_MUC_H08_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S01.mat;6301;1500;sigmoid
053_alt_MUC_H08_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S02;alt;VAR;26;H2:AG1195;AH2:AH1195;AK2:AK1195;AJ2:AJ1195;52;10;20000;448;1173;519;259;395;0.9611238658;0.9677890853;0.9604497436;0.9496101318;0.8373622034;0.8180238639;0.8567725971;0.8455060875;49.1599476722;48.0283447352;35.4396897077;59.6431090320;151.1063035943;140.9214393955;119.9172334145;179.1192368378;0.9808308593;0.9844808971;0.9802881665;0.9753123430;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\64_FILA_MATLAB_MUCUM_H08_H12_MELHORIA_ESTAVEL_20260826\mat\053_alt_MUC_H08_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S02.mat;6302;1500;sigmoid
053_alt_MUC_H08_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S03;alt;VAR;26;H2:AG1195;AH2:AH1195;AK2:AK1195;AJ2:AJ1195;52;10;20000;441;1173;519;259;395;0.9578043103;0.9644710625;0.9572889555;0.9459639673;0.8234748869;0.7992786353;0.8453261105;0.8343270503;51.4149815204;50.4052938071;36.4523776323;62.5525570400;161.0005799000;149.9440404597;130.1402289473;178.9762427482;0.9792960568;0.9827731284;0.9786103592;0.9739960242;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\64_FILA_MATLAB_MUCUM_H08_H12_MELHORIA_ESTAVEL_20260826\mat\053_alt_MUC_H08_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S03.mat;6303;1500;sigmoid
056_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_STABLE_S01;alt;VAR;28;H2:AI1212;AJ2:AJ1212;AM2:AM1212;AL2:AL1212;56;10;20000;988;1190;541;254;395;0.9676584306;0.9759925641;0.9679210449;0.9540232037;0.8626671656;0.8601155900;0.8826009394;0.8590364414;43.1251407666;40.5077079196;32.0703290566;53.8186935378;127.8684912962;108.6674816950;103.3212428788;168.2975256108;0.9838049646;0.9883545503;0.9841543455;0.9768261306;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\64_FILA_MATLAB_MUCUM_H08_H12_MELHORIA_ESTAVEL_20260826\mat\056_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_STABLE_S01.mat;6301;1500;sigmoid
056_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_STABLE_S02;alt;VAR;28;H2:AI1212;AJ2:AJ1212;AM2:AM1212;AL2:AL1212;56;10;20000;778;1190;541;254;395;0.9652595365;0.9733608565;0.9656248541;0.9516857831;0.8524806805;0.8447813884;0.8741975906;0.8518699758;45.2339249663;42.8202633813;32.7423811193;56.5722618135;139.9142777175;119.3755015109;112.2082447841;170.1664949497;0.9827504631;0.9870795539;0.9828835920;0.9760837983;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\64_FILA_MATLAB_MUCUM_H08_H12_MELHORIA_ESTAVEL_20260826\mat\056_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_STABLE_S02.mat;6302;1500;sigmoid
056_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_STABLE_S03;alt;VAR;28;H2:AI1212;AJ2:AJ1212;AM2:AM1212;AL2:AL1212;56;10;20000;873;1190;541;254;395;0.9652711103;0.9726033755;0.9646182601;0.9530192043;0.8525298267;0.8403677646;0.8705137677;0.8559582075;46.3732784159;44.4171731803;34.7971871006;56.4962660782;141.3613813591;117.5737358267;116.3637101218;162.7335084513;0.9828372051;0.9869526408;0.9825277937;0.9766058726;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\64_FILA_MATLAB_MUCUM_H08_H12_MELHORIA_ESTAVEL_20260826\mat\056_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_STABLE_S03.mat;6303;1500;sigmoid
059_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_STABLE_S01;alt;VAR;28;H2:AI1214;AJ2:AJ1214;AM2:AM1214;AL2:AL1214;56;10;20000;942;1192;543;254;395;0.9154900686;0.9252343683;0.8840681522;0.9049514588;0.8039826092;0.7635609568;0.7803028439;0.8402309428;74.5677487018;73.9220767513;63.1274534208;82.8118876145;230.9020923153;216.4368931794;205.4418409181;258.2496424375;0.9576395003;0.9634850864;0.9410814653;0.9522246529;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\64_FILA_MATLAB_MUCUM_H08_H12_MELHORIA_ESTAVEL_20260826\mat\059_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_STABLE_S01.mat;6301;1500;sigmoid
059_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_STABLE_S02;alt;VAR;28;H2:AI1214;AJ2:AJ1214;AM2:AM1214;AL2:AL1214;56;10;20000;808;1192;543;254;395;0.9107121732;0.9217517053;0.8840268947;0.8964573096;0.7929004727;0.7525473735;0.7802246586;0.8259529518;75.4753282718;74.2490456129;61.4111630695;86.2048711711;238.9393992680;234.3326225782;213.7133487418;269.5995997325;0.9550593243;0.9609404743;0.9410193231;0.9487170866;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\64_FILA_MATLAB_MUCUM_H08_H12_MELHORIA_ESTAVEL_20260826\mat\059_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_STABLE_S02.mat;6302;1500;sigmoid
059_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_STABLE_S03;alt;VAR;28;H2:AI1214;AJ2:AJ1214;AM2:AM1214;AL2:AL1214;56;10;20000;708;1192;543;254;395;0.9078127120;0.9191240396;0.8852976920;0.8915905098;0.7861752891;0.7442376363;0.7826328887;0.8177722475;78.8596545482;78.1939585680;63.4542595871;89.6810298327;248.5169967521;233.7021263617;205.8513221123;275.8843716670;0.9544013001;0.9609157306;0.9427159967;0.9464220593;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\64_FILA_MATLAB_MUCUM_H08_H12_MELHORIA_ESTAVEL_20260826\mat\059_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_STABLE_S03.mat;6303;1500;sigmoid
062_alt_MUC_H12_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S01;alt;VAR;26;H2:AG1196;AH2:AH1196;AK2:AK1196;AJ2:AJ1196;52;10;20000;420;1174;520;259;395;0.8990862729;0.9120486138;0.8639360009;0.8845730407;0.7705108294;0.7333545915;0.7445098845;0.8059764387;83.2530379789;82.3591002612;67.0955014372;95.0243027321;271.5080261942;255.0477482396;240.1702786683;291.3873627590;0.9510465498;0.9577192535;0.9331509030;0.9450484727;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\64_FILA_MATLAB_MUCUM_H08_H12_MELHORIA_ESTAVEL_20260826\mat\062_alt_MUC_H12_V24_RAIN24_UPSTREAM_SIGMOID_STABLE_S01.mat;6301;1500;sigmoid
