HORIZONTE_H;MODELO;EVENTO;N_LINHAS;PERS_EVENTO;MAE_EVENTO_CM;MEDIANA_ERRO_ABS_CM;P95_ERRO_ABS_CM;MAX_ERRO_ABS_CM;PCT_LINHAS_RNA_PIOR_PERSISTENCIA;MEDIANA_GANHO_ABS_CM;N_LINHAS_ERRO_P95_MODELO;N_LINHAS_PLATO_PROXIMO_0_1CM;SHAPE_EVENTO
2;002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;4;69;0.9438500961350668;6.1824218236731046;5.232;15.603;27.504;4.35;14.102;1;0;subida_e_descida
2;002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;5;81;0.8617294845625387;8.585645240658012;4.023;33.085;86.881;4.94;23.853;5;0;subida_e_descida
2;002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;6;51;0.964695598855891;7.624122245221797;6.181;17.053;32.721;1.96;18.819;1;0;subida_e_descida
2;002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;7;46;0.8618125429879786;8.00504282656318;5.833;26.395;33.545;10.87;8.968;3;0;subida_e_descida
2;002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;11;108;0.9747812306861641;6.639272292878508;5.479;17.765;39.842;15.74;11.703;1;0;subida_e_descida
2;002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;12;175;0.9552947149424308;10.89603303648383;6.396;36.410;75.026;12.00;13.766;18;0;subida_e_descida
2;002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;13;60;0.8546046301471785;6.008727305366964;4.923;11.523;25.307;18.33;10.879;0;0;subida_e_descida
2;002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;18;145;0.8095591674355432;8.622108065271037;4.376;23.183;124.174;6.90;16.165;5;2;subida_e_descida
2;002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;21;113;0.971745010078279;5.85533045624409;3.850;14.767;55.934;7.08;13.251;2;0;subida_e_descida
2;002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;22;95;0.9505282711834092;12.263863219446105;7.666;31.302;171.447;21.05;5.383;6;0;subida_e_descida
