MODELO;HORIZONTE_H;MELHOR_MODELO_HORIZONTE;CONJUNTO;EVENTO;COD_SEQUENCIAL;DATA_HORA_BASE;COD_FUTURO_ESPERADO;NIVEL_ATUAL_CM;NIVEL_FUTURO_CM;RNA_FINAL_CM;PERSISTENCIA_CM;ALVO_FONTE_CM;EVENTO_ALVO_FONTE;DIF_ALVO_X_FONTE_CM;ERRO_RNA_CM;ERRO_ABS_RNA_CM;ERRO_PERSISTENCIA_CM;ERRO_ABS_PERSISTENCIA_CM;GANHO_ABS_VS_PERSISTENCIA_CM;GANHO_SSE_VS_PERSISTENCIA;DIF_RNA_ANTERIOR_CM;PERS_EVENTO;MAE_EVENTO_CM;SHAPE_EVENTO;N_INPUTS;INPUTS_USADOS;N_INPUTS_NAO_NUMERICOS;FLAG_ALVO_FONTE_DIVERGENTE;FLAG_EVENTO_FONTE_DIVERGENTE;FLAG_RNA_PIOR_QUE_PERSISTENCIA;FLAG_PLATO_PROXIMO_0_1CM;INPUT_nivel_86510000;INPUT_difn1h_86510000;INPUT_difn2h_86510000;INPUT_difn4h_86510000;INPUT_acel1h_86510000;INPUT_acel2h_86510000;INPUT_acel4h_86510000;INPUT_acel8h_86510000;INPUT_acel12h_86510000;INPUT_nivel_86472000;INPUT_difn1h_86472000;INPUT_difn2h_86472000;INPUT_difn4h_86472000;INPUT_acel12h_86472000;INPUT_acel20h_86472000;LIMIAR_P95_ERRO_ABS_MODELO_CM;FLAG_ERRO_ABS_P95_MODELO;INPUT_nivel_86298000;INPUT_difn2h_86298000;INPUT_difn4h_86298000;INPUT_acel12h_86298000;INPUT_acel20h_86298000;INPUT_difn8h_86510000;INPUT_acel20h_86510000;INPUT_difn8h_86472000;INPUT_acel4h_86472000;INPUT_chuva_med_4est_acum_18h;INPUT_chuva_med_4est_acum_24h;INPUT_chuva_med_4est_acum_48h;INPUT_chuva_dif_0_24_menos_24_48h
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;True;Treino;4;201807252200;2018-07-25 22:00;201807260000;392.000;443.000;422.191;392.000;443.000;4;0.000000;-20.809;20.809;-51.000;51.000;30.191;2167.973680;;0.9438500961350668;6.1824218236731046;subida_e_descida;15;nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000;0;False;False;False;False;392.000000;23.000000;38.000000;53.000000;8.000000;23.000000;26.000000;50.000000;110.000000;476.000000;2.000000;8.000000;28.000000;28.000000;40.000000;26.746;False;;;;;;;;;;;;;
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;True;Treino;4;201807252300;2018-07-25 23:00;201807260100;420.000;461.000;451.472;420.000;461.000;4;0.000000;-9.528;9.528;-41.000;41.000;31.472;1590.212175;29.281;0.9438500961350668;6.1824218236731046;subida_e_descida;15;nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000;0;False;False;False;False;420.000000;28.000000;51.000000;77.000000;5.000000;25.000000;58.000000;51.000000;137.000000;477.000000;1.000000;3.000000;24.000000;15.000000;63.000000;26.746;False;;;;;;;;;;;;;
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;True;Treino;4;201807260000;2018-07-26 00:00;201807260200;443.000;474.000;462.802;443.000;474.000;4;0.000000;-11.198;11.198;-31.000;31.000;19.802;835.605818;11.330;0.9438500961350668;6.1824218236731046;subida_e_descida;15;nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000;0;False;False;False;False;443.000000;23.000000;51.000000;89.000000;-5.000000;13.000000;67.000000;55.000000;149.000000;479.000000;2.000000;3.000000;11.000000;8.000000;73.000000;26.746;False;;;;;;;;;;;;;
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;True;Treino;4;201807260100;2018-07-26 01:00;201807260300;461.000;487.000;472.509;461.000;487.000;4;0.000000;-14.491;14.491;-26.000;26.000;11.509;466.000576;9.707;0.9438500961350668;6.1824218236731046;subida_e_descida;15;nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000;0;False;False;False;False;461.000000;18.000000;41.000000;92.000000;-5.000000;-10.000000;60.000000;62.000000;145.000000;480.000000;1.000000;3.000000;6.000000;5.000000;76.000000;26.746;False;;;;;;;;;;;;;
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;True;Treino;4;201807260200;2018-07-26 02:00;201807260400;474.000;500.000;488.961;474.000;500.000;4;0.000000;-11.039;11.039;-26.000;26.000;14.961;554.142200;16.452;0.9438500961350668;6.1824218236731046;subida_e_descida;15;nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000;0;False;False;False;False;474.000000;13.000000;31.000000;82.000000;-5.000000;-20.000000;29.000000;74.000000;130.000000;500.000000;20.000000;21.000000;24.000000;19.000000;93.000000;26.746;False;;;;;;;;;;;;;
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;True;Treino;4;201807260300;2018-07-26 03:00;201807260500;487.000;534.000;539.857;487.000;534.000;4;0.000000;5.857;5.857;-47.000;47.000;41.143;2174.700677;50.895;0.9438500961350668;6.1824218236731046;subida_e_descida;15;nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000;0;False;False;False;False;487.000000;13.000000;26.000000;67.000000;0.000000;-15.000000;-10.000000;80.000000;121.000000;569.000000;69.000000;89.000000;92.000000;75.000000;159.000000;26.746;False;;;;;;;;;;;;;
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;True;Treino;4;201807260400;2018-07-26 04:00;201807260600;500.000;588.000;579.804;500.000;588.000;4;0.000000;-8.196;8.196;-88.000;88.000;79.804;7676.821155;39.947;0.9438500961350668;6.1824218236731046;subida_e_descida;15;nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000;0;False;False;False;False;500.000000;13.000000;26.000000;57.000000;0.000000;-5.000000;-32.000000;78.000000;120.000000;638.000000;69.000000;138.000000;159.000000;135.000000;217.000000;26.746;False;;;;;;;;;;;;;
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;True;Treino;4;201807260500;2018-07-26 05:00;201807260700;534.000;642.000;648.136;534.000;642.000;4;0.000000;6.136;6.136;-108.000;108.000;101.864;11626.351109;68.332;0.9438500961350668;6.1824218236731046;subida_e_descida;15;nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000;0;False;False;False;False;534.000000;34.000000;47.000000;73.000000;21.000000;21.000000;-19.000000;93.000000;145.000000;690.000000;52.000000;121.000000;210.000000;187.000000;254.000000;26.746;False;;;;;;;;;;;;;
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;True;Treino;4;201807260600;2018-07-26 06:00;201807260800;588.000;690.000;717.504;588.000;690.000;4;0.000000;27.504;27.504;-102.000;102.000;74.496;9647.514509;69.368;0.9438500961350668;6.1824218236731046;subida_e_descida;15;nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000;0;False;False;False;False;588.000000;54.000000;88.000000;114.000000;20.000000;62.000000;32.000000;116.000000;192.000000;731.000000;41.000000;93.000000;231.000000;229.000000;254.000000;26.746;True;;;;;;;;;;;;;
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;True;Treino;4;201807260700;2018-07-26 07:00;201807260900;642.000;723.000;745.133;642.000;723.000;4;0.000000;22.133;22.133;-81.000;81.000;58.867;6071.151872;27.628;0.9438500961350668;6.1824218236731046;subida_e_descida;15;nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000;0;False;False;False;False;642.000000;54.000000;108.000000;155.000000;0.000000;61.000000;88.000000;126.000000;235.000000;759.000000;28.000000;69.000000;190.000000;248.000000;270.000000;26.746;False;;;;;;;;;;;;;
