ordem,name,tipo,excel,horizonte,receita,rot_id,input,nh,nit,Cic,faixaEntrada,faixaSaida,SERIE,CEL,evt_teste,evt_valida,n_linhas_workbook,n_invalidas_temporais,n_evento32_total,n_treino_previsto,n_validacao_prevista,n_teste_previsto,mat,mascara,seed,Prc,Mom,gate_eventos,source_workbook
1,001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01,alt,001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01.xlsx,2,BASE_COMPLETA_Q58_V15_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,15,24,10,100000,H2:V1561,W2:W1561,Y2:Y1561,Z2:Z1561,24 31 34 35 37,18 21 23,1560,0,0,743,316,501,mat/001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_01.csv,78001,0.001,0.0,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\58_FILA_MATLAB_MUCUM_HIDRO_AUDITADA_20260823\planilhas\001_alt_MUC_H02_V15_LJJ_R02_T18-31_V11-20-21.xlsx
2,002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02,alt,002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02.xlsx,2,BASE_COMPLETA_Q58_V15_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,15,32,10,100000,H2:V1561,W2:W1561,Y2:Y1561,Z2:Z1561,24 31 34 35 37,18 21 23,1560,0,0,743,316,501,mat/002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_02.csv,78002,0.001,0.0,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\58_FILA_MATLAB_MUCUM_HIDRO_AUDITADA_20260823\planilhas\001_alt_MUC_H02_V15_LJJ_R02_T18-31_V11-20-21.xlsx
3,003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03,alt,003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03.xlsx,2,BASE_COMPLETA_Q58_V15_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,15,48,10,100000,H2:V1561,W2:W1561,Y2:Y1561,Z2:Z1561,24 31 34 35 37,18 21 23,1560,0,0,743,316,501,mat/003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_03.csv,78003,0.001,0.3,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\58_FILA_MATLAB_MUCUM_HIDRO_AUDITADA_20260823\planilhas\001_alt_MUC_H02_V15_LJJ_R02_T18-31_V11-20-21.xlsx
4,004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04,alt,004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04.xlsx,2,BASE_COMPLETA_Q58_V15_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,15,56,10,100000,H2:V1561,W2:W1561,Y2:Y1561,Z2:Z1561,24 31 34 35 37,18 21 23,1560,0,0,743,316,501,mat/004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_04.csv,78004,0.001,0.6,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\58_FILA_MATLAB_MUCUM_HIDRO_AUDITADA_20260823\planilhas\001_alt_MUC_H02_V15_LJJ_R02_T18-31_V11-20-21.xlsx
5,005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05,alt,005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05.xlsx,2,BASE_COMPLETA_Q58_V15_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,15,72,10,100000,H2:V1561,W2:W1561,Y2:Y1561,Z2:Z1561,24 31 34 35 37,18 21 23,1560,0,0,743,316,501,mat/005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_05.csv,78005,0.001,0.6,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\58_FILA_MATLAB_MUCUM_HIDRO_AUDITADA_20260823\planilhas\001_alt_MUC_H02_V15_LJJ_R02_T18-31_V11-20-21.xlsx
6,006_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH24_M00_S06,alt,006_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH24_M00_S06.xlsx,4,DOWNLOAD_015_V15_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,15,24,10,100000,H2:V1501,W2:W1501,Y2:Y1501,Z2:Z1501,24 31 34 35 37,18 21 23,1500,0,0,681,316,503,mat/006_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH24_M00_S06.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_06.csv,78006,0.001,0.0,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,C:\Users\Usuario\Downloads\4H_ALT__015_alt_MUC_H04_V15_LJJ_AUDITADO_SEM32_R07_T8-21_V11-18-31.xlsx
7,007_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH32_M00_S07,alt,007_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH32_M00_S07.xlsx,4,DOWNLOAD_015_V15_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,15,32,10,100000,H2:V1501,W2:W1501,Y2:Y1501,Z2:Z1501,24 31 34 35 37,18 21 23,1500,0,0,681,316,503,mat/007_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH32_M00_S07.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_07.csv,78007,0.001,0.0,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,C:\Users\Usuario\Downloads\4H_ALT__015_alt_MUC_H04_V15_LJJ_AUDITADO_SEM32_R07_T8-21_V11-18-31.xlsx
8,008_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH48_M03_S08,alt,008_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH48_M03_S08.xlsx,4,DOWNLOAD_015_V15_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,15,48,10,100000,H2:V1501,W2:W1501,Y2:Y1501,Z2:Z1501,24 31 34 35 37,18 21 23,1500,0,0,681,316,503,mat/008_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH48_M03_S08.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_08.csv,78008,0.001,0.3,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,C:\Users\Usuario\Downloads\4H_ALT__015_alt_MUC_H04_V15_LJJ_AUDITADO_SEM32_R07_T8-21_V11-18-31.xlsx
9,009_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH56_M06_S09,alt,009_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH56_M06_S09.xlsx,4,DOWNLOAD_015_V15_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,15,56,10,100000,H2:V1501,W2:W1501,Y2:Y1501,Z2:Z1501,24 31 34 35 37,18 21 23,1500,0,0,681,316,503,mat/009_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH56_M06_S09.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_09.csv,78009,0.001,0.6,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,C:\Users\Usuario\Downloads\4H_ALT__015_alt_MUC_H04_V15_LJJ_AUDITADO_SEM32_R07_T8-21_V11-18-31.xlsx
10,010_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH72_M06_S10,alt,010_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH72_M06_S10.xlsx,4,DOWNLOAD_015_V15_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,15,72,10,100000,H2:V1501,W2:W1501,Y2:Y1501,Z2:Z1501,24 31 34 35 37,18 21 23,1500,0,0,681,316,503,mat/010_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH72_M06_S10.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_10.csv,78010,0.001,0.6,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,C:\Users\Usuario\Downloads\4H_ALT__015_alt_MUC_H04_V15_LJJ_AUDITADO_SEM32_R07_T8-21_V11-18-31.xlsx
