MODELO;TIPO;PLAN;input;faixaEntrada;faixaSaida;CEL;SERIE;nh;nit;Cic;J;N_GERAL;N_TREINO;N_VALIDACAO;N_TESTE;NASH_GERAL;NASH_TREINO;NASH_VALIDACAO;NASH_TESTE;PERS_GERAL;PERS_TREINO;PERS_VALIDACAO;PERS_TESTE;MAE_GERAL;MAE_TREINO;MAE_VALIDACAO;MAE_TESTE;E95_GERAL;E95_TREINO;E95_VALIDACAO;E95_TESTE;CORR_GERAL;CORR_TREINO;CORR_VALIDACAO;CORR_TESTE;arquivo_mat
001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01;alt;VAR;15;H2:V1561;W2:W1561;Z2:Z1561;Y2:Y1561;24;10;100000;262;1560;743;316;501;0.9978487441;0.9965750143;0.9974051307;0.9985692286;0.9164568682;0.9110357069;0.8972629393;0.9301346038;9.2233827550;9.1015998137;8.0468217259;10.1460933549;31.8065169999;32.7665169172;26.8517514645;32.0966181985;0.9989370759;0.9983150319;0.9987086253;0.9992991727;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\001_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH24_M00_S01.mat
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;alt;VAR;15;H2:V1561;W2:W1561;Z2:Z1561;Y2:Y1561;32;10;100000;48958;1560;743;316;501;0.9985302243;0.9978343395;0.9979957408;0.9989598576;0.9429218700;0.9437467854;0.9206466019;0.9492092461;8.8176976595;9.0941209172;7.4716153643;9.2567785472;26.8861521062;27.5914396509;23.1455160593;27.9177147432;0.9992944316;0.9990033418;0.9990116221;0.9994998825;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02.mat
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;alt;VAR;15;H2:V1561;W2:W1561;Z2:Z1561;Y2:Y1561;48;10;100000;87138;1560;743;316;501;0.9982750236;0.9977478373;0.9981501200;0.9984364984;0.9330112563;0.9414998830;0.9267588405;0.9236533118;9.7958608596;9.5612459729;7.6609773207;11.4903559875;30.7402865606;28.2018412631;23.7044211399;39.7420763430;0.9991670166;0.9989523478;0.9990756977;0.9992465550;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03.mat
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;alt;VAR;15;H2:V1561;W2:W1561;Z2:Z1561;Y2:Y1561;56;10;100000;39319;1560;743;316;501;0.9984907669;0.9977090570;0.9980445345;0.9989524154;0.9413895561;0.9404925614;0.9225784598;0.9488458372;9.3150168629;9.7854801402;7.5989560085;9.6996895475;26.9390714672;27.4399605848;22.0793261996;29.2806933839;0.9993086357;0.9990142318;0.9990480292;0.9995230282;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04.mat
005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05;alt;VAR;15;H2:V1561;W2:W1561;Z2:Z1561;Y2:Y1561;72;10;100000;300;1560;743;316;501;0.9967329158;0.9946199176;0.9960720477;0.9979516256;0.8731241349;0.8602519043;0.8444830070;0.8999766913;12.2617561446;12.6676424960;11.0287677963;12.4375061626;41.7720018819;40.9057480044;42.5959614174;42.7026651746;0.9984631155;0.9974005512;0.9982290386;0.9991238168;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05.mat
006_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH24_M00_S06;alt;VAR;15;H2:V1501;W2:W1501;Z2:Z1501;Y2:Y1501;24;10;100000;161;1500;681;316;503;0.9905938404;0.9877797374;0.9892216646;0.9914663514;0.8784833709;0.8559008371;0.8881264309;0.8912226748;20.0201197191;18.9564224586;18.3570244988;22.5050420334;66.3116822031;67.8506054658;68.6587226269;65.5800556917;0.9953364473;0.9938769407;0.9946811827;0.9958675848;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\006_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH24_M00_S06.mat
007_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH32_M00_S07;alt;VAR;15;H2:V1501;W2:W1501;Z2:Z1501;Y2:Y1501;32;10;100000;918;1500;681;316;503;0.9827858924;0.9761729797;0.9765445798;0.9863153278;0.7776137730;0.7190360149;0.7565448211;0.8255632377;38.4543250143;39.0697891352;36.1540245052;39.0661816634;87.4051455625;85.3673114644;97.0921622622;87.0962048822;0.9945007552;0.9929312952;0.9935485094;0.9950735019;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\007_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH32_M00_S07.mat
008_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH48_M03_S08;alt;VAR;15;H2:V1501;W2:W1501;Z2:Z1501;Y2:Y1501;48;10;100000;80;1500;681;316;503;0.9870843146;0.9832379660;0.9833863179;0.9887485531;0.8331443834;0.8023450765;0.8275585388;0.8565792488;25.7643394305;25.2533109865;23.6623360916;27.7767518070;88.5145408711;85.0367957830;95.2647229338;86.2340308931;0.9940806599;0.9921366934;0.9927849276;0.9949361646;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\008_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH48_M03_S08.mat
009_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH56_M06_S09;alt;VAR;15;H2:V1501;W2:W1501;Z2:Z1501;Y2:Y1501;56;10;100000;256;1500;681;316;503;0.9901290437;0.9872815827;0.9890609807;0.9908780566;0.8724787384;0.8500266853;0.8864586153;0.8837237574;19.6653659634;18.0891354774;16.9865714343;23.4822884926;74.2734676077;75.9367586044;74.6303810585;73.7665175881;0.9951418760;0.9936397101;0.9947148582;0.9956402394;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\009_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH56_M06_S09.mat
010_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH72_M06_S10;alt;VAR;15;H2:V1501;W2:W1501;Z2:Z1501;Y2:Y1501;72;10;100000;175;1500;681;316;503;0.9884082503;0.9848843622;0.9861837663;0.9896603104;0.8502480909;0.8217590876;0.8565946120;0.8682013020;24.5086436357;23.8465856030;21.7348634454;27.1475622449;74.5330195006;69.3251679447;81.6578844867;74.0161264683;0.9943967531;0.9928133044;0.9935298222;0.9949319644;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\010_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH72_M06_S10.mat
