ordem,name,tipo,excel,horizonte,receita,rot_id,input,nh,nit,Cic,faixaEntrada,faixaSaida,SERIE,CEL,evt_teste,evt_valida,n_linhas_workbook,n_invalidas_temporais,n_evento32_total,n_treino_previsto,n_validacao_prevista,n_teste_previsto,mat,mascara,seed,Prc,Mom,gate_eventos,source_workbook,derived_input_workbook,feature_names,variant_label
1,001_MUC_H02_CONTROLE_15INPUTS_NH32_S01,alt,001_MUC_H02_CONTROLE_15INPUTS_NH32_S01.xlsx,2,CONTROLE_15INPUTS,Q79_LINHA_A_LINHA_RISE_GATE,15,32,10,100000,H2:V1561,W2:W1561,Y2:Y1561,Z2:Z1561,24 31 34 35 37,18 21 23,1560,0,0,743,316,501,mat/001_MUC_H02_CONTROLE_15INPUTS_NH32_S01.mat,mascaras/MASCARA_LINHAS_INTEGRAS_01.csv,80001,0.001,0.0,q79_integral;rise_to_peak_then_first_below_500;min35;exact_t_plus_H_same_event;input_selection_ex_ante,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\58_FILA_MATLAB_MUCUM_HIDRO_AUDITADA_20260823\planilhas\001_alt_MUC_H02_V15_LJJ_R02_T18-31_V11-20-21.xlsx,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\auditaveis\002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02_AUDITAVEL.xlsx,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000,CONTROLE_15INPUTS
2,002_MUC_H02_SEM_SANTA_TEREZA_NH48_S02,alt,002_MUC_H02_SEM_SANTA_TEREZA_NH48_S02.xlsx,2,SEM_SANTA_TEREZA,Q79_LINHA_A_LINHA_RISE_GATE,9,48,10,100000,H2:P1561,Q2:Q1561,S2:S1561,T2:T1561,24 31 34 35 37,18 21 23,1560,0,0,743,316,501,mat/002_MUC_H02_SEM_SANTA_TEREZA_NH48_S02.mat,mascaras/MASCARA_LINHAS_INTEGRAS_02.csv,80002,0.0005,0.0,q79_integral;rise_to_peak_then_first_below_500;min35;exact_t_plus_H_same_event;input_selection_ex_ante,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\58_FILA_MATLAB_MUCUM_HIDRO_AUDITADA_20260823\planilhas\001_alt_MUC_H02_V15_LJJ_R02_T18-31_V11-20-21.xlsx,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\auditaveis\002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02_AUDITAVEL.xlsx,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000,SEM_SANTA_TEREZA
3,003_MUC_H02_NIVEIS_DIFERENCAS_NH56_S03,alt,003_MUC_H02_NIVEIS_DIFERENCAS_NH56_S03.xlsx,2,NIVEIS_DIFERENCAS,Q79_LINHA_A_LINHA_RISE_GATE,8,56,10,100000,H2:O1561,P2:P1561,R2:R1561,S2:S1561,24 31 34 35 37,18 21 23,1560,0,0,743,316,501,mat/003_MUC_H02_NIVEIS_DIFERENCAS_NH56_S03.mat,mascaras/MASCARA_LINHAS_INTEGRAS_03.csv,80003,0.0015,0.3,q79_integral;rise_to_peak_then_first_below_500;min35;exact_t_plus_H_same_event;input_selection_ex_ante,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\58_FILA_MATLAB_MUCUM_HIDRO_AUDITADA_20260823\planilhas\001_alt_MUC_H02_V15_LJJ_R02_T18-31_V11-20-21.xlsx,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\auditaveis\002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02_AUDITAVEL.xlsx,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000,NIVEIS_DIFERENCAS
4,004_MUC_H02_DINAMICA_CURTA_NH64_S04,alt,004_MUC_H02_DINAMICA_CURTA_NH64_S04.xlsx,2,DINAMICA_CURTA,Q79_LINHA_A_LINHA_RISE_GATE,11,64,10,100000,H2:R1561,S2:S1561,U2:U1561,V2:V1561,24 31 34 35 37,18 21 23,1560,0,0,743,316,501,mat/004_MUC_H02_DINAMICA_CURTA_NH64_S04.mat,mascaras/MASCARA_LINHAS_INTEGRAS_04.csv,80004,0.002,0.6,q79_integral;rise_to_peak_then_first_below_500;min35;exact_t_plus_H_same_event;input_selection_ex_ante,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\58_FILA_MATLAB_MUCUM_HIDRO_AUDITADA_20260823\planilhas\001_alt_MUC_H02_V15_LJJ_R02_T18-31_V11-20-21.xlsx,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\auditaveis\002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02_AUDITAVEL.xlsx,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000,DINAMICA_CURTA
5,005_MUC_H02_NIVEL_DINAMICA_CURTA_STZ_NH72_S05,alt,005_MUC_H02_NIVEL_DINAMICA_CURTA_STZ_NH72_S05.xlsx,2,NIVEL_DINAMICA_CURTA_STZ,Q79_LINHA_A_LINHA_RISE_GATE,13,72,10,100000,H2:T1561,U2:U1561,W2:W1561,X2:X1561,24 31 34 35 37,18 21 23,1560,0,0,743,316,501,mat/005_MUC_H02_NIVEL_DINAMICA_CURTA_STZ_NH72_S05.mat,mascaras/MASCARA_LINHAS_INTEGRAS_05.csv,80005,0.0008,0.3,q79_integral;rise_to_peak_then_first_below_500;min35;exact_t_plus_H_same_event;input_selection_ex_ante,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\58_FILA_MATLAB_MUCUM_HIDRO_AUDITADA_20260823\planilhas\001_alt_MUC_H02_V15_LJJ_R02_T18-31_V11-20-21.xlsx,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\auditaveis\002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02_AUDITAVEL.xlsx,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000,NIVEL_DINAMICA_CURTA_STZ
6,006_MUC_H04_CONTROLE_15INPUTS_NH32_S06,alt,006_MUC_H04_CONTROLE_15INPUTS_NH32_S06.xlsx,4,CONTROLE_15INPUTS,Q79_LINHA_A_LINHA_RISE_GATE,15,32,10,100000,H2:V1501,W2:W1501,Y2:Y1501,Z2:Z1501,24 31 34 35 37,18 21 23,1500,0,0,681,316,503,mat/006_MUC_H04_CONTROLE_15INPUTS_NH32_S06.mat,mascaras/MASCARA_LINHAS_INTEGRAS_06.csv,80006,0.001,0.0,q79_integral;rise_to_peak_then_first_below_500;min35;exact_t_plus_H_same_event;input_selection_ex_ante,C:\Users\Usuario\Downloads\4H_ALT__015_alt_MUC_H04_V15_LJJ_AUDITADO_SEM32_R07_T8-21_V11-18-31.xlsx,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\auditaveis\006_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH24_M00_S06_AUDITAVEL.xlsx,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000,CONTROLE_15INPUTS
7,007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07,alt,007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07.xlsx,4,SEM_SANTA_TEREZA,Q79_LINHA_A_LINHA_RISE_GATE,9,48,10,100000,H2:P1501,Q2:Q1501,S2:S1501,T2:T1501,24 31 34 35 37,18 21 23,1500,0,0,681,316,503,mat/007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07.mat,mascaras/MASCARA_LINHAS_INTEGRAS_07.csv,80007,0.0005,0.0,q79_integral;rise_to_peak_then_first_below_500;min35;exact_t_plus_H_same_event;input_selection_ex_ante,C:\Users\Usuario\Downloads\4H_ALT__015_alt_MUC_H04_V15_LJJ_AUDITADO_SEM32_R07_T8-21_V11-18-31.xlsx,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\auditaveis\006_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH24_M00_S06_AUDITAVEL.xlsx,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|acel8h_86510000|acel12h_86510000,SEM_SANTA_TEREZA
8,008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08,alt,008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08.xlsx,4,NIVEIS_DIFERENCAS,Q79_LINHA_A_LINHA_RISE_GATE,8,56,10,100000,H2:O1501,P2:P1501,R2:R1501,S2:S1501,24 31 34 35 37,18 21 23,1500,0,0,681,316,503,mat/008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08.mat,mascaras/MASCARA_LINHAS_INTEGRAS_08.csv,80008,0.0015,0.3,q79_integral;rise_to_peak_then_first_below_500;min35;exact_t_plus_H_same_event;input_selection_ex_ante,C:\Users\Usuario\Downloads\4H_ALT__015_alt_MUC_H04_V15_LJJ_AUDITADO_SEM32_R07_T8-21_V11-18-31.xlsx,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\auditaveis\006_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH24_M00_S06_AUDITAVEL.xlsx,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000,NIVEIS_DIFERENCAS
9,009_MUC_H04_DINAMICA_CURTA_NH64_S09,alt,009_MUC_H04_DINAMICA_CURTA_NH64_S09.xlsx,4,DINAMICA_CURTA,Q79_LINHA_A_LINHA_RISE_GATE,11,64,10,100000,H2:R1501,S2:S1501,U2:U1501,V2:V1501,24 31 34 35 37,18 21 23,1500,0,0,681,316,503,mat/009_MUC_H04_DINAMICA_CURTA_NH64_S09.mat,mascaras/MASCARA_LINHAS_INTEGRAS_09.csv,80009,0.002,0.6,q79_integral;rise_to_peak_then_first_below_500;min35;exact_t_plus_H_same_event;input_selection_ex_ante,C:\Users\Usuario\Downloads\4H_ALT__015_alt_MUC_H04_V15_LJJ_AUDITADO_SEM32_R07_T8-21_V11-18-31.xlsx,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\auditaveis\006_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH24_M00_S06_AUDITAVEL.xlsx,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000,DINAMICA_CURTA
10,010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10,alt,010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10.xlsx,4,NIVEL_DINAMICA_CURTA_STZ,Q79_LINHA_A_LINHA_RISE_GATE,13,72,10,100000,H2:T1501,U2:U1501,W2:W1501,X2:X1501,24 31 34 35 37,18 21 23,1500,0,0,681,316,503,mat/010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10.mat,mascaras/MASCARA_LINHAS_INTEGRAS_10.csv,80010,0.0008,0.3,q79_integral;rise_to_peak_then_first_below_500;min35;exact_t_plus_H_same_event;input_selection_ex_ante,C:\Users\Usuario\Downloads\4H_ALT__015_alt_MUC_H04_V15_LJJ_AUDITADO_SEM32_R07_T8-21_V11-18-31.xlsx,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\auditaveis\006_MUC_H04_DOWNLOAD_015_V15_RISE_GATE_NH24_M00_S06_AUDITAVEL.xlsx,nivel_86510000|difn1h_86510000|difn2h_86510000|difn4h_86510000|acel1h_86510000|acel2h_86510000|acel4h_86510000|nivel_86472000|difn1h_86472000|difn2h_86472000|difn4h_86472000|acel12h_86472000|acel20h_86472000,NIVEL_DINAMICA_CURTA_STZ
