modelo;horizonte_h;evento;conjunto;timestamp;cod_sequencial;nivel_atual_cm;nivel_futuro_cm;rna_final_cm;erro_assinado_cm;erro_abs_cm;pers_referencia_cm
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-25 22:00;201807252200;392.0;474.0;447.8257873158923;-26.174212684107715;26.174212684107715;392.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-25 23:00;201807252300;420.0;487.0;481.5145278099899;-5.485472190010114;5.485472190010114;420.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 00:00;201807260000;443.0;500.0;495.17098866993126;-4.829011330068738;4.829011330068738;443.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 01:00;201807260100;461.0;534.0;502.43529151253415;-31.56470848746585;31.56470848746585;461.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 02:00;201807260200;474.0;588.0;521.1791109528542;-66.82088904714578;66.82088904714578;474.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 03:00;201807260300;487.0;642.0;578.5702314871297;-63.42976851287028;63.42976851287028;487.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 04:00;201807260400;500.0;690.0;611.3668591392162;-78.63314086078378;78.63314086078378;500.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 05:00;201807260500;534.0;723.0;669.3661573365737;-53.63384266342632;53.63384266342632;534.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 06:00;201807260600;588.0;757.0;742.2755454869681;-14.724454513031901;14.724454513031901;588.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 07:00;201807260700;642.0;781.0;785.3680481218323;4.368048121832317;4.368048121832317;642.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 08:00;201807260800;690.0;806.0;814.4589684937201;8.458968493720135;8.458968493720135;690.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 09:00;201807260900;723.0;834.0;825.4343029246257;-8.56569707537426;8.56569707537426;723.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 10:00;201807261000;757.0;857.0;859.8707992107117;2.8707992107116524;2.8707992107116524;757.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 11:00;201807261100;781.0;871.0;866.9110332561547;-4.088966743845276;4.088966743845276;781.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 12:00;201807261200;806.0;882.0;901.9722429210955;19.97224292109547;19.97224292109547;806.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 13:00;201807261300;834.0;889.0;926.2607858979618;37.260785897961796;37.260785897961796;834.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 14:00;201807261400;857.0;886.0;929.4347996506727;43.434799650672744;43.434799650672744;857.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 15:00;201807261500;871.0;885.0;917.2380232355918;32.238023235591754;32.238023235591754;871.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 16:00;201807261600;882.0;889.0;906.1337928167728;17.133792816772825;17.133792816772825;882.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 17:00;201807261700;889.0;898.0;911.2958068592756;13.295806859275558;13.295806859275558;889.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 18:00;201807261800;886.0;900.0;893.3815310510298;-6.61846894897019;6.61846894897019;886.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 19:00;201807261900;885.0;902.0;905.0577388775084;3.0577388775084273;3.0577388775084273;885.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 20:00;201807262000;889.0;894.0;918.1558863412141;24.155886341214114;24.155886341214114;889.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 21:00;201807262100;898.0;885.0;926.5628110359169;41.562811035916866;41.562811035916866;898.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 22:00;201807262200;900.0;873.0;905.0910619110872;32.091061911087195;32.091061911087195;900.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-26 23:00;201807262300;902.0;855.0;895.5560935066933;40.55609350669329;40.55609350669329;902.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-27 00:00;201807270000;894.0;843.0;867.5387033811687;24.538703381168716;24.538703381168716;894.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-27 01:00;201807270100;885.0;825.0;853.665652907473;28.66565290747303;28.66565290747303;885.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-27 02:00;201807270200;873.0;808.0;840.153200361908;32.153200361908034;32.153200361908034;873.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-27 03:00;201807270300;855.0;794.0;814.2992074613678;20.299207461367814;20.299207461367814;855.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-27 04:00;201807270400;843.0;780.0;803.6054350278652;23.605435027865155;23.605435027865155;843.0
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;4;Treino;2018-07-27 05:00;201807270500;825.0;768.0;784.0853571497487;16.08535714974869;16.08535714974869;825.0
