key;MODELO;HORIZONTE_H;EVENTO;evento;CONJUNTO;conjunto;start;end;N;PERS_EVENTO;MAE_EVENTO;NASH_EVENTO;CORR_EVENTO;RMSE_EVENTO;MAX_ABS_EVENTO;AMPLITUDE_OBSERVADA;RISE_POINTS;FALL_POINTS;SHAPE_OBSERVADA;BIAS_EVENTO;PLATEAU_POINTS_OBS;obsPeak;rnaPeak;riseObs;riseRna;TARGET_MISSING_SAME_EVENT
4|Treino;001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;4;Treino;Treino;2018-07-25 22:00;2018-07-28 18:00;69;0.9394405521101349;6.3003405523893825;0.9964773523336148;0.9987914116819679;8.384396773118606;25.34467762712518;459.0;21;47;subida_e_descida;-2.380467658807359;0;902.0;912.6817389763052;459.0;495.02641660343033;2
5|Treino;001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;5;Treino;Treino;2018-10-02 16:00;2018-10-06 00:00;81;0.8527425738263275;9.30046278793911;0.9946978515476559;0.9977807330460459;16.6482409869533;90.16916798872671;785.0;32;47;subida_e_descida;-1.7134625943575978;1;1166.0;1183.250756043749;785.0;838.1997475695887;2
6|Treino;001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;6;6;Treino;Treino;2018-10-31 17:00;2018-11-02 19:00;51;0.9667300421452554;7.719618807368043;0.996363541986473;0.998318010557927;9.729146512275499;29.708694431891104;580.0;15;35;subida_e_descida;1.9467964476113804;0;966.0;978.4646974370967;580.0;584.395055703033;2
7|Treino;001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;7;7;Treino;Treino;2018-11-30 16:00;2018-12-02 13:00;46;0.8533560159562142;8.14500983360831;0.974530609148316;0.9904309565526964;11.218112212450944;31.283894278869184;278.0;12;33;subida_e_descida;-4.3269737959929655;0;686.0;681.431094563695;278.0;300.2056696145687;2
11|Treino;001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;11;11;Treino;Treino;2019-11-03 21:00;2019-11-10 03:00;108;0.972460283088273;7.068568953621575;0.9973320340165869;0.999106646572211;9.320378052698501;42.56291231930868;953.0;38;66;subida_e_descida;-5.216636868593207;3;1323.0;1341.2084014644597;932.0;952.2892092252956;5
12|Treino;001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;12;12;Treino;Treino;2020-07-07 07:00;2020-07-16 03:00;175;0.9537657504365751;11.405708366426921;0.9987197667217144;0.9994486612590581;16.46731089013214;74.28677107218277;1702.0;40;131;subida_e_descida;-5.899162670376388;3;2198.0;2177.2706839316256;1519.0;1501.72901457643;13
13|Treino;001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;13;13;Treino;Treino;2020-08-15 02:00;2020-08-17 13:00;60;0.8446712433563852;6.343852373871595;0.9893717427268731;0.9971976570631673;7.732645399212324;23.640203931602855;263.0;26;32;subida_e_descida;-5.11773036108888;1;714.0;709.6211227034573;263.0;269.1542430812734;2
18|Validação;001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;18;18;Validação;Validação;2022-05-01 13:00;2022-05-07 13:00;145;0.8239167038813007;8.627025724040456;0.9966691314037762;0.998477210742042;15.426705861135714;117.50243915322335;1112.0;57;86;subida_e_descida;4.531459594853635;1;1337.0;1343.3749710346192;1112.0;1000.8725318813958;2
21|Validação;001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;21;21;Validação;Validação;2023-07-11 18:00;2023-07-16 10:00;113;0.9640298248530327;6.916467283863069;0.9989768155284234;0.9995867167535238;11.363919154060605;61.653932465634625;1093.0;24;85;subida_e_descida;-4.476337229984724;3;1458.0;1465.5430651202585;1070.0;1080.4263278415065;2
22|Treino;001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;22;22;Treino;Treino;2023-09-04 00:00;2023-09-11 19:00;95;0.9494078820694468;12.723231198621741;0.9942398843445193;0.9976924351342878;22.622325878174053;169.86333307395205;1689.0;31;62;subida_e_descida;-10.108998829175212;1;2118.0;2091.601026289781;1689.0;1681.9773519883252;4
