modelo;horizonte_h;evento;conjunto;timestamp;cod_sequencial;nivel_atual_cm;nivel_futuro_cm;rna_final_cm;erro_assinado_cm;erro_abs_cm;pers_referencia_cm
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-25 22:00;201807252200;392.0;443.0;417.6553223728748;-25.34467762712518;25.34467762712518;392.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-25 23:00;201807252300;420.0;461.0;446.5543041917831;-14.445695808216897;14.445695808216897;420.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 00:00;201807260000;443.0;474.0;457.98939743222115;-16.010602567778847;16.010602567778847;443.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 01:00;201807260100;461.0;487.0;467.99502907263195;-19.00497092736805;19.00497092736805;461.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 02:00;201807260200;474.0;500.0;484.5349990915728;-15.465000908427214;15.465000908427214;474.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 03:00;201807260300;487.0;534.0;535.0170160176851;1.0170160176851368;1.0170160176851368;487.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 04:00;201807260400;500.0;588.0;575.7595061592741;-12.24049384072589;12.24049384072589;500.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 05:00;201807260500;534.0;642.0;644.0799615886316;2.0799615886315905;2.0799615886315905;534.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 06:00;201807260600;588.0;690.0;713.3165713764181;23.316571376418096;23.316571376418096;588.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 07:00;201807260700;642.0;723.0;742.1013542701465;19.101354270146544;19.101354270146544;642.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 08:00;201807260800;690.0;757.0;764.5659110509172;7.56591105091718;7.56591105091718;690.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 09:00;201807260900;723.0;781.0;775.1757799924942;-5.824220007505801;5.824220007505801;723.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 10:00;201807261000;757.0;806.0;815.4128392721107;9.41283927211066;9.41283927211066;757.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 11:00;201807261100;781.0;834.0;825.3056031719075;-8.694396828092522;8.694396828092522;781.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 12:00;201807261200;806.0;857.0;861.9682158203983;4.9682158203983136;4.9682158203983136;806.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 13:00;201807261300;834.0;871.0;889.5933723197973;18.593372319797254;18.593372319797254;834.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 14:00;201807261400;857.0;882.0;893.8734652524175;11.873465252417532;11.873465252417532;857.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 15:00;201807261500;871.0;889.0;889.7199686388402;0.7199686388402142;0.7199686388402142;871.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 16:00;201807261600;882.0;886.0;887.6157914931085;1.6157914931085315;1.6157914931085315;882.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 17:00;201807261700;889.0;885.0;892.2703873964234;7.270387396423416;7.270387396423416;889.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 18:00;201807261800;886.0;889.0;880.7728184260853;-8.227181573914663;8.227181573914663;886.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 19:00;201807261900;885.0;898.0;891.1408604567907;-6.859139543209267;6.859139543209267;885.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 20:00;201807262000;889.0;900.0;904.7093466668229;4.709346666822853;4.709346666822853;889.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 21:00;201807262100;898.0;902.0;912.6817389763052;10.681738976305155;10.681738976305155;898.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 22:00;201807262200;900.0;894.0;895.3543849311013;1.3543849311013219;1.3543849311013219;900.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-26 23:00;201807262300;902.0;885.0;889.2353619738155;4.235361973815543;4.235361973815543;902.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 00:00;201807270000;894.0;873.0;866.7192333237199;-6.280766676280109;6.280766676280109;894.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 01:00;201807270100;885.0;855.0;856.3289970417059;1.3289970417058612;1.3289970417058612;885.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 02:00;201807270200;873.0;843.0;842.6815907799191;-0.31840922008086636;0.31840922008086636;873.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 03:00;201807270300;855.0;825.0;819.4313542292022;-5.568645770797843;5.568645770797843;855.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 04:00;201807270400;843.0;808.0;808.8729461916148;0.8729461916148011;0.8729461916148011;843.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 05:00;201807270500;825.0;794.0;786.1393620214069;-7.860637978593104;7.860637978593104;825.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 06:00;201807270600;808.0;780.0;775.1527485534644;-4.847251446535552;4.847251446535552;808.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 07:00;201807270700;794.0;768.0;765.405586975414;-2.594413024585947;2.594413024585947;794.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 08:00;201807270800;780.0;759.0;753.4499876436001;-5.550012356399861;5.550012356399861;780.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 09:00;201807270900;768.0;747.0;741.9280924130892;-5.071907586910811;5.071907586910811;768.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 10:00;201807271000;759.0;736.0;734.8479243413902;-1.1520756586097605;1.1520756586097605;759.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 11:00;201807271100;747.0;727.0;720.4096456767211;-6.590354323278916;6.590354323278916;747.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 12:00;201807271200;736.0;719.0;709.9614465034184;-9.038553496581585;9.038553496581585;736.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 13:00;201807271300;727.0;705.0;703.9452777035071;-1.054722296492855;1.054722296492855;727.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 14:00;201807271400;719.0;696.0;695.0437231589029;-0.9562768410970648;0.9562768410970648;719.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 15:00;201807271500;705.0;684.0;674.7891924358441;-9.210807564155857;9.210807564155857;705.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 16:00;201807271600;696.0;676.0;672.1076878300737;-3.8923121699262992;3.8923121699262992;696.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 17:00;201807271700;684.0;665.0;657.7033772508192;-7.296622749180756;7.296622749180756;684.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 18:00;201807271800;676.0;655.0;653.8673491240979;-1.1326508759020726;1.1326508759020726;676.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 19:00;201807271900;665.0;646.0;641.184736840205;-4.815263159794995;4.815263159794995;665.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 20:00;201807272000;655.0;638.0;632.8970933209201;-5.102906679079865;5.102906679079865;655.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 21:00;201807272100;646.0;629.0;624.496565078297;-4.503434921703047;4.503434921703047;646.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 22:00;201807272200;638.0;622.0;619.4176774793259;-2.582322520674097;2.582322520674097;638.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-27 23:00;201807272300;629.0;614.0;609.1263255012545;-4.8736744987454585;4.8736744987454585;629.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 00:00;201807280000;622.0;606.0;604.2510168899274;-1.7489831100725723;1.7489831100725723;622.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 01:00;201807280100;614.0;599.0;594.6991464865546;-4.300853513445418;4.300853513445418;614.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 02:00;201807280200;606.0;590.0;587.4101862682809;-2.5898137317191186;2.5898137317191186;606.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 03:00;201807280300;599.0;585.0;581.4599506034504;-3.540049396549648;3.540049396549648;599.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 04:00;201807280400;590.0;579.0;570.6408021645814;-8.359197835418627;8.359197835418627;590.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 05:00;201807280500;585.0;573.0;570.0532648691307;-2.9467351308693424;2.9467351308693424;585.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 06:00;201807280600;579.0;563.0;562.0435585964198;-0.9564414035802429;0.9564414035802429;579.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 07:00;201807280700;573.0;555.0;556.9901103935147;1.9901103935146693;1.9901103935146693;573.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 08:00;201807280800;563.0;549.0;542.287102661017;-6.712897338982998;6.712897338982998;563.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 09:00;201807280900;555.0;544.0;538.0939993715009;-5.9060006284991005;5.9060006284991005;555.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 10:00;201807281000;549.0;537.0;534.1418044741625;-2.858195525837459;2.858195525837459;549.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 11:00;201807281100;544.0;530.0;530.7348137210008;0.734813721000819;0.734813721000819;544.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 12:00;201807281200;537.0;525.0;521.0844281235296;-3.9155718764703806;3.9155718764703806;537.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 13:00;201807281300;530.0;522.0;513.4489691547687;-8.551030845231253;8.551030845231253;530.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 14:00;201807281400;525.0;514.0;511.13995159208275;-2.8600484079172475;2.8600484079172475;525.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 15:00;201807281500;522.0;508.0;509.7930604358043;1.793060435804307;1.793060435804307;522.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 16:00;201807281600;514.0;504.0;496.38852413211714;-7.611475867882859;7.611475867882859;514.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 17:00;201807281700;508.0;497.0;494.02410795227706;-2.9758920477229367;2.9758920477229367;508.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;4;Treino;2018-07-28 18:00;201807281800;504.0;493.0;491.7557048216827;-1.2442951783173157;1.2442951783173157;504.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-02 16:00;201810021600;340.0;381.0;345.0510084741604;-35.948991525839574;35.948991525839574;340.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-02 17:00;201810021700;349.0;447.0;356.8308320112733;-90.16916798872671;90.16916798872671;349.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-02 18:00;201810021800;381.0;483.0;419.85876498230107;-63.14123501769893;63.14123501769893;381.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-02 19:00;201810021900;447.0;493.0;538.9334837282721;45.93348372827211;45.93348372827211;447.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-02 20:00;201810022000;483.0;504.0;532.4693964954658;28.469396495465844;28.469396495465844;483.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-02 21:00;201810022100;493.0;522.0;513.0382788274834;-8.961721172516604;8.961721172516604;493.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-02 22:00;201810022200;504.0;542.0;527.7571958306959;-14.242804169304122;14.242804169304122;504.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-02 23:00;201810022300;522.0;555.0;553.141341841255;-1.8586581587450155;1.8586581587450155;522.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-03 00:00;201810030000;542.0;571.0;567.1146168795334;-3.8853831204665994;3.8853831204665994;542.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-03 01:00;201810030100;555.0;590.0;564.1427678816215;-25.857232118378533;25.857232118378533;555.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-03 02:00;201810030200;571.0;608.0;588.7750061960385;-19.224993803961524;19.224993803961524;571.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-03 03:00;201810030300;590.0;628.0;621.8823701793075;-6.117629820692514;6.117629820692514;590.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-03 04:00;201810030400;608.0;653.0;652.2868597654556;-0.7131402345444258;0.7131402345444258;608.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-03 05:00;201810030500;628.0;679.0;682.2408859763012;3.2408859763012288;3.2408859763012288;628.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-03 06:00;201810030600;653.0;709.0;711.0853509492734;2.0853509492734474;2.0853509492734474;653.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-03 07:00;201810030700;679.0;733.0;737.8632342377255;4.8632342377254645;4.8632342377254645;679.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-03 08:00;201810030800;709.0;764.0;776.8033225071237;12.803322507123653;12.803322507123653;709.0
001_MUC_H02_CONTROLE_15INPUTS_NH32_S01;2;5;Treino;2018-10-03 09:00;201810030900;733.0;802.0;803.90532872222;1.9053287222200197;1.9053287222200197;733.0
