modelo,evento,conjunto,N,data_inicial,data_final,PERS,MAE_cm,BIAS_cm,RMSE_cm,E95_cm,CORR
001_MUC_H02_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S01,4,Treino,36,2018-07-25 22:00,2018-07-27 09:00,0.9444175736124573,7.943831263615199,1.6571284697639739,10.50680135106846,21.609575494212095,0.9976544859447081
001_MUC_H02_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S01,5,Treino,45,2018-10-02 16:00,2018-10-04 12:00,0.8314301049259547,12.95705467953623,1.8385246867328116,20.911188388453922,36.196695786850654,0.9966463711282548
001_MUC_H02_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S01,6,Treino,28,2018-10-31 17:00,2018-11-01 20:00,0.9783041241415039,8.401600530331214,2.792512130086753,10.234328987439545,17.011825799446456,0.9986327502986654
001_MUC_H02_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S01,7,Treino,26,2018-11-30 16:00,2018-12-01 17:00,0.8524990606541935,11.389335101316437,0.5940083331460598,14.388499386591468,26.35745832486161,0.9872144382672248
001_MUC_H02_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S01,12,Treino,31,2020-07-07 07:00,2020-07-09 10:00,0.9089048487513713,24.5772959102993,-5.952741335389943,32.11944060841116,60.08096737899223,0.9987280845991282
001_MUC_H02_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S01,13,Treino,37,2020-08-15 02:00,2020-08-16 14:00,0.9476463943955341,3.870535778768508,1.0454231854403286,4.857271005156792,10.189366802983749,0.9980596561235643
001_MUC_H02_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S01,18,Treino,76,2022-05-01 13:00,2022-05-04 16:00,0.8511565234733999,11.374270119314065,2.2657509144344936,17.730955964812658,30.859875808853047,0.9981471391478629
001_MUC_H02_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S01,21,Treino,50,2023-07-11 18:00,2023-07-13 19:00,0.9593329876841081,10.821069773180707,-5.0026208799337475,16.76431931373629,38.82137471168293,0.9994251490411882
001_MUC_H02_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S01,23,Treino,24,2023-09-19 19:00,2023-09-20 18:00,0.9310982330832103,11.693880315285021,4.668939265401005,15.426910702974416,28.210506570026823,0.9941417348320672
001_MUC_H02_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S01,24,Treino,83,2023-11-16 00:00,2023-11-19 10:00,0.9608577869443133,10.945748911386184,0.29957966574706835,13.300683577580665,25.485824493381497,0.9997735030142909
001_MUC_H02_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S01,30,Treino,32,2024-10-11 20:00,2024-10-13 03:00,0.6828351013443352,11.710973167781658,-0.22128954647283727,16.94910342635764,40.17169318547024,0.9822556932668742
