modelo,horizonte,PERS_geral,PERS_treino,PERS_validacao,PERS_teste,score_equilibrio,MAE_teste_cm,N_GERAL,N_TREINO,N_VALIDACAO,N_TESTE
003_MUC_H02_STZ_RECORTE_NIVEIS_DIFERENCAS_NH56_S03,2h,0.9326864495,0.9351790909,0.9145556716,0.9486755817,0.9145556716,11.0941913411,623,468,28,127
001_MUC_H02_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S01,2h,0.9160344381,0.9230821409,0.8773641424,0.9450845841,0.8773641424,11.3476621653,623,468,28,127
005_MUC_H02_STZ_RECORTE_NIVEL_DINAMICA_CURTA_STZ_NH72_S05,2h,0.8166436054,0.7676647698,0.9154685155,0.832777071,0.7676647698,22.277271797,623,468,28,127
004_MUC_H02_STZ_RECORTE_DINAMICA_CURTA_NH64_S04,2h,0.8299234717,0.7875736136,0.9267761688,0.8292421683,0.7875736136,20.9596900832,623,468,28,127
002_MUC_H02_STZ_RECORTE_SEM_SANTA_TEREZA_NH48_S02,2h,0.5464769718,0.387697565,0.892140585,0.5663247316,0.387697565,38.6790757132,623,468,28,127
006_MUC_H04_STZ_RECORTE_CONTROLE_15INPUTS_NH32_S06,4h,0.8487475519,0.8295183947,0.8483507206,0.9011146594,0.8295183947,35.6711845093,627,482,24,121
010_MUC_H04_STZ_RECORTE_NIVEL_DINAMICA_CURTA_STZ_NH72_S10,4h,0.6643690305,0.5407066576,0.905261221,0.717427461,0.5407066576,54.7459336269,627,482,24,121
009_MUC_H04_STZ_RECORTE_DINAMICA_CURTA_NH64_S09,4h,0.6623374639,0.551566738,0.8927068045,0.6928613804,0.551566738,54.6274722193,627,482,24,121
008_MUC_H04_STZ_RECORTE_NIVEIS_DIFERENCAS_NH56_S08,4h,0.6668195709,0.5837898677,0.8740516414,0.6494275735,0.5837898677,60.2233435124,627,482,24,121
007_MUC_H04_STZ_RECORTE_SEM_SANTA_TEREZA_NH48_S07,4h,0.4513565984,0.2775269806,0.7527757727,0.5692907771,0.2775269806,70.3694411981,627,482,24,121
014_MUC_H08_STZ_RECORTE_CHUVA_JANELAS_NH64_S14,8h,0.9141375037,0.9163466342,0.9140557035,0.9052509375,0.9052509375,61.7911334127,220,156,18,46
015_MUC_H08_STZ_RECORTE_CHUVA_E_DINAMICA_CURTA_NH72_S15,8h,0.8970949613,0.9067029501,0.8705082623,0.8649271129,0.8649271129,73.8621581196,220,156,18,46
011_MUC_H08_STZ_RECORTE_CONTROLE_28INPUTS_NH32_S11,8h,0.9085840758,0.9294502747,0.9104963799,0.823983133,0.823983133,86.6645732126,220,156,18,46
013_MUC_H08_STZ_RECORTE_SEM_CHUVA_NH56_S13,8h,0.8966301651,0.9185177453,0.9170220881,0.8033448329,0.8033448329,90.5919997198,220,156,18,46
012_MUC_H08_STZ_RECORTE_SEM_SANTA_TEREZA_NH48_S12,8h,0.8958472531,0.9352375788,0.901330469,0.7356782931,0.7356782931,108.007079343,220,156,18,46
020_MUC_H12_STZ_RECORTE_CHUVA_E_DINAMICA_CURTA_NH72_S20,12h,0.8648163294,0.8323885985,0.8845288748,0.9399406003,0.8323885985,86.1513074563,162,113,14,35
017_MUC_H12_STZ_RECORTE_SEM_SANTA_TEREZA_NH48_S17,12h,0.9217858386,0.93430731,0.9170038685,0.8923764728,0.8923764728,114.4558585736,162,113,14,35
016_MUC_H12_STZ_RECORTE_CONTROLE_28INPUTS_NH32_S16,12h,0.8629655978,0.8672016705,0.8349746166,0.8567562221,0.8349746166,127.2730153965,162,113,14,35
018_MUC_H12_STZ_RECORTE_SEM_CHUVA_NH56_S18,12h,0.8447671607,0.8710706964,0.8750356307,0.7772708049,0.7772708049,166.9006536379,162,113,14,35
019_MUC_H12_STZ_RECORTE_CHUVA_JANELAS_NH64_S19,12h,0.7369888335,0.7297421186,0.7525753236,0.7521914612,0.7297421186,159.7077534629,162,113,14,35
