x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,atual_cm,delta_2h_cm,delta_4h_cm,target_2h_cm,target_4h_cm,split,event
221,-2,-7,-17,3,5,-4,0,0,359,2,3,0,6,2,221,4.983575789,6.634893415,225.9835758,227.6348934,3,11
221,0,-2,-14,2,5,3,-2,1,363,4,6,10,5,5,221,7.213300085,16.18345226,228.2133001,237.1834523,3,11
222,1,1,-6,1,3,8,-5,6,367,4,8,13,-6,4,222,8.721795532,12.42335371,230.7217955,234.4233537,3,11
224,2,3,1,1,2,7,-3,6,369,2,6,13,-8,3,224,8.485644069,8.276677969,232.4856441,232.276678,3,11
228,4,6,7,2,3,6,2,6,373,4,6,16,2,7,228,10.61077808,13.2765076,238.6107781,241.2765076,3,11
232,4,8,11,0,2,4,7,2,384,11,15,25,11,14,232,16.71510093,26.51751091,248.7151009,258.5175109,3,11
236,4,8,14,0,0,3,11,-2,408,24,35,45,32,28,236,30.2294482,51.53963621,266.2294482,287.5396362,3,11
240,4,8,16,0,0,2,9,-1,419,11,35,52,22,15,240,28.73351292,37.83057537,268.7335129,277.8305754,3,11
317,-6,-22,-82,10,22,11,-6,-11,443,12,17,-11,7,-19,317,8.489787694,33.57497259,325.4897877,350.5749726,3,16
317,0,-6,-50,6,16,32,1,-8,467,24,36,36,23,12,317,23.52927341,56.20984095,340.5292734,373.209841,3,16
323,6,6,-16,6,12,34,8,1,553,86,110,128,86,77,323,74.69363964,156.5424075,397.6936396,479.5424075,3,16
338,18,31,57,5,2,5,14,17,487,3,6,51,-1,14,338,18.75038514,48.44747368,356.7503851,386.4474737,3,11
343,20,26,20,14,20,36,23,17,593,40,126,167,43,34,343,109.2064512,128.6659133,452.2064512,471.6659133,3,16
346,8,26,55,-10,-5,-2,4,6,491,4,7,34,2,10,346,8.080151064,37.91001954,354.0801511,383.9100195,3,11
360,6,10,22,2,2,-12,-7,2,523,12,22,39,-12,11,360,21.86963574,73.20913033,381.8696357,433.2091303,3,11
368,8,14,22,2,4,0,-2,4,529,6,18,42,-5,4,368,17.71782025,64.411342,385.7178203,432.411342,3,11
400,-15,-48,-90,18,15,-5,-13,-20,538,10,23,-69,-23,8,400,12.22852298,27.79298332,412.228523,427.7929833,3,16
402,59,79,85,39,53,65,76,59,619,26,66,188,28,24,402,105.3987559,104.1682715,507.3987559,506.1682715,3,16
403,3,-12,-75,18,36,15,10,-21,538,0,10,-22,-2,9,403,7.542075655,18.45442433,410.5420757,421.4544243,3,16
415,-33,-63,-85,-3,-21,-23,-42,-33,528,13,12,-88,-15,10,415,-19.71949037,12.25521867,395.2805096,427.2552187,3,16
419,-3,-8,-19,2,4,-2,0,7,546,-10,-15,-31,2,-13,419,-9.894120222,-24.99572649,409.1058798,394.0042735,3,11
422,-5,-12,-17,2,-1,-3,1,0,556,-5,-7,-26,16,-10,422,-5.11838893,-11.47806909,416.8816111,410.5219309,3,11
425,-14,-42,-68,14,6,-7,-14,-64,624,65,87,14,42,64,425,48.32648783,118.2916858,473.3264878,543.2916858,3,16
427,-7,-11,-14,-3,-6,-6,4,-3,561,-2,-7,-22,10,6,427,-6.278067813,-11.45997601,420.7219322,415.540024,3,11
427,36,49,67,23,26,30,18,23,630,33,59,119,12,31,427,67.89408594,106.9023432,494.8940859,533.9023432,3,11
434,-4,-5,-8,-3,-2,-3,12,-2,563,-5,-14,-21,-2,18,434,-7.017424878,-19.25274154,426.9825751,414.7472585,3,11
438,-15,-44,-70,14,5,-11,-8,-8,569,8,19,-61,15,-4,438,6.094573103,17.36273919,444.0945731,455.3627392,3,17
438,-1,-3,-5,1,0,2,9,-2,568,-9,-14,-17,-3,13,438,-5.959873555,-21.14252462,432.0401264,416.8574754,3,11
438,0,-15,-64,15,29,6,6,6,570,1,9,-37,7,-2,438,5.781979726,11.34498093,443.7819797,449.3449809,3,17
439,-28,-48,-61,-8,-22,-20,-44,-87,559,22,18,-56,-4,28,439,-15.19732932,32.36784312,423.8026707,471.3678431,3,16
439,-2,-3,-7,-1,-1,4,3,-4,577,-5,-6,-9,-4,2,439,-2.941348851,-10.22078607,436.0586511,428.7792139,3,11
441,-1,-2,-11,0,2,10,3,-2,582,-1,-2,-5,-2,1,441,0.1783668896,-0.7718304885,441.1783669,440.2281695,3,11
