x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,atual_cm,delta_2h_cm,delta_4h_cm,target_2h_cm,target_4h_cm,split,event
140,-1,-3,-9,1,2,3,8,1,236,0,0,0,7,-1,140,4,14,144,154,1,9
141,1,0,-5,2,3,4,10,6,236,0,0,0,4,-1,141,9,17,150,158,1,9
144,3,4,1,2,4,6,10,12,237,1,1,1,3,2,144,10,16,154,160,1,9
150,6,9,9,3,5,8,12,17,237,0,1,1,1,1,150,8,12,158,162,1,9
154,4,10,14,-2,1,5,8,13,237,0,0,1,2,10,154,6,8,160,162,1,9
158,4,8,17,0,-2,3,7,13,237,0,0,1,0,17,158,4,5,162,163,1,9
160,2,6,16,-2,-2,-1,5,9,238,1,1,2,1,12,160,2,3,162,163,1,9
162,0,2,8,-2,-2,-4,1,4,237,0,-1,0,0,4,162,1,2,163,164,1,9
162,2,4,12,0,-2,-4,4,8,237,-1,0,0,-1,6,162,1,1,163,163,1,9
163,0,0,1,0,-1,-2,-6,2,237,0,0,-1,0,2,163,1,5,164,168,1,9
163,0,1,3,-1,0,-2,-3,3,237,0,0,0,0,1,163,1,2,164,165,1,9
163,1,1,5,1,-1,-3,0,4,237,0,0,0,0,2,163,0,1,163,164,1,9
164,0,1,1,-1,0,-1,-4,-1,246,6,9,9,6,6,164,4,24,168,188,1,9
164,1,1,2,1,1,1,-3,2,240,3,3,3,3,3,164,1,13,165,177,1,9
165,1,1,2,1,0,1,-1,-2,248,2,8,11,1,2,165,12,31,177,196,1,9
168,3,4,5,2,3,3,1,-3,249,1,3,12,1,1,168,20,39,188,207,1,9
177,9,12,13,6,8,8,9,5,271,22,23,34,22,22,177,19,107,196,284,1,9
188,11,20,24,2,8,11,10,7,297,26,48,57,26,26,188,19,273,207,461,1,9
196,8,19,31,-3,-1,7,8,6,483,186,212,237,185,186,196,88,326,284,522,1,9
207,-4,-13,-32,5,7,-1,3,-5,315,2,6,2,16,-20,207,5,13,212,220,1,15
207,11,19,39,3,0,8,11,9,578,95,281,330,96,95,207,254,337,461,544,1,9
208,1,-3,-23,5,10,9,4,0,316,1,3,13,11,-13,208,7,46,215,254,1,15
212,4,5,-8,3,8,15,3,7,343,27,28,39,30,22,212,8,91,220,303,1,15
