x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,atual_cm,delta_2h_cm,delta_4h_cm,target_2h_cm,target_4h_cm,split,event
197,-2,-10,-34,6,10,7,1,7,352,37,45,31,40,34,197,31.14831627,81.49445958,228.1483163,278.4944596,2,18
210,13,11,-9,15,21,25,13,26,413,61,98,101,62,59,210,86.05988607,145.7203451,296.0598861,355.7203451,2,18
230,20,33,23,7,22,32,19,31,496,83,144,188,82,83,230,124.4874542,191.0409279,354.4874542,421.0409279,2,18
267,37,57,68,17,24,45,39,44,540,44,127,233,44,44,267,134.7601071,168.25774,401.7601071,435.25774,2,18
341,74,111,144,37,54,76,83,77,619,79,123,304,80,91,341,176.9258099,217.1536705,517.9258099,558.1536705,2,18
365,-1,-2,-3,0,0,0,0,3,457,0,-1,-3,3,3,365,-1.200271285,8.147535828,363.7997287,373.1475358,2,5
365,0,-1,-3,1,1,0,2,3,459,2,2,0,4,6,365,1.898772802,12.38281593,366.8987728,377.3828159,2,5
367,2,2,0,2,3,3,3,5,464,5,7,6,6,7,367,6.19845091,19.37365242,373.1984509,386.3736524,2,5
370,3,5,4,1,3,4,4,6,464,0,5,6,2,4,370,3.937638723,10.93389804,373.9376387,380.933898,2,5
374,4,7,9,1,2,5,5,5,462,-2,-2,5,0,2,374,1.027902947,4.172879757,375.0279029,378.1728798,2,5
377,-1,-1,7,-1,-5,-4,0,0,474,8,15,10,9,11,377,8.266498671,34.61667671,385.2664987,411.6166767,2,5
378,0,4,11,-4,-4,-2,1,1,466,7,4,7,6,9,378,2.050261046,20.97869647,380.050261,398.9786965,2,5
378,4,8,13,0,1,4,4,6,459,-3,-5,2,-1,0,378,-1.411283278,3.76046888,376.5887167,381.7604689,2,5
381,4,3,7,5,4,0,5,5,472,-2,6,8,-1,0,381,6.362950903,30.91895732,387.3629509,411.9189573,2,5
388,7,11,10,3,8,3,7,7,472,0,-2,10,1,1,388,2.75591051,35.05790412,390.7559105,423.0579041,2,5
390,-1,-1,9,-1,-4,-5,-5,0,487,9,13,13,9,11,390,6.830564412,83.70621117,396.8305644,473.7062112,2,5
391,0,3,14,-3,-7,1,-3,1,478,4,6,12,5,6,391,2.544062626,75.17299641,393.5440626,466.1729964,2,5
391,3,10,13,-4,-1,3,1,4,474,2,2,15,2,4,391,0.8115384402,51.89615975,391.8115384,442.8961597,2,5
393,3,2,5,4,3,-4,-1,3,504,17,26,32,15,16,393,19.69806939,92.31464396,412.6980694,485.314644,2,5
400,7,10,9,4,8,4,7,5,526,22,39,54,17,23,400,31.2302817,99.2536318,431.2302817,499.2536318,2,5
404,-2,-14,-37,10,15,0,1,0,503,5,13,-19,6,3,404,7.517800387,17.24040729,411.5178004,421.2404073,2,1
406,-12,-29,-37,5,-6,-10,-11,-11,498,8,15,-31,11,8,406,2.07473887,14.48218676,408.0747389,420.4821868,2,1
408,4,2,-27,6,16,10,6,5,505,2,7,16,5,2,408,6.086474732,10.10355968,414.0864747,418.1035597,2,1
412,4,8,-6,0,6,21,7,7,506,1,3,23,4,0,412,3.020307604,3.725043282,415.0203076,415.7250433,2,1
415,3,7,9,-1,-1,15,5,4,505,-1,0,15,1,0,415,1.312379653,-0.2918218835,416.3123797,414.7081781,2,1
415,15,22,24,8,12,15,16,12,550,24,46,76,24,25,415,41.52470348,101.0181111,456.5247035,516.0181111,2,5
416,1,4,12,-2,-3,3,3,4,521,16,15,23,19,17,416,10.67514359,30.55638616,426.6751436,446.5563862,2,1
417,76,150,207,2,39,63,88,76,652,33,112,300,54,54,417,98.46103627,162.6325436,515.4610363,579.6325436,2,18
421,5,5,9,5,4,1,22,8,536,-5,15,31,-2,-2,421,15.38394032,1.180763957,436.3839403,422.180764,2,1
422,-10,-35,-62,15,12,-7,-8,-7,587,16,52,-23,19,18,422,28.32965632,50.39356529,450.3296563,472.3935653,2,13
432,-25,-47,-55,-3,-20,-23,-22,-22,571,36,25,-42,39,40,432,-8.73526807,50.12538984,423.2647319,482.1253898,2,13
433,18,33,43,3,11,19,14,14,582,32,56,104,34,33,433,47.07484789,105.3493264,480.0748479,538.3493264,2,5
437,-2,-9,-38,5,10,27,5,9,585,4,8,-7,8,-1,437,5.073444867,7.037070446,442.0734449,444.0370704,2,18
439,-7,-19,-65,5,10,29,-2,4,581,4,5,-24,12,-9,439,-1.885686893,4.272949291,437.1143131,443.2729493,2,18
439,2,0,-19,4,9,19,10,10,589,4,8,7,9,22,439,8.624991068,15.30672559,447.6249911,454.3067256,2,18
439,17,7,-40,27,42,22,20,20,593,6,22,11,10,11,439,28.02429759,32.88493203,467.0242976,471.884932,2,13
440,5,19,24,-9,0,4,7,7,515,-9,-21,10,24,-6,440,-12.75008146,-26.11600615,427.2499185,413.8839939,2,1
441,-2,-4,-9,0,1,1,0,-3,489,-33,-40,-48,-32,-31,441,-30.20371545,-63.73906982,410.7962846,377.2609302,2,1
442,3,5,-4,1,5,15,17,8,594,5,9,18,14,6,442,10.57742834,12.63075101,452.5774283,454.630751,2,18
443,-3,-6,-13,0,0,1,-1,-7,567,-2,-4,-14,1,9,443,-2.98601392,-4.866954119,440.0139861,438.1330459,2,13
443,-2,-5,-10,1,0,-1,-1,-3,522,-7,-10,-17,-8,-5,443,-7.781531064,-14.17694722,435.2184689,428.8230528,2,1
446,-12,-29,-94,5,17,2,-7,-3,577,1,-5,-63,15,6,446,-13.48091832,-4.597334656,432.5190817,441.4026653,2,18
446,-3,-6,-14,0,1,0,-1,-10,569,-2,-5,-16,0,34,446,-3.406395634,-6.220847875,442.5936044,439.7791521,2,13
