base_end,base_start,bias_cm,contract_id,event,horizon_hours,independent_partition,mae_cm,method,model,n,n_common_event_points,nse,peak_abs_error_cm,peak_error_cm,peak_lag_hours,peak_observed_cm,peak_predicted_cm,r2,rmse_cm
2025-07-04 15:00,2025-06-18 10:00,-1.004752,001_alt_STZ_2H_R01_T12_V1-5-10-15-17-21,12,2,Verificacao,4.464418,RNA fonte STZ 2H,RNA STZ R01,257,257,0.99914762,1.975221,-1.975221,0.0,1332.0,1330.024779,0.99914762,7.641749
2025-07-04 15:00,2025-06-18 10:00,-0.757051,002_alt_STZ_2H_R02_T12-03_V1-5-10-15-17-21,12,2,Verificacao,4.340336,RNA fonte STZ 2H,RNA STZ R02,257,257,0.99897116,0.84478,0.84478,1.0,1332.0,1332.84478,0.99897116,8.395603
2025-07-04 15:00,2025-06-18 10:00,-0.205336,003_alt_STZ_2H_R03_T12-21_V1-5-10-14-17-19,12,2,Verificacao,4.290393,RNA fonte STZ 2H,RNA STZ R03,257,257,0.99895977,3.253125,3.253125,0.0,1332.0,1335.253125,0.99895977,8.441936
2025-07-04 15:00,2025-06-18 10:00,-2.145049,006_alt_STZ_2H_R06_T12-17_V1-5-10-13-15-21,12,2,Verificacao,4.388974,RNA fonte STZ 2H,RNA STZ R06,257,257,0.9991367,0.311921,0.311921,0.0,1332.0,1332.311921,0.9991367,7.690587
2025-07-04 15:00,2025-06-18 10:00,-0.416409,007_alt_STZ_2H_R07_T03-12-21_V5-10-15-17-19,12,2,Verificacao,4.225015,RNA fonte STZ 2H,RNA STZ R07,257,257,0.99905773,3.506127,3.506127,-1.0,1332.0,1335.506127,0.99905773,8.034621
2025-07-04 15:00,2025-06-18 10:00,-0.081038,010_alt_STZ_2H_R10_T12-19-21_V1-3-5-15-17,12,2,Verificacao,4.344206,RNA fonte STZ 2H,RNA STZ R10,257,257,0.9988692,3.38762,3.38762,0.0,1332.0,1335.38762,0.9988692,8.801759
2025-07-04 15:00,2025-06-18 10:00,-0.466926,input_01_Nivel_86472600,12,2,Verificacao,20.420233,baseline,Persistência,257,257,0.98366216,0.0,0.0,2.0,1332.0,1332.0,0.98366216,33.456052
2025-07-04 15:00,2025-06-18 10:00,2.484807,001_alt_STZ_2H_R01_T12_V1-5-10-15-17-21,12,2,Verificacao,8.120234,baseline,Ridge,257,257,0.99854548,12.138509,12.138509,1.0,1332.0,1344.138509,0.99854548,9.982458
2025-07-04 15:00,2025-06-18 10:00,0.258858,001_alt_STZ_2H_R01_T12_V1-5-10-15-17-21,12,2,Verificacao,4.752261,baseline,MLP,257,257,0.99891537,2.922999,-2.922999,0.0,1332.0,1329.077001,0.99891537,8.620203
2025-07-04 15:00,2025-06-18 10:00,-5.853959,001_alt_STZ_2H_R01_T12_V1-5-10-15-17-21,12,2,Verificacao,10.966012,baseline,Random Forest,257,257,0.99535705,61.444618,-61.444618,-1.0,1332.0,1270.555382,0.99535705,17.83505
2025-07-04 15:00,2025-06-18 10:00,-0.356971,001_alt_STZ_2H_R01_T12_V1-5-10-15-17-21,12,2,Verificacao,14.652306,baseline,XGBoost,257,257,0.99477193,3.004028,-3.004028,0.0,1332.0,1328.995972,0.99477193,18.925524
