evento,conjunto,papel_avaliacao,n,inicio,fim,nivel_inicial_cm,pico_observado_cm,pico_rna_cm,erro_pico_cm,erro_pico_abs_cm,erro_pico_relativo_pct,hora_pico_observado,hora_pico_rna,atraso_pico_horas,subida_observada_cm,subida_rna_cm,erro_subida_abs_cm,mae_cm,erro_maximo_abs_cm
1,Validacao,validacao,37,2023-05-06 14:00,2023-05-10 05:00,520.0,560.0,560.3852291702799,0.385229,0.385229,0.068791,2023-05-07 06:00,2023-05-07 06:00,0.0,40.0,38.3,1.7,1.8,8.17
2,Treino,treino_replay,117,2023-06-15 13:00,2023-06-20 09:00,277.0,893.0,891.5394125415751,-1.460587,1.460587,0.16356,2023-06-16 22:00,2023-06-16 15:00,-7.0,616.0,618.64,2.64,3.87,35.79
3,Treino,treino_replay,248,2023-07-07 13:00,2023-07-17 20:00,260.0,1250.0,1248.850843933365,-1.149156,1.149156,0.091932,2023-07-13 07:00,2023-07-13 06:00,-1.0,990.0,987.85,2.15,3.77,58.78
4,Treino,treino_replay,358,2023-09-02 13:00,2023-09-17 10:00,177.0,2365.0,2367.510466527584,2.510467,2.510467,0.106151,2023-09-04 22:00,2023-09-04 22:00,0.0,2188.0,2199.19,11.19,5.69,137.5
5,Validacao,validacao,162,2023-09-19 05:00,2023-09-25 22:00,367.0,762.0,762.3430724091482,0.343072,0.343072,0.045023,2023-09-20 05:00,2023-09-20 05:00,0.0,395.0,398.89,3.89,2.06,20.73
6,Treino,treino_replay,320,2023-11-12 11:00,2023-11-26 10:00,327.0,2161.0,2151.145108807068,-9.854891,9.854891,0.456034,2023-11-18 20:00,2023-11-18 20:00,0.0,1834.0,1824.27,9.73,4.81,46.2
7,Treino,treino_replay,246,2023-11-28 00:00,2023-12-09 13:00,395.0,770.0,767.5812799585641,-2.41872,2.41872,0.314119,2023-11-29 18:00,2023-11-29 18:00,0.0,375.0,374.09,0.91,1.76,12.45
8,Treino,treino_replay,40,2024-04-13 17:00,2024-04-15 08:00,144.0,544.0,542.0034867972895,-1.996513,1.996513,0.367006,2024-04-14 14:00,2024-04-14 14:00,0.0,400.0,401.95,1.95,6.01,28.18
9,Treino,treino_replay,41,2024-04-28 16:00,2024-05-02 01:00,280.0,2158.0,2163.5860203702973,5.58602,5.58602,0.258852,2024-05-01 20:00,2024-05-01 20:00,0.0,1878.0,1870.47,7.53,9.58,55.06
10,Validacao,validacao,61,2024-10-02 08:00,2024-10-05 15:00,222.0,623.0,622.2634304616024,-0.73657,0.73657,0.118229,2024-10-03 16:00,2024-10-03 15:00,-1.0,401.0,397.71,3.29,2.77,12.59
11,Treino,treino_replay,130,2024-10-10 03:00,2024-10-15 12:00,335.0,749.0,754.0773245521526,5.077325,5.077325,0.67788,2024-10-12 11:00,2024-10-12 11:00,0.0,414.0,418.77,4.77,3.3,15.27
12,Teste,teste_independente,257,2025-06-18 10:00,2025-07-04 15:00,948.0,1332.0,1330.0247794264692,-1.975221,1.975221,0.14829,2025-06-29 19:00,2025-06-29 19:00,0.0,384.0,383.61,0.39,4.46,39.84
13,Treino,treino_replay,70,2025-09-09 15:00,2025-09-12 12:00,433.0,630.0,632.6757617856773,2.675762,2.675762,0.424724,2025-09-10 00:00,2025-09-10 01:00,1.0,197.0,198.77,1.77,4.04,19.33
14,Treino,treino_replay,94,2025-09-21 15:00,2025-09-25 12:00,212.0,801.0,805.954819503011,4.95482,4.95482,0.618579,2025-09-22 21:00,2025-09-22 21:00,0.0,589.0,594.73,5.73,4.62,20.8
15,Validacao,validacao,48,2025-10-01 14:00,2025-10-03 13:00,323.0,528.0,527.9586003821809,-0.0414,0.0414,0.007841,2025-10-02 20:00,2025-10-02 20:00,0.0,205.0,203.8,1.2,4.91,29.57
16,Treino,treino_replay,63,2025-10-06 15:00,2025-10-09 12:00,366.0,574.0,575.2468547343701,1.246855,1.246855,0.217222,2025-10-07 20:00,2025-10-07 19:00,-1.0,208.0,204.13,3.87,3.49,23.68
17,Validacao,validacao,90,2025-11-07 17:00,2025-11-11 10:00,230.0,851.0,856.4424811192598,5.442481,5.442481,0.639539,2025-11-08 21:00,2025-11-08 21:00,0.0,621.0,631.27,10.27,6.38,33.0
18,Treino,treino_replay,35,2026-06-29 05:00,2026-06-30 15:00,425.0,538.0,538.6126645609903,0.612665,0.612665,0.113878,2026-06-29 21:00,2026-06-29 21:00,0.0,113.0,112.55,0.45,4.69,15.05
19,Treino,treino_replay,101,2026-07-02 07:00,2026-07-06 11:00,447.0,840.0,849.2533891126996,9.253389,9.253389,1.101594,2026-07-03 06:00,2026-07-03 07:00,1.0,393.0,413.3,20.3,4.43,19.76
20,Treino,treino_replay,95,2026-07-21 15:00,2026-07-26 10:00,326.0,1746.0,1740.4269797022432,-5.57302,5.57302,0.319188,2026-07-22 10:00,2026-07-22 10:00,0.0,1420.0,1417.99,2.01,9.19,51.2
21,Validacao,validacao,64,2026-07-28 06:00,2026-07-30 21:00,426.0,1340.0,1342.0442535826207,2.044254,2.044254,0.152556,2026-07-29 15:00,2026-07-29 14:00,-1.0,914.0,923.45,9.45,13.77,66.59
