base_end,base_start,bias_cm,contract_id,event,family,horizon_hours,independent_partition,mae_cm,method,model,n,n_common_event_points,nse,peak_abs_error_cm,peak_error_cm,peak_lag_hours,peak_observed_cm,peak_predicted_cm,r2,rmse_cm
2025-07-04 11:00,2025-06-18 10:00,-1.401322,V08_R10_T19-21_V1-3-5-15-17_nh48_nit10_cic100000,13,ALT,4,Teste,13.23281,RNA fonte STZ 4H ALT,RNA STZ 4H V08,249,249,0.99214145,8.347148,8.347148,-2.0,1332.0,1340.347148,0.99214145,23.208816
2025-07-04 11:00,2025-06-18 10:00,-1.627845,V02_R10_T19-21_V1-3-5-15-17_nh32_nit10_cic100000,13,ALT,4,Teste,13.699426,RNA fonte STZ 4H ALT,RNA STZ 4H V02,249,249,0.99206869,14.218043,14.218043,-2.0,1332.0,1346.218043,0.99206869,23.316011
2025-07-04 11:00,2025-06-18 10:00,-0.284443,V10_R10_T19-21_V1-3-5-15-17_nh40_nit10_cic100000,13,ALT,4,Teste,13.833968,RNA fonte STZ 4H ALT,RNA STZ 4H V10,249,249,0.9921312,16.676895,16.676895,-2.0,1332.0,1348.676895,0.9921312,23.223948
2025-07-04 11:00,2025-06-18 10:00,-0.148424,V01_R10_T19-21_V1-3-5-15-17_nh48_nit10_cic100000,13,ALT,4,Teste,13.931187,RNA fonte STZ 4H ALT,RNA STZ 4H V01,249,249,0.99199351,17.178161,17.178161,-2.0,1332.0,1349.178161,0.99199351,23.426256
2025-07-04 11:00,2025-06-18 10:00,-0.148424,V05_R10_T19-21_V1-3-5-15-17_nh48_nit10_cic100000,13,ALT,4,Teste,13.931187,RNA fonte STZ 4H ALT,RNA STZ 4H V05,249,249,0.99199351,17.178161,17.178161,-2.0,1332.0,1349.178161,0.99199351,23.426256
2025-07-04 11:00,2025-06-18 10:00,-0.148424,V06_R10_T19-21_V1-3-5-15-17_nh48_nit10_cic100000,13,ALT,4,Teste,13.931187,RNA fonte STZ 4H ALT,RNA STZ 4H V06,249,249,0.99199351,17.178161,17.178161,-2.0,1332.0,1349.178161,0.99199351,23.426256
2025-07-04 11:00,2025-06-18 10:00,-0.148424,V07_R10_T19-21_V1-3-5-15-17_nh48_nit10_cic100000,13,ALT,4,Teste,13.931187,RNA fonte STZ 4H ALT,RNA STZ 4H V07,249,249,0.99199351,17.178161,17.178161,-2.0,1332.0,1349.178161,0.99199351,23.426256
2025-07-04 11:00,2025-06-18 10:00,-4.982925,V04_R10_T19-21_V1-3-5-15-17_nh26_nit10_cic100000,13,ALT,4,Teste,14.178924,RNA fonte STZ 4H ALT,RNA STZ 4H V04,249,249,0.99040222,7.853924,-7.853924,-3.0,1332.0,1324.146076,0.99040222,25.648809
2025-07-04 11:00,2025-06-18 10:00,-1.132095,V03_R10_T19-21_V1-3-5-15-17_nh30_nit10_cic100000,13,ALT,4,Teste,14.192414,RNA fonte STZ 4H ALT,RNA STZ 4H V03,249,249,0.99166891,19.56896,19.56896,-2.0,1332.0,1351.56896,0.99166891,23.896404
2025-07-04 11:00,2025-06-18 10:00,-3.89414,V09_R10_T19-21_V1-3-5-15-17_nh32_nit10_cic100000,13,ALT,4,Teste,14.330446,RNA fonte STZ 4H ALT,RNA STZ 4H V09,249,249,0.99111611,29.578995,29.578995,-2.0,1332.0,1361.578995,0.99111611,24.676493
2025-07-04 11:00,2025-06-18 10:00,-8.667152,V11_R10_T19-21_V1-3-5-15-17_nh28_nit10_cic100000,13,ALT,4,Teste,17.635588,RNA fonte STZ 4H ALT,RNA STZ 4H V11,249,249,0.98527597,21.56896,21.56896,-4.0,1332.0,1353.56896,0.98527597,31.768382
2025-07-04 11:00,2025-06-18 10:00,-2.365592,V11_R10_T19-21_V1-3-5-15-17_nh28_nit10_cic100000,13,baseline,4,Teste,18.653874,baseline,Ridge,249,249,0.98872351,10.314277,10.314277,1.0,1332.0,1342.314277,0.98872351,27.80153
2025-07-04 11:00,2025-06-18 10:00,-5.109751,V11_R10_T19-21_V1-3-5-15-17_nh28_nit10_cic100000,13,baseline,4,Teste,18.963178,baseline,MLP,249,249,0.98152494,104.468529,104.468529,-10.0,1332.0,1436.468529,0.98152494,35.585627
2025-07-04 11:00,2025-06-18 10:00,-6.719432,V11_R10_T19-21_V1-3-5-15-17_nh28_nit10_cic100000,13,baseline,4,Teste,23.206591,baseline,Random Forest,249,249,0.9777239,17.782851,17.782851,-2.0,1332.0,1349.782851,0.9777239,39.075215
2025-07-04 11:00,2025-06-18 10:00,-0.099101,V11_R10_T19-21_V1-3-5-15-17_nh28_nit10_cic100000,13,baseline,4,Teste,29.197883,baseline,XGBoost,249,249,0.96127969,149.569946,149.569946,-2.0,1332.0,1481.569946,0.96127969,51.51707
2025-07-04 11:00,2025-06-18 10:00,-1.819277,NIVEL_ATUAL_CM,13,baseline,4,Teste,39.15261,baseline,Persistência,249,249,0.93827226,0.0,0.0,4.0,1332.0,1332.0,0.93827226,65.046199
2023-07-26 22:00,2023-07-08 02:00,-1.807111,08_8h_alt_8H_ALT_C0289__0e65a5a5ac,3,baseline,8,Teste,29.256279,baseline,MLP,231,231,0.96340221,82.255087,82.255087,-3.0,1250.0,1332.255087,0.96340221,47.057201
2023-07-26 22:00,2023-07-08 02:00,-8.847505,05_8H_ALT_linha003_altR_004_06_8h_alt_8H_ALT_C0217__f48ca4eb07,3,ALT,8,Teste,31.783113,RNA fonte STZ 8H ALT,RNA STZ 8H ALT C0217,231,231,0.94615708,245.222446,245.222446,-1.0,1250.0,1495.222446,0.94615708,57.077241
2023-07-26 22:00,2023-07-08 02:00,1.114189,24_8h_conv_8H_CONV_C0289__e4b81346c6,3,CONV,8,Teste,32.542083,RNA fonte STZ 8H CONV,RNA STZ 8H CONV C0289,231,231,0.95147735,230.142004,230.142004,0.0,1250.0,1480.142004,0.95147735,54.183987
2023-07-26 22:00,2023-07-08 02:00,11.550108,08_8h_alt_8H_ALT_C0289__0e65a5a5ac,3,baseline,8,Teste,34.582724,baseline,Ridge,231,231,0.94269449,134.249115,134.249115,-1.0,1250.0,1384.249115,0.94269449,58.883945
2023-07-26 22:00,2023-07-08 02:00,-0.706634,08_8h_alt_8H_ALT_C0289__0e65a5a5ac,3,baseline,8,Teste,36.641495,baseline,XGBoost,231,231,0.94620511,101.723755,101.723755,-2.0,1250.0,1351.723755,0.94620511,57.05178
2023-07-26 22:00,2023-07-08 02:00,-9.523279,04_8h_alt_8H_ALT_C0273__125b8d65c6,3,ALT,8,Teste,37.638828,RNA fonte STZ 8H ALT,RNA STZ 8H ALT C0273,231,231,0.90981901,380.974996,380.974996,-2.0,1250.0,1630.974996,0.90981901,73.867972
2023-07-26 22:00,2023-07-08 02:00,-1.580811,28_8h_conv_8H_CONV_C0078__3e700886ed,3,CONV,8,Teste,39.36903,RNA fonte STZ 8H CONV,RNA STZ 8H CONV C0078,231,231,0.92260832,288.746267,288.746267,4.0,1250.0,1538.746267,0.92260832,68.429888
2023-07-26 22:00,2023-07-08 02:00,-2.647891,10_8h_alt_8H_ALT_C0569__7c299ec1cf,3,ALT,8,Teste,41.461945,RNA fonte STZ 8H ALT,RNA STZ 8H ALT C0569,231,231,0.93018043,248.798184,248.798184,-4.0,1250.0,1498.798184,0.93018043,64.996097
2023-07-26 22:00,2023-07-08 02:00,-13.398835,07_8h_alt_8H_ALT_C0241__dd12e4f12d,3,ALT,8,Teste,45.105425,RNA fonte STZ 8H ALT,RNA STZ 8H ALT C0241,231,231,0.87216,23.607192,23.607192,5.0,1250.0,1273.607192,0.87216,87.949236
2023-07-26 22:00,2023-07-08 02:00,-9.730322,08_8h_alt_8H_ALT_C0289__0e65a5a5ac,3,baseline,8,Teste,45.765097,baseline,Random Forest,231,231,0.9010791,166.729854,-166.729854,-2.0,1250.0,1083.270146,0.9010791,77.364678
2023-07-26 22:00,2023-07-08 02:00,-24.244855,03_8h_alt_8H_ALT_C0265__4f43f568ce,3,ALT,8,Teste,46.946492,RNA fonte STZ 8H ALT,RNA STZ 8H ALT C0265,231,231,0.84732341,8.776618,-8.776618,7.0,1250.0,1241.223382,0.84732341,96.113615
2023-07-26 22:00,2023-07-08 02:00,-39.537925,08_8h_alt_8H_ALT_C0289__0e65a5a5ac,3,ALT,8,Teste,48.271916,RNA fonte STZ 8H ALT,RNA STZ 8H ALT C0289,231,231,0.8596293,8.305467,-8.305467,5.0,1250.0,1241.694533,0.8596293,92.158824
2023-07-26 22:00,2023-07-08 02:00,-31.014359,01_8h_alt_8H_ALT_C0169__8a1d4f6c2b,3,ALT,8,Teste,51.089037,RNA fonte STZ 8H ALT,RNA STZ 8H ALT C0169,231,231,0.83399791,16.888787,-16.888787,7.0,1250.0,1233.111213,0.83399791,100.220246
