PLAN;input;faixaEntrada;faixaSaida;CEL;SERIE;nh;nit;Cic;J;NASH_VAL;NASH_TESTE;PERS;CORRELACAO;ERRO_RELATIVO;ERRO_ABS_MEDIO;E95;arquivo_mat
VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;88844;0.9983315704;0.9991476250;0.9478281647;0.9995827259;0.0060860393;4.4644183628;17.8761675962;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\001_alt_STZ_2H_R01_T12_V1-5-10-15-17-21.mat
VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;869;0.9981579287;0.9990647678;0.9503834002;0.9995413756;0.0060446505;4.0500107277;16.9184937590;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\002_alt_STZ_2H_R02_T12-03_V1-5-10-15-17-21.mat
VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;1922;0.9977919111;0.9982248784;0.9029973574;0.9991322027;0.0078066232;6.2753405111;23.5269719943;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\003_alt_STZ_2H_R03_T12-21_V1-5-10-14-17-19.mat
VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;37467;0.9991275799;0.9980395066;0.9210067442;0.9990391119;0.0094402471;6.1239657446;22.0413127954;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\004_alt_STZ_2H_R04_T03-17-21_V1-5-10-12-15.mat
VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;1455;0.9988697862;0.9982101640;0.9485053794;0.9991108842;0.0077775255;3.8326187671;12.7283032144;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\005_alt_STZ_2H_R05_T11-14-19_V1-3-10-15-17.mat
VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;74762;0.9984885582;0.9988132858;0.9493411479;0.9994349081;0.0073820654;4.8810676955;19.3465146087;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\006_alt_STZ_2H_R06_T12-17_V1-5-10-13-15-21.mat
VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;869;0.9974733211;0.9987689214;0.9333711697;0.9994132908;0.0072342248;5.1808806039;19.3678042403;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\007_alt_STZ_2H_R07_T03-12-21_V5-10-15-17-19.mat
VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;667;0.9989511643;0.9964970329;0.9424742618;0.9982969162;0.0103709691;5.3520090943;17.5345269927;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\008_alt_STZ_2H_R08_T14-17-19_V1-3-11-12-21.mat
VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;70123;0.9986579360;0.9962472496;0.9688282464;0.9982112535;0.0080271851;3.5311218891;10.3943981349;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\009_alt_STZ_2H_R09_T10-15-16_V1-5-12-17-21.mat
VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;2271;0.9985921975;0.9982606359;0.9068855197;0.9991478767;0.0076880263;5.8495532599;22.1062478555;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\010_alt_STZ_2H_R10_T12-19-21_V1-3-5-15-17.mat
