MODELO;TIPO;PLAN;input;faixaEntrada;faixaSaida;CEL;SERIE;nh;nit;Cic;J;N_GERAL;N_TREINO;N_VALIDACAO;N_TESTE;NASH_GERAL;NASH_TREINO;NASH_VALIDACAO;NASH_TESTE;PERS_GERAL;PERS_TREINO;PERS_VALIDACAO;PERS_TESTE;MAE_GERAL;MAE_TREINO;MAE_VALIDACAO;MAE_TESTE;E95_GERAL;E95_TREINO;E95_VALIDACAO;E95_TESTE;CORR_GERAL;CORR_TREINO;CORR_VALIDACAO;CORR_TESTE;arquivo_mat
001_alt_STZ_2H_R01_T12_V1-5-10-15-17-21;alt;VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;88844;2677;1958;462;257;0.9992432937;0.9993370357;0.9983315704;0.9991476250;0.9575436585;0.9618379175;0.9333808569;0.9478281647;4.5909147039;4.5365365040;4.8917417067;4.4644183628;16.2648870824;15.4585990355;19.8695791623;17.8761675962;0.9996261781;0.9996741403;0.9991710823;0.9995827259;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\001_alt_STZ_2H_R01_T12_V1-5-10-15-17-21.mat
002_alt_STZ_2H_R02_T12-03_V1-5-10-15-17-21;alt;VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;869;2677;1710;462;505;0.9987312126;0.9987364819;0.9981579287;0.9990647678;0.9288124456;0.9254391148;0.9264474761;0.9503834002;5.1474923133;5.5417147949;4.8879852945;4.0500107277;18.6226050160;19.0692871586;18.2841894846;16.9184937590;0.9993692558;0.9993745061;0.9990901784;0.9995413756;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\002_alt_STZ_2H_R02_T12-03_V1-5-10-15-17-21.mat
003_alt_STZ_2H_R03_T12-21_V1-5-10-14-17-19;alt;VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;1922;2677;1811;545;321;0.9988272536;0.9988985079;0.9977919111;0.9982248784;0.9342009998;0.9352891886;0.9562656259;0.9029973574;4.9165890723;5.0711132169;3.6028231314;6.2753405111;18.8882329413;19.0282530446;12.7821571485;23.5269719943;0.9994138252;0.9994504615;0.9989087702;0.9991322027;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\003_alt_STZ_2H_R03_T12-21_V1-5-10-14-17-19.mat
004_alt_STZ_2H_R04_T03-17-21_V1-5-10-12-15;alt;VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;37467;2677;1710;565;402;0.9991139989;0.9992581215;0.9991275799;0.9980395066;0.9502893502;0.9562213482;0.9505677037;0.9210067442;4.7916087961;4.8355579448;3.7106166942;6.1239657446;16.2832361915;16.5787842225;12.9482868523;22.0413127954;0.9995570517;0.9996290680;0.9995708592;0.9990391119;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\004_alt_STZ_2H_R04_T03-17-21_V1-5-10-12-15.mat
005_alt_STZ_2H_R05_T11-14-19_V1-3-10-15-17;alt;VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;1455;2677;1868;484;325;0.9988015395;0.9987799408;0.9988697862;0.9982101640;0.9327582613;0.9264784979;0.9654766031;0.9485053794;4.8850565063;5.3584077071;3.7648544858;3.8326187671;18.2680010893;20.4755185276;14.0417779250;12.7283032144;0.9994015370;0.9993920313;0.9994421856;0.9991108842;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\005_alt_STZ_2H_R05_T11-14-19_V1-3-10-15-17.mat
006_alt_STZ_2H_R06_T12-17_V1-5-10-13-15-21;alt;VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;74762;2677;1888;442;347;0.9990899070;0.9991679181;0.9984885582;0.9988132858;0.9489376288;0.9516852601;0.9241279830;0.9493411479;5.1673525691;5.3248994995;4.7191449820;4.8810676955;17.7415048506;18.3953967797;14.9591455738;19.3465146087;0.9995723501;0.9996145560;0.9992640759;0.9994349081;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\006_alt_STZ_2H_R06_T12-17_V1-5-10-13-15-21.mat
007_alt_STZ_2H_R07_T03-12-21_V5-10-15-17-19;alt;VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;869;2677;1646;462;569;0.9985948644;0.9985637812;0.9974733211;0.9987689214;0.9211623902;0.9136389600;0.9565541830;0.9333711697;5.2045806255;5.6323187873;3.7098366819;5.1808806039;18.4493623100;20.7724412765;13.1283508925;19.3678042403;0.9993022938;0.9992912198;0.9987622896;0.9994132908;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\007_alt_STZ_2H_R07_T03-12-21_V5-10-15-17-19.mat
008_alt_STZ_2H_R08_T14-17-19_V1-3-11-12-21;alt;VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;667;2677;1656;736;285;0.9985304909;0.9984799318;0.9989511643;0.9964970329;0.9175506040;0.9095779798;0.9380310848;0.9424742618;5.2303865392;5.5133715064;4.5465746724;5.3520090943;18.4505361833;19.2438900353;16.9189633661;17.5345269927;0.9992689425;0.9992467195;0.9994933233;0.9982969162;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\008_alt_STZ_2H_R08_T14-17-19_V1-3-11-12-21.mat
009_alt_STZ_2H_R09_T10-15-16_V1-5-12-17-21;alt;VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;70123;2677;1895;610;172;0.9991935916;0.9992757331;0.9986579360;0.9962472496;0.9547550363;0.9581095372;0.9355635881;0.9688282464;4.6019570099;4.6477093751;4.7617650570;3.5311218891;15.9713439765;15.5542690351;17.1309651807;10.3943981349;0.9996008080;0.9996433598;0.9993338482;0.9982112535;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\009_alt_STZ_2H_R09_T10-15-16_V1-5-12-17-21.mat
010_alt_STZ_2H_R10_T12-19-21_V1-3-5-15-17;alt;VAR;15;H2:V2678;W2:W2678;AB2:AB2678;Y2:Y2678;30;10;100000;2271;2677;1670;585;422;0.9988300027;0.9988990676;0.9985921975;0.9982606359;0.9343552422;0.9337905727;0.9608896759;0.9068855197;4.9578522990;5.2268357315;3.5467409522;5.8495532599;18.7775750396;19.3005509943;12.4981272579;22.1062478555;0.9994151005;0.9994507080;0.9993130316;0.9991478767;D:\PREVINE\redes_neurais\santa tereza\RNA_2h_rotacoes\RNA_2H_ALT_ROTACAO_STZ\RNA_2H_ALT_ROTACAO_STZ\mat\010_alt_STZ_2H_R10_T12-19-21_V1-3-5-15-17.mat
