CD_MUN;NM_MUN;ano;pcd_pessoas_2mais;pcd_pct_2mais;tea_pessoas;tea_pct;fonte_pcd;fonte_tea
4300059;Água Santa;2022;77;2;15;0.4;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4300661;André da Rocha;2022;87;7.8;4;0.3;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4300703;Anta Gorda;2022;185;3.2;41;0.7;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4300802;Antônio Prado;2022;808;6.3;81;0.6;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4301008;Arroio do Meio;2022;1207;5.6;149;0.7;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4301404;Arvorezinha;2022;650;6.4;140;1.4;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4301651;Barão;2022;388;6.1;37;0.6;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4302006;Barros Cassal;2022;926;10.2;83;0.9;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4302105;Bento Gonçalves;2022;6231;5.2;959;0.8;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4302253;Boa Vista do Sul;2022;152;5.6;10;0.3;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4302303;Bom Jesus;2022;730;6.7;155;1.4;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4302402;Bom Retiro do Sul;2022;973;8.1;108;0.9;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4302451;Boqueirão do Leão;2022;521;8.5;57;0.9;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4302659;Brochier;2022;418;8.6;31;0.6;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4303558;Camargo;2022;187;6.4;13;0.4;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4303608;Cambará do Sul;2022;449;7.3;57;0.9;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4303673;Campestre da Serra;2022;241;7.6;16;0.5;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4304614;Canudos do Vale;2022;109;6.7;2;0.1;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4304622;Capão Bonito do Sul;2022;65;3.8;10;0.6;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4304697;Capitão;2022;261;9.2;16;0.6;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4304804;Carlos Barbosa;2022;1401;4.7;307;1;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4304903;Casca;2022;454;4.9;44;0.5;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4304952;Caseiros;2022;221;7.5;36;1.2;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4305108;Caxias do Sul;2022;30803;6.8;5430;1.2;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4305504;Ciríaco;2022;334;8.2;33;0.8;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4305587;Colinas;2022;189;7.9;42;1.7;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4305835;Coqueiro Baixo;2022;89;7;8;0.6;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4305934;Coronel Pilar;2022;92;5.8;7;0.5;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4305959;Cotiporã;2022;447;11.8;30;0.8;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4306205;Cruzeiro do Sul;2022;1008;8.9;97;0.8;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4306304;David Canabarro;2022;364;8.6;5;0.1;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4306452;Dois Lajeados;2022;158;5.2;21;0.7;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
4306759;Doutor Ricardo;2022;88;4.8;7;0.4;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022
