CD_MUN;NM_MUN;V05000;V05001;V05002;V05003;V05004;V05005;V05006;V05007;V05008;V05009;V05010;V05011;V05012;V05013;V05014;V05015;V05016;V05017;V05018;V05019;V05020;V05021;V05022;V05023;V05024;V05025;V05026;V05027;V05028;V05029;V05030;V05031;V05032;V05033;V05034;V05400;V05401;V05402;V05403;V05404;V05405;V05406;V05407;V05408;V05409;V05410;V05411;V05412;V05413;V05414;V05415;V05416;V05417;V05418;V05419;V05420;V05421;V05422;V05423;V05424;V05425;V05426;V05427;V05428;V05429;V05430;V05431;V05432;V05433;V05434;V05200;V05201;V05202;V05203;V05204;V05205;V05206;V05207;V05208;V05209;V05210;V05211;V05212;V05213;V05214;V05215;V05216;V05217;V05218;V05219;V05220;V05221;V05222;V05223;V05224;V05225;V05226;V05227;V05228;V05229;V05230;V05231;V05232;V05233;V05234
4300059;Água Santa;637;631;6;0;0;0;500;137;0;515;122;0;598;39;0;43;594;0;0;637;0;414;223;0;384;30;223;127;287;223;82;102;160;293;0;285;282;3;0;0;0;181;104;0;194;91;0;237;48;0;18;267;0;0;285;0;127;158;0;108;19;158;52;75;158;76;55;54;100;0;1703;1682;21;0;0;0;1317;386;0;1341;362;0;1576;127;0;120;1583;0;0;1703;0;1061;642;0;985;76;642;310;751;642;230;286;442;745;0
4300661;André da Rocha;215;213;2;0;0;0;183;32;0;199;16;0;213;2;0;42;173;0;0;215;0;182;33;0;72;110;33;166;16;33;38;35;40;102;0;91;89;2;0;0;0;51;40;0;70;21;0;86;5;0;5;86;0;0;91;0;53;38;0;21;32;38;45;8;38;22;22;13;34;0;571;568;3;0;0;0;484;87;0;529;42;0;568;3;0;113;458;0;0;571;0;485;86;0;202;283;86;441;44;86;115;94;100;262;0
4300703;Anta Gorda;1022;951;71;0;0;0;971;51;0;973;49;0;1022;0;0;84;938;0;0;1022;0;966;56;0;368;598;56;79;887;56;276;240;202;304;0;329;310;18;0;0;1;298;30;1;301;27;1;324;4;1;6;322;1;0;328;1;289;39;1;103;186;40;29;260;40;133;70;49;76;1;2559;2362;197;0;0;0;2410;149;0;2417;142;0;2559;0;0;216;2343;0;0;2559;0;2401;158;0;902;1499;158;187;2214;158;711;597;475;776;0
4300802;Antônio Prado;3011;2511;206;0;0;294;2673;44;294;2613;104;294;2717;0;294;81;2636;294;103;2614;294;2298;419;294;1483;815;713;425;1873;713;1315;283;316;803;294;851;659;80;11;0;101;684;66;101;644;106;101;740;10;101;18;732;101;15;735;101;515;235;101;331;184;336;63;452;336;405;103;73;169;101;7572;6238;598;0;0;736;6689;147;736;6562;274;736;6836;0;736;187;6649;736;254;6582;736;5678;1158;736;3801;1877;1894;977;4701;1894;3440;742;770;1884;736
4301008;Arroio do Meio;6770;6647;110;0;0;13;5207;1550;13;5936;821;13;6740;17;13;910;5847;13;0;6757;13;4560;2197;13;2823;1737;2210;2382;2178;2210;1803;1344;1011;2599;13;2210;2161;16;7;0;26;1456;728;26;1875;309;26;2146;38;26;224;1960;26;1;2183;26;1218;966;26;550;668;992;703;515;992;961;444;246;533;26;17556;17243;279;0;0;34;13373;4149;34;15399;2123;34;17479;43;34;2329;15193;34;0;17522;34;11756;5766;34;7357;4399;5800;5951;5805;5800;4675;3528;2585;6734;34
4301404;Arvorezinha;2676;2555;88;23;0;10;2333;333;10;2054;612;10;2582;84;10;0;2666;10;22;2644;10;2125;541;10;1170;955;551;204;1921;551;1138;515;474;539;10;947;861;46;36;0;4;692;251;4;635;308;4;836;107;4;0;943;4;2;941;4;570;373;4;309;261;377;50;520;377;556;133;118;136;4;6851;6518;242;66;0;25;5890;936;25;5243;1583;25;6593;233;25;0;6826;25;51;6775;25;5345;1481;25;3026;2319;1506;492;4853;1506;3086;1312;1163;1265;25
4301651;Barão;1242;1222;10;0;0;10;1080;152;10;1053;179;10;1215;17;10;308;924;10;55;1177;10;989;243;10;804;185;253;207;782;253;461;192;81;498;10;429;402;10;0;0;17;293;119;17;315;97;17;395;17;17;49;363;17;17;395;17;259;153;17;174;85;170;84;175;170;189;63;40;120;17;3288;3232;27;0;0;29;2862;397;29;2773;486;29;3212;47;29;856;2403;29;151;3108;29;2624;635;29;2165;459;664;539;2085;664;1212;503;224;1320;29
4302006;Barros Cassal;1646;1637;9;0;0;0;660;986;0;1193;453;0;1571;75;0;96;1550;0;120;1526;0;616;1030;0;340;276;1030;176;440;1030;584;228;209;625;0;561;550;8;2;0;1;200;360;1;383;177;1;485;75;1;28;532;1;36;524;1;177;383;1;85;92;384;53;124;384;231;79;61;189;1;4085;4063;22;0;0;0;1606;2479;0;2920;1165;0;3890;195;0;249;3836;0;284;3801;0;1487;2598;0;810;677;2598;424;1063;2598;1490;537;520;1538;0
4302105;Bento Gonçalves;46373;44620;1412;236;0;105;45512;756;105;44710;1558;105;45872;396;105;11751;34517;105;172;46096;105;43898;2370;105;30272;13626;2475;8944;34954;2475;12560;5528;5229;22951;105;5828;5414;312;51;0;51;5463;314;51;5163;614;51;5549;228;51;922;4855;51;45;5732;51;4854;923;51;3284;1570;974;816;4038;974;1941;835;689;2312;51;115867;111151;3746;692;0;278;113526;2063;278;111444;4145;278;114535;1054;278;29540;86049;278;409;115180;278;109234;6355;278;76898;32336;6633;21969;87265;6633;31153;13973;13146;57317;278
4302253;Boa Vista do Sul;172;172;0;0;0;0;164;8;0;141;31;0;172;0;0;0;172;0;0;172;0;152;20;0;118;34;20;39;113;20;123;12;2;35;0;58;58;0;0;0;0;53;5;0;46;12;0;54;4;0;0;58;0;0;58;0;37;21;0;25;12;21;6;31;21;49;2;3;4;0;413;413;0;0;0;0;393;20;0;331;82;0;413;0;0;0;413;0;0;413;0;363;50;0;281;82;50;83;280;50;286;39;4;84;0
4302303;Bom Jesus;3282;3037;220;25;0;0;2043;1239;0;1543;1739;0;3216;66;0;64;3218;0;1;3281;0;2373;909;0;1941;432;909;219;2154;909;2356;675;162;89;0;1088;967;95;24;0;2;500;586;2;392;694;2;966;120;2;34;1052;2;2;1084;2;568;518;2;426;142;520;55;513;520;826;150;58;52;2;8684;7979;646;59;0;0;5245;3439;0;3939;4745;0;8506;178;0;171;8513;0;3;8681;0;6099;2585;0;5092;1007;2585;552;5547;2585;6190;1797;467;230;0
4302402;Bom Retiro do Sul;3910;3836;60;14;0;0;3208;702;0;3498;412;0;3860;50;0;280;3630;0;89;3821;0;3109;801;0;2907;202;801;1067;2042;801;1309;861;717;1023;0;1095;1065;17;13;0;0;724;371;0;883;212;0;997;98;0;51;1044;0;20;1075;0;701;394;0;614;87;394;269;432;394;537;208;132;218;0;9849;9663;154;32;0;0;8014;1835;0;8802;1047;0;9730;119;0;662;9187;0;235;9614;0;7756;2093;0;7259;497;2093;2656;5100;2093;3318;2191;1784;2556;0
