CD_MUN;NM_MUN;CD_REGIAO;NM_REGIAO;CD_UF;NM_UF;CD_NU;NM_NU;CD_AGLOM;NM_AGLOM;CD_RGINT;NM_RGINT;CD_RGI;NM_RGI;CD_CONCURB;NM_CONCURB;AREA_KM2;v0001;v0002;v0003;v0004;v0005;v0006;v0007;v0008;v0009;V01006;V01007;V01008;V01009;V01010;V01011;V01012;V01013;V01014;V01015;V01016;V01017;V01018;V01019;V01020;V01021;V01022;V01023;V01024;V01025;V01026;V01027;V01028;V01029;V01030;V01031;V01032;V01033;V01034;V01035;V01036;V01037;V01038;V01039;V01040;V01041;V01317;V01318;V01319;V01320;V01321;V01322;V01323;V01324;V01325;V01326;V01327;V01328;V01329;V01330;V01331;V01332;V01333;V01334;V01335;V01336;V01337;V01338;V01339;V01340;V01341;V01342;V01343;V01344;V01345;V01346;V01347;V01348;V01349;V01350;V01351;V01352;V01353;V01354;V01355;V01356;V01357;V01358;V01359;V01360;V01361;V01362;V01363;V01364;V01365;V01366;V01367;V01368;V01369;V01370;V01371;V01372;V01373;V01374;V01375;V01376;V01377;V01378;V01379;V01380;V01381;V01382;V01383;V01384;V01385;V01386;V01387;V01388;V01389;V01390;V01391;V01392;V01393;V01394;V01395;V01396;V01397;V01398;V01399;V01400;V01401;V01402;V01403;V01404;V01405;V01406;V01407;V01408;V01409;V01410;V01411
4300059;Água Santa;4;Sul;43;Rio Grande do Sul;.;;430005900002;Aldeia Indígena Campo do Meio;4306;Passo Fundo;430032;Tapejara - Sananduva;.;;291,5033209;3912;1596;1596;0;2,8;0,0087;1382;70;144;3902;1923;1979;120;110;114;117;117;136;267;229;258;223;160;113;128;126;129;120;118;261;227;265;226;190;240;242;250;256;244;265;540;464;531;460;359;3059;44;0;383;395;1511;19;0;205;177;1545;20;0;178;218;1124;10;0;130;101;649;471;8;0;0;0;85;42;76;20;0;24;225;436;413;0;0;0;4;0;0;0;0;0;0;0;0;35;34;52;0;10;37;32;10;529;6;0;93;115;561;6;0;75;125;1253;19;0;125;126;708;4;0;81;22;170;0;0;23;28;1336;17;0;173;142;168;0;0;29;44;1372;15;0;144;172
4300661;André da Rocha;4;Sul;43;Rio Grande do Sul;.;;.;;4307;Caxias do Sul;430038;Nova Prata - Guaporé;.;;331,2081930;1135;644;640;4;2,6;0,0160;437;117;86;1135;593;542;32;36;36;29;42;45;88;68;75;80;62;22;31;30;27;33;34;67;68;82;74;68;56;67;66;58;77;79;155;136;157;154;130;800;68;5;256;5;430;30;3;127;0;370;38;0;129;3;312;31;0;89;3;186;126;16;15;0;0;44;45;0;0;0;7;62;112;130;0;0;5;15;3;0;0;0;0;0;0;4;27;36;18;0;0;0;0;0;126;10;0;50;0;121;14;0;78;0;320;31;4;89;3;233;9;0;39;0;48;0;0;18;0;382;29;0;109;0;35;0;0;16;0;335;35;0;112;3
4300703;Anta Gorda;4;Sul;43;Rio Grande do Sul;.;;.;;4308;Santa Cruz do Sul - Lajeado;430043;Encantado;.;;242,0995828;5957;2759;2758;1;2,7;0,0058;2236;304;218;5957;2982;2975;144;153;133;151;135;205;433;379;457;442;339;129;134;144;136;162;181;409;359;431;416;459;274;289;279;287;305;391;842;738;888;859;798;5598;59;0;296;0;2808;17;0;147;0;2790;33;0;141;0;2099;18;0;109;0;1418;681;0;3;0;0;73;27;0;0;0;48;416;733;885;0;0;0;0;0;0;0;0;0;0;0;3;30;37;15;0;0;0;0;0;763;9;0;60;0;902;6;0;67;0;2319;21;0;116;0;1614;0;0;26;0;276;0;0;8;0;2527;13;0;128;0;234;3;0;13;0;2554;28;0;117;0
4300802;Antônio Prado;4;Sul;43;Rio Grande do Sul;4300802003;Loteamento Estrada Velha;.;;4307;Caxias do Sul;430036;Caxias do Sul;.;;347,5412067;13045;6179;6177;2;2,6;0,0419;5010;651;516;13025;6424;6601;295;301;298;306;393;465;888;792;1029;831;667;290;310;303;253;384;426;854;867;993;858;884;610;654;631;589;804;908;1759;1666;2037;1712;1567;11071;418;0;1500;4;5430;215;0;742;0;5641;177;0;745;0;4350;153;0;453;0;2831;1510;69;66;0;0;210;209;0;0;0;83;811;1652;1757;0;3;36;48;15;0;0;0;0;0;0;24;120;161;59;0;0;0;0;0;1471;60;0;361;0;1844;67;0;375;0;4654;185;0;587;0;3094;42;0;108;0;468;14;0;97;0;4948;187;0;613;0;490;6;0;100;0;5136;153;0;623;0
4301008;Arroio do Meio;4;Sul;43;Rio Grande do Sul;.;;430100800001;Comunidade Quilombola São Roque;4308;Santa Cruz do Sul - Lajeado;430041;Lajeado;4311403;Lajeado/RS;157,0875182;21958;9791;9778;13;2,6;0,0105;8407;428;943;21958;10868;11090;665;682;597;543;663;800;1809;1541;1500;1189;832;619;640;526;543;665;809;1750;1528;1544;1279;1144;1294;1326;1132;1102;1336;1613;3563;3075;3048;2471;1980;19260;635;0;2041;0;9445;339;0;1060;0;9815;275;0;974;0;7431;251;0;713;0;4523;2905;147;73;0;0;394;290;0;0;13;220;1867;2856;2440;0;0;89;67;19;0;0;0;0;0;0;28;237;244;122;0;0;0;0;0;3228;75;0;419;0;3349;168;0;509;0;8510;291;0;860;0;4171;31;0;208;0;1164;17;0;139;0;8280;304;0;901;0;1088;16;0;122;0;8724;241;0;834;0
4301404;Arvorezinha;4;Sul;43;Rio Grande do Sul;.;;.;;4306;Passo Fundo;430031;Soledade;.;;269,3102574;10322;4584;4582;2;2,6;0,0023;3931;275;376;10317;5155;5162;317;284;253;326;320;395;754;712;707;612;464;285;267;267;286;356;384;691;687;676;601;651;602;553;523;614;679;781;1445;1403;1383;1213;1116;9161;211;0;939;0;4533;112;0;500;0;4628;93;0;429;0;3534;72;0;311;0;2607;925;46;21;0;0;239;63;0;0;0;94;773;1328;1316;0;3;9;20;13;0;0;0;0;0;0;15;94;122;58;0;0;0;0;0;1436;17;0;212;0;1771;44;0;244;0;3761;96;0;361;0;2192;22;0;99;0;516;0;0;74;0;4016;106;0;418;0;480;3;0;46;0;4148;77;0;368;0
4301651;Barão;4;Sul;43;Rio Grande do Sul;4301651005;3;.;;4307;Caxias do Sul;430037;Bento Gonçalves;.;;124,7571227;6461;3003;3001;2;2,7;0,0136;2428;369;204;6443;3248;3195;193;177;149;154;192;229;531;494;463;356;237;172;174;130;167;191;204;494;448;432;330;362;379;364;289;335;388;454;1027;947;905;694;607;5815;77;0;531;0;2912;30;0;277;0;2903;36;0;239;0;2212;26;0;152;0;1464;746;16;8;0;0;96;40;0;0;0;53;510;887;735;0;0;13;5;0;0;0;0;0;0;0;12;51;54;16;0;0;0;0;0;929;13;0;96;0;1023;19;0;127;0;2596;33;0;231;0;1262;0;0;34;0;340;3;0;35;0;2566;26;0;232;0;324;3;0;23;0;2575;27;0;208;0
4302006;Barros Cassal;4;Sul;43;Rio Grande do Sul;.;;.;;4306;Passo Fundo;430031;Soledade;.;;647,9937248;9296;4827;4824;3;2,5;0,0000;3697;333;794;9296;4723;4573;267;273;266;348;298;284;604;684;659;615;425;274;266;273;341;288;260;593;632;630;577;437;543;539;539;689;586;544;1197;1316;1289;1192;862;6779;233;0;2277;3;3375;125;0;1216;3;3404;99;0;1061;0;2622;102;0;959;3;1644;978;65;31;0;0;668;291;3;0;0;113;525;1011;960;0;3;11;31;29;0;0;0;0;0;0;41;194;423;282;0;0;0;0;0;1245;10;0;357;0;1299;36;0;473;0;2692;103;0;997;0;1543;48;0;450;0;416;4;0;108;0;2959;118;0;1099;3;430;4;0;101;0;2974;92;0;957;0
4302105;Bento Gonçalves;4;Sul;43;Rio Grande do Sul;.;;430210500036;Aldeia Indígena Kaigang Sór Mág;4307;Caxias do Sul;430037;Bento Gonçalves;4302105;Bento Gonçalves/RS;272,2874352;123151;55648;55535;113;2,5;0,0390;48821;1762;4952;123140;59689;63451;3469;3823;3126;3241;4225;4710;10746;9178;7242;5530;4115;3416;3636;2979;3233;4119;4995;10979;9286;8096;6689;5761;6938;7503;6153;6524;8386;9745;21742;18476;15348;12249;9935;99579;5070;34;18252;79;47563;2719;10;9223;38;52014;2238;9;9006;20;39665;2104;0;6878;12;22028;17630;1286;690;0;0;3724;3066;10;0;15;1572;10841;15062;12010;0;61;859;685;103;0;0;0;0;0;7;563;2632;2471;817;0;0;6;3;0;16295;673;4;3476;20;18192;1204;0;5110;28;44859;2558;3;7980;16;20222;227;0;1476;0;5796;188;0;1122;5;41758;2413;4;7986;29;5653;171;0;1017;4;46345;1949;0;7846;16
4302253;Boa Vista do Sul;4;Sul;43;Rio Grande do Sul;.;;.;;4307;Caxias do Sul;430037;Bento Gonçalves;.;;94,3986436;2779;1292;1291;1;2,6;0,0038;1053;122;116;2779;1432;1347;45;54;59;77;81;67;160;203;255;226;194;58;67;61;56;57;64;170;176;214;183;231;111;124;123;136;138;133;330;379;469;409;425;2566;41;0;166;0;1314;17;0;92;0;1252;17;0;74;0;972;14;0;57;0;686;286;4;4;0;0;29;18;0;0;0;8;122;361;470;0;0;0;5;0;0;0;0;0;0;0;9;7;19;0;0;0;0;0;0;309;3;0;38;0;361;6;0;34;0;1083;24;0;65;0;813;0;0;10;0;86;0;0;9;0;1228;14;0;77;0;117;0;0;6;0;1135;16;0;61;0
