cod_mun;nome;pct_na_bacia;pop;dom;mulheres;c0_4;c5_9;i60_69;i70m;indigenas;pretos_pardos;dom_ocupados;dom_agua;dom_esgoto;n_resp;sigilo_pop;sigilo_dom;sigilo_mulheres;sigilo_c0_4;sigilo_c5_9;sigilo_i60_69;sigilo_i70m;sigilo_indigenas;sigilo_pretos_pardos;sigilo_dom_ocupados;sigilo_dom_agua;sigilo_dom_esgoto;sigilo_n_resp;sigilo_renda_resp;dens;sigilo_dens;pop_bacia;sigilo_pop_bacia;pop_mun;dom_mun;area_pct_bacia;metodo_recorte_bacia;status_borda_bacia;metodo_area_bacia;metodo_na_bacia;n_setores_municipio;n_setores_bacia;dens_bacia;sigilo_dens_bacia;dens_bacia_n_validos;dens_bacia_n_total;dens_bacia_completude;pop_n_validos;pop_n_total;pop_completude;dom_n_validos;dom_n_total;dom_completude;dom_ocupados_n_validos;dom_ocupados_n_total;dom_ocupados_completude;mulheres_n_validos;mulheres_n_total;mulheres_completude;c0_4_n_validos;c0_4_n_total;c0_4_completude;c5_9_n_validos;c5_9_n_total;c5_9_completude;i60_69_n_validos;i60_69_n_total;i60_69_completude;i70m_n_validos;i70m_n_total;i70m_completude;indigenas_n_validos;indigenas_n_total;indigenas_completude;pretos_pardos_n_validos;pretos_pardos_n_total;pretos_pardos_completude;dom_agua_n_validos;dom_agua_n_total;dom_agua_completude;dom_esgoto_n_validos;dom_esgoto_n_total;dom_esgoto_completude;n_resp_n_validos;n_resp_n_total;n_resp_completude;renda_resp_n_validos;renda_resp_n_total;renda_resp_completude;dens_n_validos;dens_n_total;dens_completude;pop_bacia_n_validos;pop_bacia_n_total;pop_bacia_completude;dom_bacia;dom_bacia_n_validos;dom_bacia_n_total;dom_bacia_completude;sigilo_dom_bacia;mulheres_bacia;mulheres_bacia_n_validos;mulheres_bacia_n_total;mulheres_bacia_completude;sigilo_mulheres_bacia;c0_4_bacia;c0_4_bacia_n_validos;c0_4_bacia_n_total;c0_4_bacia_completude;sigilo_c0_4_bacia;c5_9_bacia;c5_9_bacia_n_validos;c5_9_bacia_n_total;c5_9_bacia_completude;sigilo_c5_9_bacia;i60_69_bacia;i60_69_bacia_n_validos;i60_69_bacia_n_total;i60_69_bacia_completude;sigilo_i60_69_bacia;i70m_bacia;i70m_bacia_n_validos;i70m_bacia_n_total;i70m_bacia_completude;sigilo_i70m_bacia;indigenas_bacia;indigenas_bacia_n_validos;indigenas_bacia_n_total;indigenas_bacia_completude;sigilo_indigenas_bacia;pretos_pardos_bacia;pretos_pardos_bacia_n_validos;pretos_pardos_bacia_n_total;pretos_pardos_bacia_completude;sigilo_pretos_pardos_bacia;dom_ocupados_bacia;dom_ocupados_bacia_n_validos;dom_ocupados_bacia_n_total;dom_ocupados_bacia_completude;sigilo_dom_ocupados_bacia;dom_agua_bacia;dom_agua_bacia_n_validos;dom_agua_bacia_n_total;dom_agua_bacia_completude;sigilo_dom_agua_bacia;dom_esgoto_bacia;dom_esgoto_bacia_n_validos;dom_esgoto_bacia_n_total;dom_esgoto_bacia_completude;sigilo_dom_esgoto_bacia;n_resp_bacia;n_resp_bacia_n_validos;n_resp_bacia_n_total;n_resp_bacia_completude;sigilo_n_resp_bacia;renda_resp;renda_resp_bacia;renda_resp_bacia_n_validos;renda_resp_bacia_n_total;renda_resp_bacia_completude;sigilo_renda_resp_bacia;referencia;mun_referencia;populacao;mun_populacao;moradores_demografia;mun_moradores_demografia;homens;mun_homens;mun_mulheres;criancas_0_4;mun_criancas_0_4;criancas_5_9;mun_criancas_5_9;idosos_60_69;mun_idosos_60_69;idosos_70_mais;mun_idosos_70_mais;mun_indigenas;mun_pretos_pardos;dom_ocupados_oficial;mun_dom_ocupados_oficial;dom_improvisados;mun_dom_improvisados;dom_coletivos_com_morador;mun_dom_coletivos_com_morador;dom_agua_rede;mun_dom_agua_rede;dom_esgoto_rede;mun_dom_esgoto_rede;entorno_dom_total;mun_entorno_dom_total;entorno_dom_via_pavimentada;mun_entorno_dom_via_pavimentada;entorno_dom_bueiro;mun_entorno_dom_bueiro;entorno_dom_iluminacao;mun_entorno_dom_iluminacao;entorno_dom_ponto_onibus;mun_entorno_dom_ponto_onibus;entorno_dom_rampa;mun_entorno_dom_rampa;entorno_dom_sem_arvore;mun_entorno_dom_sem_arvore;entorno_dom_1_2_arvores;mun_entorno_dom_1_2_arvores;entorno_dom_3_4_arvores;mun_entorno_dom_3_4_arvores;entorno_dom_5_mais_arvores;mun_entorno_dom_5_mais_arvores;entorno_pavimentada_pct;mun_entorno_pavimentada_pct;entorno_bueiro_pct;mun_entorno_bueiro_pct;entorno_iluminacao_pct;mun_entorno_iluminacao_pct;entorno_ponto_onibus_pct;mun_entorno_ponto_onibus_pct;entorno_rampa_pct;mun_entorno_rampa_pct;entorno_faces_total;mun_entorno_faces_total;entorno_moradores_total;mun_entorno_moradores_total;pcd_pessoas_2mais;mun_pcd_pessoas_2mais;pcd_pct_2mais;mun_pcd_pct_2mais;tea_pessoas;mun_tea_pessoas;tea_pct;mun_tea_pct;fonte_pcd;mun_fonte_pcd;fonte_tea;mun_fonte_tea;agregados_ibge_referencia;mun_ubs_iede;mun_hospitais_iede;mun_escolas_iede;mun_bombeiros_iede;mun_servicos_cobertura;mun_icm_faixa;mun_icm_pontos;mun_icm_prioritario;mun_ubs_iede_status;mun_hospitais_iede_status;mun_escolas_iede_status;mun_bombeiros_iede_status;mun_icm_atualizado_em;mun_icm_versao
4300059;Água Santa;1.2;3912;1596;1979;227;230;436;347;395;348;1378;608;45;1378;False;False;True;True;True;True;True;True;True;True;True;True;True;True;13.4;False;0;False;3912;1596;1.2;ponto_representativo_setor_2022;parcial;interseção geométrica em EPSG:5880;ponto_representativo_municipio_2022_within_bacia;20;0;;True;0;1;0.0;20;20;1.0;20;20;1.0;19;20;0.95;19;20;0.95;11;20;0.55;11;20;0.55;13;20;0.65;16;20;0.8;16;20;0.8;12;20;0.6;17;20;0.85;19;20;0.95;19;20;0.95;19;20;0.95;20;20;1.0;0;0;0.0;;0;0;0.0;False;;0;0;0.0;False;;0;0;0.0;False;;0;0;0.0;False;;0;0;0.0;False;;0;0;0.0;False;;0;0;0.0;False;;0;0;0.0;False;;0;0;0.0;False;;0;0;0.0;False;;0;0;0.0;False;;0;0;0.0;False;4194.0;;0;0;0.0;False;Censo 2022;Censo 2022;3912;3912;3902;3902;1923;1923;1979;240;240;242;242;460;460;359;359;395;427;1378;1378;0;0;0;0;608;608;45;45;637;637;500;500;515;515;598;598;43;43;127;127;82;82;102;102;160;160;293;293;78.49;78.49;80.85;80.85;93.88;93.88;6.75;6.75;19.94;19.94;285;285;1703;1703;77;77;2;2;15;15;0.4;0.4;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022;SIDRA IBGE · tabela 10145 · 2022;Censo 2022;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
4300661;André da Rocha;100.0;1135;644;542;51;67;154;130;5;324;437;347;48;437;False;False;False;True;False;False;False;True;False;False;False;True;False;False;3.4;False;1135.0;False;1135;644;100.0;ponto_representativo_setor_2022;total;interseção geométrica em EPSG:5880;ponto_representativo_municipio_2022_within_bacia;3;3;3.4;False;1;1;1.0;3;3;1.0;3;3;1.0;3;3;1.0;3;3;1.0;2;3;0.666667;3;3;1.0;3;3;1.0;3;3;1.0;2;3;0.666667;3;3;1.0;3;3;1.0;1;3;0.333333;3;3;1.0;3;3;1.0;3;3;1.0;3;3;1.0;644.0;3;3;1.0;False;542.0;3;3;1.0;False;51.0;2;3;0.666667;True;67.0;3;3;1.0;False;154.0;3;3;1.0;False;130.0;3;3;1.0;False;5.0;2;3;0.666667;True;324.0;3;3;1.0;False;437.0;3;3;1.0;False;347.0;3;3;1.0;False;48.0;1;3;0.333333;True;437.0;3;3;1.0;False;3054.0;3054.0;3;3;1.0;False;Censo 2022;Censo 2022;1135;1135;1135;1135;593;593;542;56;56;67;67;154;154;130;130;5;324;437;437;0;0;0;0;347;347;48;48;215;215;183;183;199;199;213;213;42;42;166;166;38;38;35;35;40;40;102;102;85.12;85.12;92.56;92.56;99.07;99.07;19.53;19.53;77.21;77.21;91;91;571;571;87;87;7.8;7.8;4;4;0.3;0.3;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022;SIDRA IBGE · tabela 10145 · 2022;Censo 2022;1;;2;;cadastro_IEDE_parcial_nao_inventario;C;8;não;published;unknown;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
4300703;Anta Gorda;100.0;5957;2759;2975;270;273;852;798;0;313;2235;1970;176;2235;False;False;False;True;True;True;False;True;True;False;False;True;False;False;24.6;False;5957.0;False;5957;2759;100.0;ponto_representativo_setor_2022;total;interseção geométrica em EPSG:5880;ponto_representativo_municipio_2022_within_bacia;16;16;24.6;False;1;1;1.0;16;16;1.0;16;16;1.0;16;16;1.0;16;16;1.0;14;16;0.875;13;16;0.8125;15;16;0.9375;16;16;1.0;15;16;0.9375;14;16;0.875;16;16;1.0;12;16;0.75;16;16;1.0;16;16;1.0;16;16;1.0;16;16;1.0;2759.0;16;16;1.0;False;2975.0;16;16;1.0;False;270.0;14;16;0.875;True;273.0;13;16;0.8125;True;852.0;15;16;0.9375;True;798.0;16;16;1.0;False;0.0;15;16;0.9375;True;313.0;14;16;0.875;True;2235.0;16;16;1.0;False;1970.0;16;16;1.0;False;176.0;12;16;0.75;True;2235.0;16;16;1.0;False;4158.0;4158.0;16;16;1.0;False;Censo 2022;Censo 2022;5957;5957;5957;5957;2982;2982;2975;274;274;289;289;859;859;798;798;0;355;2235;2235;0;0;0;0;1970;1970;176;176;1022;1022;971;971;973;973;1022;1022;84;84;79;79;276;276;240;240;202;202;304;304;95.01;95.01;95.21;95.21;100.0;100.0;8.22;8.22;7.73;7.73;329;329;2559;2559;185;185;3.2;3.2;41;41;0.7;0.7;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022;SIDRA IBGE · tabela 10145 · 2022;Censo 2022;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
4300802;Antônio Prado;100.0;13045;6179;6601;537;585;1666;1536;4;1790;5001;3928;2320;5001;False;False;True;True;True;True;True;True;True;True;True;True;True;True;37.5;False;13045.0;False;13045;6179;100.0;ponto_representativo_setor_2022;total;interseção geométrica em EPSG:5880;ponto_representativo_municipio_2022_within_bacia;58;58;37.5;False;1;1;1.0;58;58;1.0;58;58;1.0;55;58;0.948276;55;58;0.948276;36;58;0.62069;33;58;0.568966;45;58;0.775862;45;58;0.775862;52;58;0.896552;37;58;0.637931;53;58;0.913793;50;58;0.862069;55;58;0.948276;55;58;0.948276;58;58;1.0;58;58;1.0;6179.0;58;58;1.0;False;6601.0;55;58;0.948276;True;537.0;36;58;0.62069;True;585.0;33;58;0.568966;True;1666.0;45;58;0.775862;True;1536.0;45;58;0.775862;True;4.0;52;58;0.896552;True;1790.0;37;58;0.637931;True;5001.0;55;58;0.948276;True;3928.0;53;58;0.913793;True;2320.0;50;58;0.862069;True;5001.0;55;58;0.948276;True;3152.0;3152.0;54;58;0.931034;True;Censo 2022;Censo 2022;13045;13045;13025;13025;6424;6424;6601;610;610;654;654;1712;1712;1567;1567;4;1918;5001;5001;0;0;28;28;3928;3928;2320;2320;3011;3011;2673;2673;2613;2613;2717;2717;81;81;425;425;1315;1315;283;283;316;316;803;803;88.77;88.77;86.78;86.78;90.24;90.24;2.69;2.69;14.11;14.11;851;851;7572;7572;808;808;6.3;6.3;81;81;0.6;0.6;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022;SIDRA IBGE · tabela 10145 · 2022;Censo 2022;7;1;14;;cadastro_IEDE_parcial_nao_inventario;A;16;não;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
4301008;Arroio do Meio;100.0;21958;9791;11090;1265;1309;2468;1969;0;2610;8407;7577;79;8407;False;False;False;True;True;True;True;True;True;False;True;True;False;False;139.7;False;21958.0;False;21958;9791;100.0;ponto_representativo_setor_2022;total;interseção geométrica em EPSG:5880;ponto_representativo_municipio_2022_within_bacia;50;50;139.7;False;1;1;1.0;50;50;1.0;50;50;1.0;50;50;1.0;50;50;1.0;45;50;0.9;46;50;0.92;48;50;0.96;45;50;0.9;45;50;0.9;45;50;0.9;48;50;0.96;41;50;0.82;50;50;1.0;50;50;1.0;50;50;1.0;50;50;1.0;9791.0;50;50;1.0;False;11090.0;50;50;1.0;False;1265.0;45;50;0.9;True;1309.0;46;50;0.92;True;2468.0;48;50;0.96;True;1969.0;45;50;0.9;True;0.0;45;50;0.9;True;2610.0;45;50;0.9;True;8407.0;50;50;1.0;False;7577.0;48;50;0.96;True;79.0;41;50;0.82;True;8407.0;50;50;1.0;False;2907.0;2907.0;49;50;0.98;False;Censo 2022;Censo 2022;21958;21958;21958;21958;10868;10868;11090;1294;1294;1326;1326;2471;2471;1980;1980;0;2676;8407;8407;0;0;106;106;7577;7577;79;79;6770;6770;5207;5207;5936;5936;6740;6740;910;910;2382;2382;1803;1803;1344;1344;1011;1011;2599;2599;76.91;76.91;87.68;87.68;99.56;99.56;13.44;13.44;35.18;35.18;2210;2210;17556;17556;1207;1207;5.6;5.6;149;149;0.7;0.7;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022;SIDRA IBGE · tabela 10145 · 2022;Censo 2022;11;1;24;1;cadastro_IEDE_parcial_nao_inventario;C;14;sim;published;published;published;published;2026-08-13;base_completa_icm_082026.xlsx
4301404;Arvorezinha;100.0;10322;4584;5162;602;542;1213;1109;0;1085;3929;2995;1588;3929;False;False;True;True;True;True;True;True;True;True;True;True;True;True;38.3;False;10322.0;False;10322;4584;100.0;ponto_representativo_setor_2022;total;interseção geométrica em EPSG:5880;ponto_representativo_municipio_2022_within_bacia;24;24;38.3;False;1;1;1.0;24;24;1.0;24;24;1.0;23;24;0.958333;23;24;0.958333;22;24;0.916667;21;24;0.875;23;24;0.958333;21;24;0.875;23;24;0.958333;19;24;0.791667;22;24;0.916667;22;24;0.916667;23;24;0.958333;23;24;0.958333;24;24;1.0;24;24;1.0;4584.0;24;24;1.0;False;5162.0;23;24;0.958333;True;602.0;22;24;0.916667;True;542.0;21;24;0.875;True;1213.0;23;24;0.958333;True;1109.0;21;24;0.875;True;0.0;23;24;0.958333;True;1085.0;19;24;0.791667;True;3929.0;23;24;0.958333;True;2995.0;22;24;0.916667;True;1588.0;22;24;0.916667;True;3929.0;23;24;0.958333;True;2699.0;2699.0;23;24;0.958333;True;Censo 2022;Censo 2022;10322;10322;10317;10317;5155;5155;5162;602;602;553;553;1213;1213;1116;1116;0;1150;3929;3929;0;0;17;17;2995;2995;1588;1588;2676;2676;2333;2333;2054;2054;2582;2582;0;0;204;204;1138;1138;515;515;474;474;539;539;87.18;87.18;76.76;76.76;96.49;96.49;0.0;0.0;7.62;7.62;947;947;6851;6851;650;650;6.4;6.4;140;140;1.4;1.4;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022;SIDRA IBGE · tabela 10145 · 2022;Censo 2022;4;1;12;;cadastro_IEDE_parcial_nao_inventario;B;13;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
4301651;Barão;43.6;6461;3003;3195;336;328;675;583;0;466;2418;2052;32;2418;False;False;True;True;True;True;True;True;True;True;True;True;True;True;51.8;False;3521.0;False;6461;3003;43.6;ponto_representativo_setor_2022;parcial;interseção geométrica em EPSG:5880;ponto_representativo_municipio_2022_within_bacia;32;12;64.7;False;1;1;1.0;32;32;1.0;32;32;1.0;29;32;0.90625;29;32;0.90625;17;32;0.53125;17;32;0.53125;21;32;0.65625;21;32;0.65625;28;32;0.875;19;32;0.59375;29;32;0.90625;27;32;0.84375;29;32;0.90625;29;32;0.90625;32;32;1.0;12;12;1.0;1633.0;12;12;1.0;False;1770.0;11;12;0.916667;True;180.0;5;12;0.416667;True;204.0;7;12;0.583333;True;347.0;8;12;0.666667;True;312.0;9;12;0.75;True;0.0;11;12;0.916667;True;407.0;7;12;0.583333;True;1339.0;11;12;0.916667;True;1186.0;11;12;0.916667;True;17.0;10;12;0.833333;True;1339.0;11;12;0.916667;True;3001.0;3130.0;11;12;0.916667;True;Censo 2022;Censo 2022;6461;6461;6443;6443;3248;3248;3195;379;379;364;364;694;694;607;607;0;608;2418;2418;0;0;0;0;2052;2052;32;32;1242;1242;1080;1080;1053;1053;1215;1215;308;308;207;207;461;461;192;192;81;81;498;498;86.96;86.96;84.78;84.78;97.83;97.83;24.8;24.8;16.67;16.67;429;429;3288;3288;388;388;6.1;6.1;37;37;0.6;0.6;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022;SIDRA IBGE · tabela 10145 · 2022;Censo 2022;7;;9;;cadastro_IEDE_parcial_nao_inventario;A;11;não;published;unknown;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
4302006;Barros Cassal;51.9;9296;4827;4573;536;539;1192;862;3;2510;3695;1584;820;3695;False;False;False;True;False;False;False;True;False;False;True;True;False;False;14.3;False;5086.0;False;9296;4827;51.9;ponto_representativo_setor_2022;parcial;interseção geométrica em EPSG:5880;ponto_representativo_municipio_2022_within_bacia;19;11;15.1;False;1;1;1.0;19;19;1.0;19;19;1.0;19;19;1.0;19;19;1.0;18;19;0.947368;19;19;1.0;19;19;1.0;19;19;1.0;16;19;0.842105;19;19;1.0;18;19;0.947368;18;19;0.947368;19;19;1.0;19;19;1.0;19;19;1.0;11;11;1.0;2560.0;11;11;1.0;False;2481.0;11;11;1.0;False;296.0;11;11;1.0;False;292.0;11;11;1.0;False;656.0;11;11;1.0;False;487.0;11;11;1.0;False;0.0;10;11;0.909091;True;1517.0;11;11;1.0;False;1999.0;11;11;1.0;False;787.0;11;11;1.0;False;324.0;11;11;1.0;False;1999.0;11;11;1.0;False;2230.0;2265.0;11;11;1.0;False;Censo 2022;Censo 2022;9296;9296;9296;9296;4723;4723;4573;543;543;539;539;1192;1192;862;862;3;2510;3695;3695;0;0;33;33;1584;1584;820;820;1646;1646;660;660;1193;1193;1571;1571;96;96;176;176;584;584;228;228;209;209;625;625;40.1;40.1;72.48;72.48;95.44;95.44;5.83;5.83;10.69;10.69;561;561;4085;4085;926;926;10.2;10.2;83;83;0.9;0.9;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022;SIDRA IBGE · tabela 10145 · 2022;Censo 2022;4;;13;;cadastro_IEDE_parcial_nao_inventario;D;7;sim;published;unknown;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
4302105;Bento Gonçalves;100.0;123151;55648;63451;6786;7366;12171;9771;79;22766;48809;46992;18347;48809;False;False;True;True;True;True;True;True;True;True;True;True;True;True;452.0;False;123151.0;False;123151;55648;100.0;ponto_representativo_setor_2022;total;interseção geométrica em EPSG:5880;ponto_representativo_municipio_2022_within_bacia;286;286;452.0;False;1;1;1.0;286;286;1.0;286;286;1.0;284;286;0.993007;284;286;0.993007;246;286;0.86014;253;286;0.884615;263;286;0.91958;247;286;0.863636;260;286;0.909091;253;286;0.884615;283;286;0.98951;266;286;0.93007;284;286;0.993007;284;286;0.993007;286;286;1.0;286;286;1.0;55648.0;286;286;1.0;False;63451.0;284;286;0.993007;True;6786.0;246;286;0.86014;True;7366.0;253;286;0.884615;True;12171.0;263;286;0.91958;True;9771.0;247;286;0.863636;True;79.0;260;286;0.909091;True;22766.0;253;286;0.884615;True;48809.0;284;286;0.993007;True;46992.0;283;286;0.98951;True;18347.0;266;286;0.93007;True;48809.0;284;286;0.993007;True;3804.0;3804.0;283;286;0.98951;True;Censo 2022;Censo 2022;123151;123151;123140;123140;59689;59689;63451;6938;6938;7503;7503;12249;12249;9935;9935;79;23322;48809;48809;0;0;560;560;46992;46992;18347;18347;46373;46373;45512;45512;44710;44710;45872;45872;11751;11751;8944;8944;12560;12560;5528;5528;5229;5229;22951;22951;98.14;98.14;96.41;96.41;98.92;98.92;25.34;25.34;19.29;19.29;5828;5828;115867;115867;6231;6231;5.2;5.2;959;959;0.8;0.8;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022;SIDRA IBGE · tabela 10145 · 2022;Censo 2022;43;2;123;1;cadastro_IEDE_parcial_nao_inventario;B;15;sim;published;published;published;published;2026-08-13;base_completa_icm_082026.xlsx
4302253;Boa Vista do Sul;100.0;2779;1292;1347;88;115;409;425;0;181;1052;883;4;1052;False;False;False;True;True;False;False;True;True;False;False;True;False;False;29.4;False;2779.0;False;2779;1292;100.0;ponto_representativo_setor_2022;total;interseção geométrica em EPSG:5880;ponto_representativo_municipio_2022_within_bacia;10;10;29.4;False;1;1;1.0;10;10;1.0;10;10;1.0;10;10;1.0;10;10;1.0;6;10;0.6;8;10;0.8;10;10;1.0;10;10;1.0;8;10;0.8;7;10;0.7;10;10;1.0;9;10;0.9;10;10;1.0;10;10;1.0;10;10;1.0;10;10;1.0;1292.0;10;10;1.0;False;1347.0;10;10;1.0;False;88.0;6;10;0.6;True;115.0;8;10;0.8;True;409.0;10;10;1.0;False;425.0;10;10;1.0;False;0.0;8;10;0.8;True;181.0;7;10;0.7;True;1052.0;10;10;1.0;False;883.0;10;10;1.0;False;4.0;9;10;0.9;True;1052.0;10;10;1.0;False;3087.0;3087.0;10;10;1.0;False;Censo 2022;Censo 2022;2779;2779;2779;2779;1432;1432;1347;111;111;124;124;409;409;425;425;0;207;1052;1052;0;0;0;0;883;883;4;4;172;172;164;164;141;141;172;172;0;0;39;39;123;123;12;12;2;2;35;35;95.35;95.35;81.98;81.98;100.0;100.0;0.0;0.0;22.67;22.67;58;58;413;413;152;152;5.6;5.6;10;10;0.3;0.3;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10125 · 2022;SIDRA IBGE · tabela 10145 · 2022;SIDRA IBGE · tabela 10145 · 2022;Censo 2022;1;;3;;cadastro_IEDE_parcial_nao_inventario;C;10;sim;published;unknown;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
