setor;pop;sigilo_pop;dom;sigilo_dom;mulheres;sigilo_mulheres;c0_4;sigilo_c0_4;c5_9;sigilo_c5_9;i60_69;sigilo_i60_69;i70m;sigilo_i70m;indigenas;sigilo_indigenas;pretos_pardos;sigilo_pretos_pardos;dom_ocupados;sigilo_dom_ocupados;dom_agua;sigilo_dom_agua;dom_esgoto;sigilo_dom_esgoto;renda_resp;sigilo_renda_resp;n_resp;sigilo_n_resp;area_pct_bacia;metodo_recorte_bacia;dens;sigilo_dens;pop_n_validos;pop_n_total;pop_completude;dom_n_validos;dom_n_total;dom_completude;dom_ocupados_n_validos;dom_ocupados_n_total;dom_ocupados_completude;mulheres_n_validos;mulheres_n_total;mulheres_completude;c0_4_n_validos;c0_4_n_total;c0_4_completude;c5_9_n_validos;c5_9_n_total;c5_9_completude;i60_69_n_validos;i60_69_n_total;i60_69_completude;i70m_n_validos;i70m_n_total;i70m_completude;indigenas_n_validos;indigenas_n_total;indigenas_completude;pretos_pardos_n_validos;pretos_pardos_n_total;pretos_pardos_completude;dom_agua_n_validos;dom_agua_n_total;dom_agua_completude;dom_esgoto_n_validos;dom_esgoto_n_total;dom_esgoto_completude;n_resp_n_validos;n_resp_n_total;n_resp_completude;renda_resp_n_validos;renda_resp_n_total;renda_resp_completude;dens_n_validos;dens_n_total;dens_completude;na_bacia;status_borda_bacia;metodo_area_bacia;metodo_na_bacia;municipio;cod_mun;mun_pct_na_bacia;mun_pop_total;mun_pop_na_bacia;mun_ubs_iede;mun_hospitais_iede;mun_escolas_iede;mun_bombeiros_iede;mun_servicos_cobertura;mun_icm_faixa;mun_icm_pontos;mun_icm_prioritario;mun_ubs_iede_status;mun_hospitais_iede_status;mun_escolas_iede_status;mun_bombeiros_iede_status;mun_icm_atualizado_em;mun_icm_versao
430005905000002;145;False;52;0;73;0;9;0;7;0;20;0;18;0;0;0;;1;47;0;0;0;0;0;10910.0;0;47;0;0.0;"ponto_representativo_setor_2022; area_pct_geometrica";7.1;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005905000003;298;False;130;0;147;0;10;0;13;0;44;0;40;0;;1;35;0;106;0;0;0;0;0;4606.35;0;106;0;0.0;"ponto_representativo_setor_2022; area_pct_geometrica";7.8;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005905000004;20;False;13;0;8;0;;1;0;0;9;0;0;0;0;0;0;0;10;0;0;0;0;0;3035.33;0;10;0;5.1983;"ponto_representativo_setor_2022; area_pct_geometrica";0.7;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;parcial;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005905000006;292;False;72;0;154;0;37;0;23;0;11;0;;1;289;0;;1;71;0;0;0;0;0;1389.7;0;71;0;0.0;"ponto_representativo_setor_2022; area_pct_geometrica";392.8;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005905000007;170;False;65;0;84;0;;1;15;0;20;0;23;0;0;0;;1;59;0;0;0;0;0;4933.02;0;59;0;0.0;"ponto_representativo_setor_2022; area_pct_geometrica";11.0;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005905000008;57;False;24;0;27;0;;1;;1;;1;8;0;0;0;0;0;19;0;0;0;0;0;18175.37;0;19;0;0.0;"ponto_representativo_setor_2022; area_pct_geometrica";7.2;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;0;1;0.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005905000009;179;False;82;0;87;0;8;0;8;0;31;0;17;0;0;0;23;0;67;0;0;0;0;0;8467.69;0;67;0;0.0;"ponto_representativo_setor_2022; area_pct_geometrica";5.3;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005905000010;958;False;410;0;507;0;68;0;58;0;101;0;81;0;53;0;115;0;364;0;340;0;31;0;2641.43;0;364;0;0.0;"ponto_representativo_setor_2022; area_pct_geometrica";364.9;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005905000011;745;False;300;0;384;0;49;0;62;0;78;0;68;0;8;0;104;0;273;0;268;0;14;0;3248.12;0;273;0;0.0;"ponto_representativo_setor_2022; area_pct_geometrica";538.9;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
430005905000012;34;False;13;0;18;0;;1;;1;;1;6;0;17;0;0;0;12;0;0;0;0;0;1981.0;0;12;0;0.0;"ponto_representativo_setor_2022; area_pct_geometrica";6.4;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;0;1;0.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Água Santa;4300059;1.2;3912;0;2;;;;cadastro_IEDE_parcial_nao_inventario;A;12;não;published;unknown;unknown;unknown;2026-08-13;base_completa_icm_082026.xlsx
