campo;unidade;universo;fonte;observacao
cod_mun;código IBGE;município;IBGE;chave de junção com cod_mun
populacao;pessoas;população municipal;IBGE Censo 2022;arquivo básico
moradores_demografia;pessoas;moradores;IBGE Censo 2022;V01006
homens;pessoas;moradores homens;IBGE Censo 2022;V01007
mulheres;pessoas;moradores mulheres;IBGE Censo 2022;V01008
criancas_0_4;pessoas;moradores de 0 a 4 anos;IBGE Censo 2022;V01031
criancas_5_9;pessoas;moradores de 5 a 9 anos;IBGE Censo 2022;V01032
idosos_60_69;pessoas;moradores de 60 a 69 anos;IBGE Censo 2022;V01040
idosos_70_mais;pessoas;moradores de 70 anos ou mais;IBGE Censo 2022;V01041
indigenas;pessoas;cor ou raça indígena;IBGE Censo 2022;V01321
pretos_pardos;pessoas;cor ou raça preta + parda;IBGE Censo 2022;V01318 + V01320
dom_ocupados_oficial;domicílios;domicílios permanentes ocupados;IBGE Censo 2022;V00001
dom_improvisados;domicílios;domicílios improvisados ocupados;IBGE Censo 2022;V00002
dom_coletivos_com_morador;domicílios;domicílios coletivos com morador;IBGE Censo 2022;V00003
dom_agua_rede;domicílios;rede geral de água;IBGE Censo 2022;V00111
dom_esgoto_rede;domicílios;rede geral/pluvial de esgoto;IBGE Censo 2022;V00309
entorno_dom_total;domicílios selecionados;entorno de domicílios;IBGE Censo 2022;V05000
entorno_dom_via_pavimentada;domicílios selecionados;via em frente pavimentada;IBGE Censo 2022;V05006
entorno_dom_bueiro;domicílios selecionados;bueiro ou boca de lobo;IBGE Censo 2022;V05009
entorno_dom_iluminacao;domicílios selecionados;iluminação pública;IBGE Censo 2022;V05012
entorno_dom_ponto_onibus;domicílios selecionados;ponto de ônibus;IBGE Censo 2022;V05015
entorno_dom_rampa;domicílios selecionados;rampa para cadeirante;IBGE Censo 2022;V05027
entorno_faces_total;faces observadas;faces do entorno;IBGE Censo 2022;V05400
entorno_moradores_total;moradores selecionados;moradores do entorno;IBGE Censo 2022;V05200
entorno_dom_sem_arvore;domicílios selecionados;sem árvore;IBGE Censo 2022;V05030
entorno_dom_1_2_arvores;domicílios selecionados;1 ou 2 árvores;IBGE Censo 2022;V05031
entorno_dom_3_4_arvores;domicílios selecionados;3 ou 4 árvores;IBGE Censo 2022;V05032
entorno_dom_5_mais_arvores;domicílios selecionados;5 ou mais árvores;IBGE Censo 2022;V05033
entorno_pavimentada_pct;%;domicílios selecionados com via pavimentada;IBGE Censo 2022;V05006/V05000
entorno_bueiro_pct;%;domicílios selecionados com bueiro;IBGE Censo 2022;V05009/V05000
entorno_iluminacao_pct;%;domicílios selecionados com iluminação;IBGE Censo 2022;V05012/V05000
entorno_ponto_onibus_pct;%;domicílios selecionados com ponto de ônibus;IBGE Censo 2022;V05015/V05000
entorno_rampa_pct;%;domicílios selecionados com rampa;IBGE Censo 2022;V05027/V05000
pcd_pessoas_2mais;pessoas;população de 2 anos ou mais com deficiência;SIDRA tabela 10125;amostra Censo 2022, municipal e preliminar
pcd_pct_2mais;%;pessoas de 2 anos ou mais com deficiência;SIDRA tabela 10125;amostra Censo 2022, municipal e preliminar
tea_pessoas;pessoas;população diagnosticada com autismo;SIDRA tabela 10145;vazio quando não publicado, amostra preliminar
tea_pct;%;população diagnosticada com autismo;SIDRA tabela 10145;amostra Censo 2022, municipal e preliminar
