ordem,rot_id,name,tipo,excel,input,nh,nit,Cic,faixaEntrada,faixaSaida,SERIE,CEL,evt_teste,evt_valida,eventos_fixos_treino,n_treino,n_validacao,n_teste,mat
1,R01_T12_V1-5-10-15-17-21,001_alt_STZ_2H_R01_T12_V1-5-10-15-17-21,alt,001_alt_STZ_2H_R01_T12_V1-5-10-15-17-21.xlsx,15,30,10,100000,H2:V2678,W2:W2678,Y2:Y2678,AB2:AB2678,12,1 5 10 15 17 21,"4,6,9,20",1958,462,257,mat/001_alt_STZ_2H_R01_T12_V1-5-10-15-17-21.mat
2,R02_T12-03_V1-5-10-15-17-21,002_alt_STZ_2H_R02_T12-03_V1-5-10-15-17-21,alt,002_alt_STZ_2H_R02_T12-03_V1-5-10-15-17-21.xlsx,15,30,10,100000,H2:V2678,W2:W2678,Y2:Y2678,AB2:AB2678,12 3,1 5 10 15 17 21,"4,6,9,20",1710,462,505,mat/002_alt_STZ_2H_R02_T12-03_V1-5-10-15-17-21.mat
3,R03_T12-21_V1-5-10-14-17-19,003_alt_STZ_2H_R03_T12-21_V1-5-10-14-17-19,alt,003_alt_STZ_2H_R03_T12-21_V1-5-10-14-17-19.xlsx,15,30,10,100000,H2:V2678,W2:W2678,Y2:Y2678,AB2:AB2678,12 21,1 5 10 14 17 19,"4,6,9,20",1811,545,321,mat/003_alt_STZ_2H_R03_T12-21_V1-5-10-14-17-19.mat
4,R04_T03-17-21_V1-5-10-12-15,004_alt_STZ_2H_R04_T03-17-21_V1-5-10-12-15,alt,004_alt_STZ_2H_R04_T03-17-21_V1-5-10-12-15.xlsx,15,30,10,100000,H2:V2678,W2:W2678,Y2:Y2678,AB2:AB2678,3 17 21,1 5 10 12 15,"4,6,9,20",1710,565,402,mat/004_alt_STZ_2H_R04_T03-17-21_V1-5-10-12-15.mat
5,R05_T11-14-19_V1-3-10-15-17,005_alt_STZ_2H_R05_T11-14-19_V1-3-10-15-17,alt,005_alt_STZ_2H_R05_T11-14-19_V1-3-10-15-17.xlsx,15,30,10,100000,H2:V2678,W2:W2678,Y2:Y2678,AB2:AB2678,11 14 19,1 3 10 15 17,"4,6,9,20",1868,484,325,mat/005_alt_STZ_2H_R05_T11-14-19_V1-3-10-15-17.mat
6,R06_T12-17_V1-5-10-13-15-21,006_alt_STZ_2H_R06_T12-17_V1-5-10-13-15-21,alt,006_alt_STZ_2H_R06_T12-17_V1-5-10-13-15-21.xlsx,15,30,10,100000,H2:V2678,W2:W2678,Y2:Y2678,AB2:AB2678,12 17,1 5 10 13 15 21,"4,6,9,20",1888,442,347,mat/006_alt_STZ_2H_R06_T12-17_V1-5-10-13-15-21.mat
7,R07_T03-12-21_V5-10-15-17-19,007_alt_STZ_2H_R07_T03-12-21_V5-10-15-17-19,alt,007_alt_STZ_2H_R07_T03-12-21_V5-10-15-17-19.xlsx,15,30,10,100000,H2:V2678,W2:W2678,Y2:Y2678,AB2:AB2678,3 12 21,5 10 15 17 19,"4,6,9,20",1646,462,569,mat/007_alt_STZ_2H_R07_T03-12-21_V5-10-15-17-19.mat
8,R08_T14-17-19_V1-3-11-12-21,008_alt_STZ_2H_R08_T14-17-19_V1-3-11-12-21,alt,008_alt_STZ_2H_R08_T14-17-19_V1-3-11-12-21.xlsx,15,30,10,100000,H2:V2678,W2:W2678,Y2:Y2678,AB2:AB2678,14 17 19,1 3 11 12 21,"4,6,9,20",1656,736,285,mat/008_alt_STZ_2H_R08_T14-17-19_V1-3-11-12-21.mat
9,R09_T10-15-16_V1-5-12-17-21,009_alt_STZ_2H_R09_T10-15-16_V1-5-12-17-21,alt,009_alt_STZ_2H_R09_T10-15-16_V1-5-12-17-21.xlsx,15,30,10,100000,H2:V2678,W2:W2678,Y2:Y2678,AB2:AB2678,10 15 16,1 5 12 17 21,"4,6,9,20",1895,610,172,mat/009_alt_STZ_2H_R09_T10-15-16_V1-5-12-17-21.mat
10,R10_T12-19-21_V1-3-5-15-17,010_alt_STZ_2H_R10_T12-19-21_V1-3-5-15-17,alt,010_alt_STZ_2H_R10_T12-19-21_V1-3-5-15-17.xlsx,15,30,10,100000,H2:V2678,W2:W2678,Y2:Y2678,AB2:AB2678,12 19 21,1 3 5 15 17,"4,6,9,20",1670,585,422,mat/010_alt_STZ_2H_R10_T12-19-21_V1-3-5-15-17.mat
