hora_modelo,hora_alvo,observado_em,observado_cm,previsto_cm,erro_cm,erro_abs_cm,nivel_modelo_cm,nivel_rio_agora_cm,modelo,horizonte
2026-08-17T14:00:00,2026-08-17T18:00:00,2026-08-17T18:00:00,400,389,-11.0,11.0,372,370,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-17T15:00:00,2026-08-17T19:00:00,2026-08-17T19:00:00,434,393,-41.0,41.0,370,373,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-17T16:00:00,2026-08-17T20:00:00,2026-08-17T20:00:00,468,414,-54.0,54.0,375,383,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-17T17:00:00,2026-08-17T21:00:00,2026-08-17T21:00:00,480,424,-56.0,56.0,386,396,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-17T18:00:00,2026-08-17T22:00:00,2026-08-17T22:00:00,483,515,32.0,32.0,400,423,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-17T19:00:00,2026-08-17T23:00:00,2026-08-17T23:00:00,478,508,30.0,30.0,434,462,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-17T20:00:00,2026-08-18T00:00:00,2026-08-18T00:00:00,469,483,14.0,14.0,468,479,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-17T21:00:00,2026-08-18T01:00:00,2026-08-18T01:00:00,460,475,15.0,15.0,480,482,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-17T22:00:00,2026-08-18T02:00:00,2026-08-18T02:00:00,446,458,12.0,12.0,483,480,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-17T23:00:00,2026-08-18T03:00:00,2026-08-18T03:00:00,436,440,4.0,4.0,478,471,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
